rank	username	minecraft:used/minecraft:crafting_table
1	MilleGrug	8401
2	Frozil12	1574
3	ROY4LE	1287
4	pintsizedrogue	1020
5	noam464	899
6	Smoke____	794
7	Mahoose	621
8	Freak_Genius	616
9	beeperbeeper5	602
10	rarrq	529
11	500am	528
12	joethahobo	509
13	Blackberry1310	504
14	EcksDofficial	477
15	thewindmillman	471
16	EveryonesUncle	465
17	TheShyPig	432
18	HellsSponge	427
19	PlasticOtari	422
20	Fullut	384
21	Cocoamallows	379
22	m_be9	375
23	NameGenerat0r	367
24	burbankbuilder28	353
25	kekhon	352
26	Hyp3rion_	333
27	Soplight	332
28	Eraxa	326
28	Skippeh	326
30	eitanzaki	323
31	Legendosh	313
32	Di_infiri	311
33	EMC_	310
34	CoffeeNoir	309
35	livingdaydreams	306
36	Hermanni__	301
37	lcvezra	300
38	Steelynan	290
39	thescout7	289
40	Shogunite	282
41	Merv__	272
42	Blaiku	270
43	Arceus1975	265
44	El_Jalapeno	254
45	ImpavidArcher	238
46	Onennon	235
47	Spacewardharpy7	234
48	Enderslayerxz3	233
49	mwrty	222
50	Skylord_Luke	217
50	Ezekson	217
52	RadarHz	213
53	Groundler	212
54	Xclax101	208
55	oxfordschool	207
56	Werbe	206
57	lordpipe	205
58	Winklepicker279	197
59	Deathkob	192
60	Jackattack53	183
61	ApophisNova	181
61	MyNamaSheff	181
63	TheSecondLord	179
64	EcksD	177
65	SvenskaHugo	173
66	Akoot_	170
67	Racengan	168
68	stahouo	165
69	Inchef	164
69	Jiminie	164
71	MattieHD	163
71	PigDab	163
71	MightyWertu	163
74	Xalithia	161
75	Rumpletaezer	160
76	12Magner05	159
76	YungMaki	159
78	Incinere	158
78	Lez_	158
78	Bumpy419	158
81	PortlyPete69	155
82	set67	149
83	Kowcio_	145
84	Rebytre	143
85	Blu3beast	142
85	jnp_gaming	142
87	Hisiste	140
88	Jovaphobic	138
89	Groovy_MoonBird	135
89	KarlKaek	135
89	LordSpeed37	135
92	pixelviolin	132
92	vandmanden	132
94	Segotep999	129
95	RatatJuice	126
96	Historical_Sand	124
96	xxPipperDipperxx	124
96	ogoa	124
