rank	username	minecraft:used/minecraft:daylight_detector
1	Awyrlas	204
2	EveryonesUncle	203
3	Jackattack53	146
4	_Nuf	141
5	PlasticOtari	82
6	noam464	73
7	ROY4LE	61
8	teslawolf38	51
9	Quotary	39
10	fffMike	36
11	joethahobo	34
12	rarrq	33
13	thescout7	28
13	Smoke____	28
15	HellsSponge	27
15	Mythic1130	27
17	Arceus1975	26
17	RoofTyler	26
19	luseis	21
20	NameGenerat0r	18
20	FreakGenius	18
22	beeperbeeper5	15
23	kyouma777	14
24	MightyWertu	12
25	Historical_Sand	8
25	SoftSix	8
25	_Dean_123	8
25	500am	8
25	Di_infiri	8
25	Soplight	8
31	TheSecondLord	7
31	Hyp3rion_	7
31	Parcc	7
34	Merv__	6
34	thewindmillman	6
34	Akoot_	6
34	TheSeismicDuck	6
34	El_Jalapeno	6
39	ThiccExotic	5
39	Snowflowe	5
39	valkam13	5
39	Tyrannosplart	5
39	claivin	5
44	Apollo_993	4
44	T045RTY	4
44	Mahoose	4
44	ProfessorBee	4
44	AlphaWolfPlaysMC	4
44	Spacewardharpy7	4
50	m_be9	3
50	The_slideV3	3
50	mawileite	3
50	EngagedGrub41	3
54	Louiis123	2
54	Mr_Byzantine	2
54	eitanzaki	2
54	lotarp	2
54	ThePoliteG	2
54	kekhon	2
54	boog4loo	2
54	mwrty	2
54	Inchef	2
54	Covalents	2
54	KeruNatsema	2
54	Blu3beast	2
54	Shin69	2
54	SvenskaHugo	2
54	bloomkieren	2
54	YungMaki	2
54	nonarso	2
54	BreadBacon	2
54	jnp_gaming	2
73	ImpavidArcher	1
73	TooManyDuck	1
73	Ssor69	1
73	picardred	1
73	Comma__	1
73	SteveCraftBlocks	1
73	GLLogan2	1
73	UncreativeArtist	1
73	RefluxRatio	1
73	JitteryJared2	1
73	Rebytre	1
73	ApophisNova	1
73	Werbe	1
73	RobotMinion101	1
73	Onennon	1
73	ougstur	1
73	IamCL4SSY	1
73	audiocracked	1
73	Blaiku	1
73	Groundler	1
73	bruh072	1
73	OG_Songsee	1
73	Cocoamallows	1
73	Eraxa	1
73	xzvu	1
73	Dogcorn69420	1
73	striker90333	1
73	MyNamaSheff	1
