rank	username	minecraft:used/minecraft:cracked_stone_bricks
1	Shogunite	5618
2	El_Jalapeno	1015
3	Zythose	961
4	TheShyPig	938
5	Tommhh	860
6	MattieHD	707
7	Merv__	573
8	PlasticOtari	570
9	kekhon	515
10	alderban107	483
11	NomadicRobin_	480
12	Eraxa	301
13	r123moore	293
14	Xalithia	272
15	MissCeleste7	260
16	Jiminie	256
17	cedric72	232
18	LotusProject	222
19	Ecplosive	219
20	KingMatthew506	206
21	SvenskaHugo	205
22	Skylord_Luke	184
23	Inchef	182
24	FishyBoy3811	159
25	07shiny	153
26	_Dean_123	145
27	YungMaki	139
28	ExtraDumb	127
29	Malorn_Aetherius	125
30	Auseawesome	122
30	_Karmaa	122
32	Notta	121
33	burbankbuilder28	118
34	Werbe	117
35	lcvezra	116
36	Typadopoulos	110
37	ogoa	105
38	TheSecondLord	102
39	Skippeh	100
40	CalebDHawk	92
41	Onennon	91
42	Frozil12	90
43	layabout100	88
44	Winklepicker279	85
45	Mahoose	84
46	Maenara	83
47	Freak_Genius	79
48	Houstonion	69
49	XxCookiequeenxX	68
50	PortlyPete69	66
51	beeperbeeper5	65
51	rarrq	65
53	Avrelion	64
53	Spacewardharpy7	64
55	500am	62
56	Akoot_	58
57	DSYisDizzy	55
58	kyouma777	53
59	seramalen	52
59	Hermanni__	52
61	Sleek_Storm_721	51
62	Fullut	45
62	censorsheep	45
64	Bandito_Roamer	44
64	oxfordschool	44
66	Lukeee33	43
67	MyNameIsJobo	42
67	Kowcio_	42
67	UCP_TheKingK	42
70	Blu3beast	39
70	Kubeusz2010	39
72	UrbanPlanner1978	38
73	Enderslayerxz3	37
74	xxPipperDipperxx	36
74	fr_ser	36
76	HellsSponge	35
76	Smoke____	35
78	Blackberry1310	34
79	killmeiamtraitor	32
79	chipklip	32
81	noam464	31
82	__tomato	29
83	The_Quack_Dealer	28
84	LilyNova	26
85	Kakolbus	25
86	SaucyDark	24
87	CrookedKaptain	23
87	thewindmillman	23
89	TheSeismicDuck	21
90	DAD_1996	17
90	AssFullaCum	17
90	Soplight	17
90	Quotary	17
94	PhantomsGhost_	16
94	Drlzyy	16
94	Legendosh	16
97	SuperPooch06	15
98	Ssor69	13
99	diamondgolem35	12
100	Jimi7hits	11
100	Toiton	11
102	ImpavidArcher	10
102	lolpoottoot	10
102	Lowjinx	10
105	_Bguette_	9
105	claivin	9
107	egglapras	8
108	T045RTY	7
108	joethahobo	7
108	jcool7	7
111	Hpdinosaur	6
111	eitanzaki	6
111	MOSS000	6
111	Rich_Kat	6
111	Racengan	6
111	Ezekson	6
111	EcksD	6
118	_Minnty_	5
118	paranoid_plant	5
118	toj__	5
118	Jackattack53	5
118	Chromary	5
118	pappaberg	5
118	master9067	5
118	godipose	5
118	JayToe	5
127	eviltunix	4
127	ormr_kin	4
127	lizardfightclub	4
127	plato2066	4
127	ProbsNotNova	4
132	pZygh0st	3
132	ShedJr_	3
132	Historical_Sand	3
132	Comma__	3
132	MrExplorer	3
132	misomon	3
132	kinas45y5	3
132	EcksDofficial	3
140	teslawolf38	2
140	KarlKaek	2
140	Khelvoryk	2
140	MinttyFressh	2
140	mwrty	2
140	himak1	2
140	ROY4LE	2
140	theofiel	2
140	Sky_light_KING	2
140	balin55	2
140	JESS_THE_RERE	2
140	Nycteus_	2
140	DolphinLaugh	2
140	MovingFish7	2
140	Freedrik	2
155	pintsizedrogue	1
155	Menthas	1
155	Flegneh	1
155	EMC_	1
155	RebelAndroid	1
155	Myrlewen	1
155	MrAdamant209	1
155	Prodiginus	1
155	bloodbiter	1
155	Nicky_H225	1
155	12Magner05	1
155	wiqor	1
155	Raxmalor	1
155	xBaltaci	1
155	loveseeker	1
155	Di_infiri	1
155	Hyp3rion_	1
155	SamZombie	1
155	Rocco_Lane	1
155	Rebytre	1
155	ooga47	1
155	_naturell	1
155	AlphaWolfPlaysMC	1
155	Quinasin	1
155	Karbl	1
155	Quaintster	1
155	501g	1
155	MightyWertu	1
155	wwwwinnebagoooo	1
155	Warlord324	1
155	lordpipe	1
155	WyngGoy	1
155	Ze_BaronKrigler	1
155	Cocoamallows	1
155	LordSpeed37	1
155	KG1999	1
155	IdeallyGrey	1
155	pixelviolin	1
155	somegirl12_	1
155	stahouo	1
155	SammiWolfGirl	1
155	Deguns123	1
155	Steelynan	1
155	Vellu21	1
155	SirBreadward	1
155	vandmanden	1
