rank	username	minecraft:used/minecraft:polished_diorite
1	joethahobo	8359
2	Lord_Jord	7114
3	sp00ky_ghost977	6313
4	Froste131	5708
5	Legendosh	5616
6	noam464	4304
7	burbankbuilder28	3746
8	Western_1	3556
9	teslawolf38	3186
10	Frozil12	3107
11	TheShyPig	3005
12	Cowison	2718
13	OfficerAnvil	2711
14	Hoid_the_Roamer	2559
15	Marbz_	2448
16	Smoke____	2401
17	beeperbeeper5	2348
18	Optiprimus	2342
19	Lukeee33	2324
20	El_Jalapeno	2220
21	Xclax101	1910
22	RedcatVII	1669
23	Darkgon	1546
24	Airem_Core	1525
25	Maenara	1524
26	Onennon	1521
27	Inbefour	1287
28	ROY4LE	1159
29	Shogunite	1113
30	kekhon	1027
31	Teebone15	1009
32	seanitoo	1007
33	rarrq	1000
34	DanTheBuilderino	989
35	_TCARREIRA_	965
36	Ezekson	940
37	TheDankPlatypus	820
38	KarlKaek	802
38	Blackberry1310	802
40	_Karmaa	779
41	Toriankel	777
42	KingMatthew506	754
43	jacxhadow	715
44	Kubelz	700
45	MattieHD	678
46	DSYisDizzy	651
46	Winklepicker279	651
48	ShedJr_	611
48	ATrojansLegend	611
50	Mahoose	610
51	Jaka_Saurus_715	570
52	m_be9	555
53	bpmm	541
54	awesomeoneme	533
55	Matorz	531
56	Fuhrer_Teemo	529
57	Blu3beast	503
58	Megarboh	502
59	MrExplorer	495
60	ImpavidArcher	485
61	bruh072	475
62	Bruh77	463
63	Soplight	460
63	Yahrto	460
65	Arceus1975	459
66	Doom_melon	450
67	12Magner05	426
68	Meatlaugh	408
69	Comma__	406
70	fluddd	394
71	LittleBug562	375
71	JESS_THE_RERE	375
73	CaptainDeadBread	372
74	EveryonesUncle	365
75	Powowowow	364
76	Menthas	361
77	himak1	359
78	07shiny	358
79	ProbsNotNova	351
80	sufjanlover	349
81	killmeiamtraitor	339
82	SoftSix	337
83	Tolhart	336
84	Dreamdbr14	335
85	PlasticOtari	322
86	MightyWertu	315
87	ooga47	313
88	SyK7	307
89	Jovaphobic	299
90	Donutt	293
91	AlphaWolfPlaysMC	292
92	cedric72	283
93	ProfessorBee	274
93	Deerfoot	274
95	Akoot_	273
96	Warlord324	262
97	Malorn_Aetherius	250
98	dongli	248
98	Vellu21	248
100	seramalen	235
101	Allanon1235	234
102	Queen_Jalapeno	225
103	Spacewardharpy7	222
104	brycepants	221
105	oxfordschool	218
106	crying_wolf_13	212
106	jcool7	212
108	Enderslayerxz3	209
109	SkateboardR6	206
110	Werbe	201
111	AuroraValkyrie	200
112	Ssor69	193
112	Hyp3rion_	193
114	DarlaMeow	192
115	Ajax6	189
116	ItsAki_	186
117	Freeman666	185
118	Natty	184
119	Jackster03	182
120	Merv__	179
121	selectrix	176
122	fw3xywashere	172
123	Deathkob	170
124	Gooberkid223	168
124	djancak	168
126	Groundler	167
127	WyngGoy	166
128	ryan521	158
128	platinumzero	158
130	Njensen7	155
131	Kamflame10	146
131	r123moore	146
133	set67	145
134	_Boipl_	143
135	tsitrawhy	140
136	brofrickcheaters	138
137	youhjjhhhjj	135
137	MineMaster0012	135
137	SSytex_X	135
140	alderban107	130
141	bloodbiter	128
142	BilboBaggins23	127
143	benediktine1	124
144	eitanzaki	116
144	brrh	116
144	Tergandius	116
147	FlagsAreBad	114
148	kinas45y5	113
149	theonlymagikarp	112
149	IdeallyGrey	112
151	Purplehere	111
152	q_wq	104
153	BlankityMcBlank	103
154	Wolverine4302	101
155	Groovy_MoonBird	99
156	chipklip	98
156	LordSpeed37	98
158	slkiey	95
159	JayToe	94
160	HellsSponge	92
