rank	username	minecraft:used/minecraft:campfire
1	Lez_	1741
2	Mahoose	818
3	Shogunite	700
4	_Dean_123	564
5	Steelynan	482
6	luseis	369
7	EMC_	341
8	Marbz_	298
9	Kakolbus	285
10	ImpavidArcher	283
11	Rebytre	273
12	PlasticOtari	269
13	pintsizedrogue	264
14	anbbang	243
15	SDMNAEK	240
16	Smoke____	239
17	500am	234
18	Di_infiri	221
19	titanlax	196
20	ConnorDanky_	194
21	PhantomsGhost_	162
22	Hyp3rion_	154
23	Racengan	153
24	TheShyPig	145
25	EveryonesUncle	142
26	kekhon	135
27	Kowcio_	131
28	Megarboh	128
29	m_be9	126
30	fkGrim	125
31	TheSecondLord	117
32	Merv__	106
33	SvenskaHugo	103
34	claivin	97
35	HellsSponge	96
36	Historical_Sand	93
37	Inchef	91
38	Fullut	89
38	Vetral1	89
40	noam464	88
41	Onennon	87
42	lordpipe	86
43	Smashic	85
44	lcvezra	83
45	BronkerBrum	81
46	Soplight	80
47	CoffeeNoir	76
48	SammiWolfGirl	73
49	Euclidoris	72
50	Groovy_MoonBird	69
50	h2p_emrld	69
52	ewpunk	66
53	Chromary	65
53	EngagedGrub41	65
55	benediktine1	64
56	xolstoi	63
57	Blu3beast	62
58	UCP_TheKingK	61
59	Cryptacity	60
60	Lord_Jord	59
61	Blackberry1310	58
62	LeauVox4921	57
62	ApophisNova	57
62	MyNamaSheff	57
62	Enderxz3	57
66	rarrq	56
66	FreakGenius	56
68	SkateboardR6	55
69	burbankbuilder28	54
69	KeruNatsema	54
69	ese_wn_po	54
72	beeperbeeper5	53
73	NomadicRobin_	50
74	dezxalo	48
75	eitanzaki	47
75	SpacesickPrism	47
77	Kouridragon	46
77	WyngGoy	46
79	KarlKaek	45
80	Werbe	44
81	RyuNeko932000	43
81	Zoeyfortnite	43
83	diamondgolem35	42
84	Tommhh	41
84	RoofTyler	41
84	iSammael	41
84	PortlyPete69	41
88	Fuad_R	40
89	ReSynced	37
90	MyNameIsJobo	36
90	mihimihimihi	36
90	00000000-0000-0000-0009-01ff0c3e5e4f	36
93	YungMaki	34
94	CarryLine	33
95	audiocracked	32
96	jacxhadow	31
96	Awyrlas	31
96	prizm_	31
99	MattieHD	30
100	Skippeh	29
100	Legendosh	29
102	Dusk_95	28
103	SuperPooch06	27
104	MangoTheFish	26
104	masskedman	26
104	Eczbek	26
107	Incinere	25
107	bloodbiter	25
107	thescout7	25
107	orxngejuice	25
111	SaltineDream	24
111	SaucyDark	24
111	RebelAndroid	24
111	legal_tax_evader	24
111	_Bguette_	24
111	Quotary	24
117	Sleek_Storm_721	23
117	Esme_1	23
117	xxPipperDipperxx	23
117	Arceus1975	23
117	KingMatthew506	23
122	Mr_Byzantine	22
122	M_Patata	22
122	ZA07	22
122	StinkyDiplomat	22
122	MasterNueve	22
122	CheifJumbo	22
128	Mookle96	21
128	TheDankPlatypus	21
130	Meatlaugh	20
131	RatatJuice	19
131	Vizzoid	19
131	Skylord_Luke	19
131	Deathkob	19
131	Mythic1130	19
136	Bandito_Roamer	18
136	Presisor	18
136	WYFYoyo	18
139	Eraxa	17
139	ZeroKraken	17
139	Kubeusz2010	17
142	Frozil20	16
142	CollinMH06	16
142	Akoot_	16
142	HELLO_I_AM_BEAR	16
142	BurgerKnight	16
147	DinoDoctor_	15
147	T045RTY	15
147	Kamflame10	15
147	Jackattack53	15
147	thewindmillman	15
147	ReflexCode	15
147	Blaiku	15
147	Ezekson	15
147	diggydog67	15
156	_stets	14
156	q_wq	14
156	youhjjhhhjj	14
156	Ssor69	14
156	TheFlfthHorseman	14
156	heckface	14
156	Covalents	14
156	gabriels543	14
156	sp00ky_ghost977	14
156	Dreamdbr14	14
156	EcksD	14
156	jnp_gaming	14
156	bladeefan2009	14
169	6king6colt6	13
169	Ozixar	13
169	Prodiginus	13
169	Jimi7hits	13
169	Warlord324	13
169	calamariclam_I	13
175	Huwulling	12
175	joethahobo	12
175	jessewegottacook	12
175	UncreativeArtist	12
175	Winklepicker279	12
175	Zythose	12
175	Fuhrer_Teemo	12
175	MineMaster0012	12
183	FazeObama69	11
183	soundad	11
183	Auseawesome	11
183	Xalithia	11
183	Maenara	11
183	wezzzi	11
183	ThisUserIsStump	11
190	Ryker	10
190	Sleepy_Time_	10
190	PegLegPete93	10
190	tobinwilliams	10
190	FishyBoy3811	10
190	DemTechAlpha	10
190	CalebDHawk	10
197	Jakobo1337	9
197	12Magner05	9
197	ROY4LE	9
197	Karetoko	9
197	ooga47	9
197	groofles	9
197	The_Skramz	9
197	MAns_44	9
197	Ze_BaronKrigler	9
197	Jimb0nat0r	9
207	InfernalMound	8
207	mwrty	8
207	2Stout	8
207	NoxxxxiS	8
207	Solar_Power	8
207	epiksk8erduck	8
207	SaintJosie	8
207	El_Jalapeno	8
207	starbits140	8
207	alderban107	8
207	Powowowow	8
218	TheBiggestFeller	7
218	Hpdinosaur	7
218	Comma__	7
218	ConcretePirate	7
218	crying_wolf_13	7
218	eviltunix	7
218	Rumpletaezer	7
218	seramalen	7
218	DarkS0L	7
218	ProfessorDiaper	7
218	Optiprimus	7
218	Kyrum2169	7
218	brofrickcheaters	7
218	_KuruKuru	7
232	Nicky_H225	6
