rank	username	minecraft:used/minecraft:furnace_minecart
1	pintsizedrogue	114
2	eitanzaki	102
3	Soplight	90
4	Hermanni__	43
5	Werbe	27
5	Fuad_R	27
7	2Stout	24
8	noam464	23
9	Mahoose	21
10	thewindmillman	11
11	Enderxz3	9
12	IAmTheWalrus910	8
13	mihimihimihi	7
13	PortlyPete69	7
15	Legendosh	6
16	MattieHD	5
16	SteveCraftBlocks	5
16	Chromary	5
16	Arceus1975	5
16	Racengan	5
16	Eraxa	5
16	SvenskaHugo	5
16	AdmiralSmoke	5
24	Mr_Byzantine	4
24	Krowuss	4
24	Blaiku	4
24	Barlycorn	4
24	ConnorDanky_	4
29	No_Bena	3
29	obzii	3
31	ECstardust	2
31	ImpavidArcher	2
31	ShedJr_	2
31	Fullut	2
31	RustyKedel	2
31	Soul_Atreus	2
31	EcksD	2
38	PhantomsGhost_	1
38	soundad	1
38	Nicky_H225	1
38	CollinMH06	1
38	MyNameIsJobo	1
38	Snowflowe	1
38	luseis	1
38	Blu3beast	1
38	Nycteus_	1
38	GravitySaint	1
38	_i_ERROR_i_	1
