rank	username	minecraft:used/minecraft:spruce_pressure_plate
1	Tyrannosplart	161
2	pintsizedrogue	99
2	Legendosh	99
4	MyNameIsJobo	88
4	AssFullaCum	88
6	obzii	87
7	EveryonesUncle	63
8	HellsSponge	62
9	Lez_	57
9	Ardennes	57
9	Spacewardharpy7	57
12	Mahoose	52
13	Ezekson	46
14	Cowison	43
15	robotemo	37
16	SaintJosie	32
17	joethahobo	31
17	PlasticOtari	31
19	beeperbeeper5	29
20	ROY4LE	28
20	shadowthemonkey	28
22	Fullut	27
23	Xclax101	26
24	500am	25
25	Onennon	24
25	_Bguette_	24
27	rarrq	23
27	Ze_BaronKrigler	23
29	Cryptacity	22
29	TheShyPig	22
31	Groovy_MoonBird	21
31	EMC_	21
31	ImpavidArcher	21
31	_Dean_123	21
31	Groundler	21
36	ApophisNova	20
36	MyNamaSheff	20
38	Rumpletaezer	19
38	drumine	19
40	kekhon	18
40	Touched_Bread	18
40	Werbe	18
40	bladeefan2009	18
40	Zoeyfortnite	18
45	Alphanzt99	17
46	set67	16
46	Eraxa	16
46	MineMaster0012	16
49	Blackberry1310	15
49	DermeinUser	15
49	DAD_1996	15
49	xolstoi	15
53	Jackster03	14
53	Arceus1975	14
53	Bumpy419	14
53	luseis	14
53	FlashMigma	14
58	RoofTyler	13
58	layabout100	13
60	MunkaKris	12
60	eitanzaki	12
62	Paint	11
62	6king6colt6	11
62	SaucyDark	11
62	MOSS000	11
66	Esme_1	10
66	Natty	10
66	AlazelTheReal	10
66	Smashic	10
66	M_Patata	10
66	thebaddruid	10
66	FreakGenius	10
66	Blu3beast	10
66	Racengan	10
66	Warlord324	10
66	Poppy235	10
66	Jimb0nat0r	10
78	potato292	9
78	xxPipperDipperxx	9
78	the_russell1611	9
78	GoofySilly	9
82	Jovaphobic	8
82	tsohomie	8
82	Deathkob	8
82	1442	8
82	El_Jalapeno	8
82	wwwwinnebagoooo	8
82	MasterNueve	8
89	Incinere	7
89	pappaberg	7
89	420BreadLizard	7
89	pixelviolin	7
89	Steelynan	7
89	Smoke____	7
95	q_wq	6
95	Tommhh	6
95	mwrty	6
95	Inchef	6
95	Kakolbus	6
95	fr_ser	6
95	Studyhallsaver	6
95	07shiny	6
95	Quotary	6
95	WYFYoyo	6
105	hm947	5
105	ehunt54	5
105	Smussa	5
105	Shiirazu	5
105	HyperCave	5
105	ADEXTV	5
105	Akoot_	5
105	fkGrim	5
105	DarkLawD	5
105	YungMaki	5
105	Soplight	5
105	annoyingenderman	5
105	erkada	5
105	Enderxz3	5
119	dabloons	4
119	PazinGaming	4
119	Lukeee33	4
119	Malorn_Aetherius	4
119	TheSecondLord	4
119	supernecessary	4
119	2Stout	4
119	BlueZabu	4
119	CTH_98	4
119	Vetral1	4
119	Jimi7hits	4
119	ese_wn_po	4
119	Meatlaugh	4
119	cytotoxaint	4
119	ItsDeltaMC	4
119	yatsuta	4
119	Kowcio_	4
119	ediballbearings	4
119	CalebDHawk	4
138	k_ce	3
138	Arteriana	3
138	Ozixar	3
138	m_be9	3
138	MattieHD	3
138	PegLegPete93	3
138	TableTim	3
138	CaptainSteve345	3
138	SlayerCrypto	3
138	Chromary	3
138	RobotMinion101	3
138	PartyPhoenix	3
138	Blaiku	3
138	Typadopoulos	3
138	ayamefag	3
138	bitsplease	3
138	CattSoup	3
138	Nicserso	3
138	Biites	3
138	Teebone15	3
138	JayToe	3
159	Tobinator_007	2
159	FazeObama69	2
159	Foof13	2
159	DepressedCubic	2
159	chimpmunker	2
159	bigstankyy	2
159	ssleepless	2
159	BlancoFlaco	2
159	livingdaydreams	2
159	H72l9w	2
159	Yellowpowr	2
159	ccormacs	2
159	Stynxy	2
159	Shadoko_	2
159	titanlax	2
159	12Magner05	2
159	lordofthelight95	2
159	Guillemet	2
159	Sloths_Ender	2
159	Cidah	2
159	Gingayy	2
159	orxngejuice	2
159	r123moore	2
159	Dyosy	2
159	Winklepicker279	2
159	Jackattack53	2
159	Donutt	2
159	selectrix	2
159	Mattesco	2
159	Shavrin	2
159	Drewen24	2
159	Austinizzle	2
159	natajimi	2
159	XxCookiequeenxX	2
159	KlausVonStiglitz	2
159	Ragnar2105	2
159	_Karmaa	2
159	DASH_X7	2
159	StinkyDiplomat	2
159	Cavetorch	2
159	Bloo2406	2
159	fluddd	2
159	MovingFish7	2
159	Dusk_95	2
159	Chuglyfe	2
159	Hermanni__	2
159	Skippeh	2
159	Iamthejo	2
159	FGamerJ	2
208	JohnnyMines	1
208	Yatitay	1
208	rachcl	1
208	Hpdinosaur	1
208	ITDV	1
208	Ssor69	1
208	cheerytomato	1
208	NieToksikpl	1
208	jushykins	1
208	Megarboh	1
208	ConcretePirate	1
208	Kamflame10	1
208	Bobby808	1
208	noam464	1
208	F_22_	1
208	hanaryheatwave	1
208	SamZombie	1
208	Zythose	1
208	jordanchohat	1
208	andy_rex	1
208	Nyxiom_	1
208	domagawha	1
208	victricemque	1
208	seramalen	1
208	LeGold	1
208	FearMyPetBeaver	1
208	privatemeekly	1
208	Fuad_R	1
208	SeagullRedRover	1
208	ItzWqlfy	1
208	NotMeowMix	1
208	ElectricDragon81	1
208	LordSpeed37	1
208	Sank34	1
208	UCP_TheKingK	1
208	PlzNoBM	1
208	jcool7	1
208	Njensen7	1
208	laron58	1
208	Powowowow	1
208	TechnoNinja64	1
208	trexgb	1
208	diggydog67	1
