rank	username	minecraft:used/minecraft:blue_ice
1	gcaisawesome	9371
2	beeperbeeper5	6182
3	m_be9	5128
4	Sky_light_KING	2314
5	TheSecondLord	2152
6	joethahobo	2023
7	audiocracked	2010
8	YungMaki	1989
9	jnp_gaming	1977
10	Ezekson	1876
11	ROY4LE	1724
12	Legendosh	1493
13	Shogunite	1471
14	HellsSponge	1426
15	TheShyPig	999
16	pintsizedrogue	986
17	Enderslayerxz3	971
18	Groundler	923
19	_naturell	890
20	500am	864
21	noam464	863
22	pixelviolin	844
23	Zaridey	823
24	Hisiste	777
25	anbbang	717
26	rarrq	623
27	Di_infiri	606
28	sxc_	599
29	DAD_1996	594
30	CrateOfBoxes	585
31	Fuad_R	541
32	Soplight	537
33	diggydog67	502
34	obzii	500
35	MyNameIsJobo	486
36	Eraxa	476
37	Mattesco	426
38	fred870d	418
39	Chromary	393
40	ssleepless	384
41	Leyna3	382
42	livingdaydreams	378
43	mwrty	377
44	Lord_Zacler	374
45	Frozil12	358
46	stahouo	356
47	Snowflowe	344
48	Historical_Sand	341
49	Spacewardharpy7	335
50	proxivitoid	334
51	AltnumberF4	326
52	MightyWertu	325
53	Jij0	321
54	yulgur1	320
54	MakeHistory157	320
56	thescout7	319
57	Smoke____	305
58	UCP_TheKingK	302
59	T045RTY	294
60	thewindmillman	282
61	andy_rex	279
62	lordpipe	270
63	Steven1282598	260
64	KliBeast21	241
65	Donutt	234
66	eitanzaki	216
67	PhantomBionic	192
68	mariominejedi	185
69	CharlieButt	174
70	I_Am_Mushkin	166
71	EcksDofficial	163
72	Smiguli_	144
73	Cowison	137
74	emrekn	136
75	EcksD	135
76	PigDab	131
77	kekhon	130
78	Skippeh	128
79	valiSW	124
80	r123moore	122
81	M_Patata	108
81	MasterNueve	108
83	Freak_Genius	87
84	KingMatthew506	86
85	Akoot_	84
86	Vizzoid	76
87	Kubeusz2010	71
88	Xclax101	67
89	Hermanni__	64
90	UrbanPlanner1978	63
91	Blu3beast	61
92	RosaDoesMC	60
93	ZoeyBrookesPCA2k	59
94	AngalexikCZ	58
95	Paintz	57
96	Onennon	54
97	Hiryu27	52
97	claivin	52
99	Sral7	50
100	PlasticOtari	42
101	MattieHD	40
102	Incinere	39
103	awesomeoneme	36
104	Jackattack53	31
105	Hoid_the_Roamer	28
105	Maenara	28
107	SvenskaHugo	25
108	Groovy_MoonBird	23
109	ABUSNA1996	22
110	GravitySaint	21
110	Powowowow	21
112	Bumpy419	20
113	EMC_	17
113	Nicserso	17
115	ProbsNotNova	16
116	ShedJr_	15
116	ewpunk	15
118	Kowcio_	13
119	Rumpletaezer	12
119	JayToe	12
121	Sheldor097	11
122	KarlKaek	10
122	set67	10
124	Arceus1975	9
124	stellarjay	9
124	HesDemonPants	9
124	zmpeg	9
128	Deathkob	8
129	Merv__	7
129	KG1999	7
131	Skylord_Luke	6
131	lizardfightclub	6
131	fkGrim	6
131	jcool7	6
135	Mahoose	5
135	Marbz_	5
135	_Bguette_	5
135	TechnoNinja64	5
139	Vorlice	4
139	h2p_emrld	4
141	peachfuzz1267	3
141	6king6colt6	3
141	ewsophie	3
141	Myszoaz	3
141	301851	3
141	Winklepicker279	3
141	Faart	3
148	Euclidoris	2
148	_8man	2
148	CruncyIsTaken	2
148	XeroByMyth	2
148	HolyVenom	2
148	Lord_Jord	2
148	EveryonesUncle	2
148	Blaiku	2
148	BumbleBeever	2
148	SingedBread	2
148	oxfordschool	2
148	smogfrog	2
160	teslawolf38	1
160	IronArshXS	1
160	TooManyDuck	1
160	RebelAndroid	1
160	Ssor69	1
160	Blackberry1310	1
160	Megarboh	1
160	Tmb1	1
160	himak1	1
160	loveseeker	1
160	SuperPooch06	1
160	Hyp3rion_	1
160	SokaOtaku	1
160	ApophisNova	1
160	RobotMinion101	1
160	NomadicRobin_	1
160	Jiminie	1
160	JESS_THE_RERE	1
160	EfficientC52	1
160	DolphinLaugh	1
160	OG_Songsee	1
160	MyNamaSheff	1
160	little_dUki	1
160	trexgb	1
160	MelodyGaysharks	1
