rank	username	minecraft:used/minecraft:spruce_leaves
1	Jimi7hits	31729
2	beeperbeeper5	16075
3	Ezekson	4683
4	Mahoose	4236
5	PlasticOtari	3815
6	Spacewardharpy7	3799
7	Groundler	3693
8	m_be9	3513
9	Skippeh	3433
10	Zythose	3190
11	Merv__	2889
12	Freak_Genius	1993
13	TheShyPig	1673
14	Shogunite	1652
15	EcksDofficial	1488
16	Chromary	1387
17	eitanzaki	1372
18	Xalithia	1271
19	xxPipperDipperxx	1248
20	_Dean_123	1167
21	titanlax	1138
22	NebulousBadger	1097
23	Eraxa	1064
24	El_Jalapeno	1016
25	CoffeeNoir	989
26	ApophisNova	951
26	MyNamaSheff	951
28	EcksD	883
29	lordpipe	842
30	Jiminie	814
31	ogoa	804
32	NameGenerat0r	793
33	thescout7	792
34	Frozil12	791
35	fred870d	788
36	pintsizedrogue	758
37	500am	642
37	Smoke____	642
39	Flores991	609
40	noam464	545
41	Tommhh	537
42	seanitoo	521
43	ImpavidArcher	511
44	valkam13	503
45	Legendosh	484
46	Wooptey	468
47	ROY4LE	425
48	Arceus1975	396
48	Racengan	396
50	CruncyIsTaken	374
51	UncleDanDan	364
52	_stets	350
53	Ssor69	330
54	pr33tu	328
55	Hermanni__	326
56	Inchef	319
57	kekhon	293
58	lcvezra	280
59	Onennon	275
60	fkGrim	272
60	UrbanPlanner1978	272
62	Matyyy15	264
63	Cowison	262
64	Meatlaugh	247
65	Chuglyfe	238
66	Myszoaz	237
66	BreadBacon	237
68	gabriels543	234
68	MightyWertu	234
70	Inbefour	229
71	Rumpletaezer	211
72	_Bguette_	210
72	Steelynan	210
74	Di_infiri	208
75	Segotep999	206
76	2blox	205
77	HellsSponge	204
78	SammiWolfGirl	203
79	__Fanda__	202
79	obzii	202
81	Dedalus36	200
81	Enderslayerxz3	200
83	Historical_Sand	195
84	Dusk_95	194
85	Fullut	193
86	EveryonesUncle	180
87	Cortexia	174
88	TheSecondLord	166
89	avalan64	165
90	PortlyPete69	164
91	rarrq	163
92	XboxPanda	159
93	Cryptacity	155
94	The_slideV3	153
95	zorin123	152
96	set67	149
97	killmeiamtraitor	143
98	Negriuke	142
98	BigCronkin	142
100	claivin	138
101	burbankbuilder28	132
102	SquadMonster	128
103	RodSerlingCringe	127
103	Omar_Alone	127
105	1442	126
106	Bumpy419	122
106	RedcatVII	122
108	benediktine1	117
109	Unitas_isa	114
109	CollinMH06	114
111	Groovy_MoonBird	113
111	SexcMf	113
113	Marbz_	105
114	Optiprimus	104
115	dabloons	103
115	LexMakesHistory	103
117	XxCookiequeenxX	98
118	_Boipl_	95
119	Da_Boss_Rani	94
119	MyNameIsJobo	94
121	MattieHD	93
122	Kowcio_	92
123	wezzzi	91
124	jnp_gaming	90
125	Werbe	89
126	Jahara	87
126	DemTechAlpha	87
128	Prismyst	82
128	Deathkob	82
130	Kubelz	80
130	wwwwinnebagoooo	80
132	Auseawesome	79
133	soundad	76
133	jcool7	76
135	rotten_mango	69
135	Sral7	69
137	Soplight	66
138	CarryLine	65
139	breadbowlgamer	64
139	Ragnar2105	64
141	_Virify_	63
142	bigstankyy	62
143	Skylord_Luke	61
144	Natty	58
145	sxc_	56
146	ZaneABrain	55
147	Frozt99	54
147	joethahobo	54
147	MinttyFressh	54
147	Bobby808	54
147	_Karmaa	54
152	ewsophie	53
153	mwrty	49
154	athereall	48
155	Lord_Jord	47
156	Xclax101	44
157	DC_XII	42
158	Adlair	38
158	TechnoNinja64	38
160	HesDemonPants	37
161	Blackberry1310	35
161	SpicyMeatballs	35
163	thewindmillman	34
163	Blu3beast	34
165	Snowflowe	31
165	00000000-0000-0000-0009-01ff0c3e5e4f	31
167	squigglybones	30
168	Lord_Doob	29
168	Ernnous	29
170	Quotary	28
171	Gamergirl420628	27
172	layabout100	25
173	heysushii	24
174	MunkaKris	23
174	lionmindset	23
174	CattSoup	23
177	Renchi19	22
178	NoxxxxiS	21
179	Crowvens	20
179	ReyTheLegend	20
179	CalebDHawk	20
182	gcaisawesome	19
183	Covalents	18
183	Wowful	18
185	Zlatovlas	17
186	JohnnyMines	16
186	KarlKaek	16
186	_HoneySlime_	16
189	Mr_Byzantine	14
189	epiksk8erduck	14
189	Blaiku	14
192	redikul	13
192	YungMaki	13
192	oxfordschool	13
195	Bazongoman	12
195	JESS_THE_RERE	12
195	Warlord324	12
198	RobotMinion101	11
198	MinuteMira	11
200	ShedJr_	10
200	PigDab	10
200	Mistruth	10
203	Ailmast	9
203	Rebytre	9
203	ToastedGamingYT	9
203	Sky_light_KING	9
207	BlueZabu	8
208	Froste131	7
208	Hpdinosaur	7
208	shyshyannne	7
208	prizm_	7
208	MakeHistory157	7
208	Nicserso	7
214	egglapras	6
214	IforgotCS_Source	6
214	UCP_TheKingK	6
214	erkada	6
214	YoshikageBites	6
219	eclipseboi	5
219	UncreativeArtist	5
219	pixelviolin	5
219	diggydog67	5
223	PhantomsGhost_	4
223	Drlzyy	4
223	H72l9w	4
223	12Magner05	4
223	loveseeker	4
223	SlayerCrypto	4
223	yaboo88	4
223	Hoid_the_Roamer	4
223	Toasty_Tom	4
223	sp00ky_ghost977	4
223	SSytex_X	4
234	EMC_	3
234	KomputerDude	3
234	MrExplorer	3
234	orxngejuice	3
234	Ecplosive	3
234	CrateOfBoxes	3
234	Leyna3	3
234	TheTrueClipse	3
234	iHuntWeeaboos	3
234	FlashMigma	3
234	Smiguli_	3
234	SvenskaHugo	3
234	mawileite	3
234	alderban107	3
248	ColeSnyder	2
248	Cartoonmaniac	2
248	surfinggiraffejp	2
248	Zaridey	2
248	DarlaMeow	2
248	Typadopoulos	2
248	WyngGoy	2
248	Ze_BaronKrigler	2
248	SpacesickPrism	2
248	KingMatthew506	2
258	AuroraValkyrie	1
258	Tolhart	1
258	RebelAndroid	1
258	Huwulling	1
258	Vizzoid	1
258	Prodiginus	1
258	ABUSNA1996	1
258	fr_ser	1
258	Hyp3rion_	1
258	Solar_Power	1
258	regulator75	1
258	Voxin2K	1
258	selectrix	1
258	chipklip	1
258	SUN_DREAM	1
258	07shiny	1
258	__tomato	1
258	stellarjay	1
258	_3Stump_	1
258	WYFYoyo	1
