rank	username	minecraft:used/minecraft:apple
1	Blackberry1310	626
2	Di_infiri	558
3	Werbe	413
3	Smoke____	413
5	I_Am_Mushkin	234
6	Freak_Genius	180
7	ImpavidArcher	141
8	Powowowow	136
9	33sudo	129
10	YungMaki	128
11	LordSpeed37	119
12	El_Jalapeno	111
13	Cowison	103
13	Steelynan	103
15	thescout7	101
15	DarlaMeow	101
17	Legendosh	98
18	Queen_Jalapeno	96
19	kekhon	94
19	Snowflowe	94
21	Miko_Fullbuster	93
22	TheTrueClipse	91
23	RebelAndroid	87
24	Wowful	86
25	Mr_Byzantine	83
26	burbankbuilder28	71
27	OfficerAnvil	69
28	CruncyIsTaken	67
29	Dreamdbr14	66
30	2Stout	65
31	Wooptey	62
32	Jonafrog99	59
32	TechnoNinja64	59
34	Ssor69	58
34	Spacewardharpy7	58
36	eitanzaki	57
36	Zaridey	57
38	Mahoose	56
38	Zythose	56
40	Inchef	55
41	_Huge_Male_	54
42	Arteriana	53
43	BodaciousCake	51
43	xxPipperDipperxx	51
45	_Boipl_	49
46	Euclidoris	47
47	WET_WET_WET	46
48	Malorn_Aetherius	43
48	Inbefour	43
50	SullyhS	41
50	Racengan	41
52	PeteO1995	40
52	Eraxa	40
54	_Virify_	38
55	PigDab	37
55	groofles	37
57	gabriels543	36
57	Akoot_	36
59	_Karmaa	35
59	Warlord324	35
61	Ezekson	34
62	lordpipe	33
63	binman420	32
63	IdeallyGrey	32
65	ProfessorBee	31
65	lcvezra	31
67	youhjjhhhjj	30
67	Onennon	30
67	Darkgon	30
70	Menthas	29
70	SuperPooch06	29
72	Fullut	28
72	lizardfightclub	28
72	EveryonesUncle	28
72	EcksDofficial	28
76	corvidpartyfor6	27
76	StinkyDiplomat	27
76	Dusk_95	27
76	LeeMcGee30	27
80	ratglock	26
81	itburb	25
81	CarltheCuck	25
81	Joestra	25
84	Awyrlas	24
84	_naturell	24
84	PlasticOtari	24
87	Bandito_Roamer	23
87	PazinGaming	23
87	bigstankyy	23
87	livingdaydreams	23
87	oreee	23
87	SteveCraftBlocks	23
87	seramalen	23
94	avalan64	22
94	07shiny	22
94	EcksD	22
94	AltnumberF4	22
94	Sral7	22
99	Frozil20	21
99	Nicky_H225	21
99	Hyp3rion_	21
99	ooga47	21
99	Blu3beast	21
99	oxfordschool	21
105	crying_wolf_13	20
105	Winklepicker279	20
105	impossibleteapot	20
105	Rebytre	20
109	Felenov	19
109	WhosJPG	19
109	Sharkbyte0	19
109	Synnlux	19
113	FrostySlimez	18
