rank	username	minecraft:used/minecraft:powder_snow_bucket
1	pixelviolin	1812
2	PlasticOtari	1006
3	thewindmillman	512
4	12Magner05	310
5	Hermanni__	149
6	StinkyDiplomat	107
7	AdmiralSmoke	89
8	Alteriity	86
9	Jackattack53	82
10	eitanzaki	68
11	Segotep999	59
12	Hyp3rion_	57
13	AgressiveEggdog	46
14	noam464	42
15	fluddd	39
16	TruestTurnip	38
17	Mahoose	35
18	TheSecondLord	33
19	MineMaster0012	32
20	excelsionprime	31
21	jessewegottacook	30
22	Rebytre	29
22	OffWithTheirHead	29
24	BPTY4618	27
24	HolyVenom	27
26	alanbleachdemon	21
27	hm947	20
27	Blackberry1310	20
29	2blox_	18
30	Manaateee	17
31	Inchef	16
31	Mattesco	16
31	NomadicRobin_	16
34	mihimihimihi	15
35	pintsizedrogue	13
35	ECstardust	13
35	AstreaTSS	13
38	lordpipe	12
39	Thomez_	10
39	jcool7	10
41	oscminus	9
42	xxPipperDipperxx	8
42	TJawesome09	8
44	AlexxO_o	7
44	Hahaa_0	7
46	Enderxz3	6
47	Frozil20	5
47	EveryonesUncle	5
49	Lez_	4
49	joethahobo	4
49	rarrq	4
49	500am	4
49	shadowthemonkey	4
49	floodjon	4
49	Luminad3	4
49	LeonelSalamanca	4
49	shrimp_flips	4
58	Merv__	3
58	Secret_Canary	3
58	_Boipl_	3
58	Kowcio_	3
62	CLG_Kata	2
62	ItsHydroMC	2
62	luseis	2
62	CuzIm2Kev	2
62	Eczbek	2
62	AltnumberF4	2
62	00000000-0000-0000-0009-01faf4342590	2
69	CoffeeNoir	1
69	ITDV	1
69	Historical_Sand	1
69	beeperbeeper5	1
69	Kakolbus	1
69	SuperPooch06	1
69	Akoot_	1
69	iSammael	1
69	Eraxa	1
69	Iamthejo	1
