rank	username	minecraft:used/minecraft:cyan_shulker_box
1	Zythose	1181
2	Mahoose	1096
3	pintsizedrogue	970
4	Legendosh	730
5	Akoot_	691
6	Hyp3rion_	606
7	500am	602
8	TheShyPig	463
9	YungMaki	457
10	joethahobo	439
11	Merv__	353
12	rarrq	349
13	beeperbeeper5	298
14	PlasticOtari	292
15	Xalithia	253
16	yulgur1	221
17	Enderslayerxz3	204
18	Fullut	189
19	mwrty	183
20	Snowflowe	182
21	ApophisNova	171
21	MyNamaSheff	171
23	Ezekson	161
24	fw3xywashere	147
25	sp00ky_ghost977	143
26	jnp_gaming	134
27	Eraxa	132
28	claivin	122
29	CoffeeNoir	107
30	Spacewardharpy7	101
31	Groundler	97
32	SammiWolfGirl	90
33	kekhon	88
34	Blackberry1310	86
34	jcool7	86
36	El_Jalapeno	84
37	Jackattack53	82
37	Smoke____	82
39	Marbz_	79
40	Historical_Sand	78
40	pixelviolin	78
42	lillips	74
43	Comma__	73
43	fade_emerge78823	73
45	12Magner05	72
46	NieToksikpl	71
47	KingMatthew506	70
48	HellsSponge	65
48	Cyntrical	65
50	HolyVenom	64
51	SingedBread	62
52	ClemenPine	60
53	Hisiste	53
54	oxfordschool	52
55	TheSecondLord	51
55	fluddd	51
57	Sky_light_KING	50
57	DanTheBuilderino	50
59	livingdaydreams	49
60	Bandito_Roamer	45
60	Jiminie	45
62	h2p_emrld	43
63	MattieHD	41
64	MilleGrug	40
65	NameGenerat0r	39
66	whoaluv	36
67	paranoid_plant	34
68	eclipseboi	32
68	ToastedGamingYT	32
70	Di_infiri	31
70	Dogcorn69420	31
72	abramgray	30
73	groofles	29
73	EcksD	29
75	Hpdinosaur	25
76	PhantomsGhost_	23
77	Lukeee33	22
78	KartivGal	21
78	lordpipe	21
80	EveryonesUncle	19
81	stahouo	18
81	CalebDHawk	18
83	The_slideV3	17
84	Jiminbub	16
84	MightyWertu	16
84	Th6masss	16
84	Steelynan	16
88	IronArshXS	15
88	Queen_Jalapeno	15
88	Hoid_the_Roamer	15
91	titanlax	14
91	lizardfightclub	14
93	EMC_	13
93	thescout7	13
95	SaucyDark	12
95	Shogunite	12
95	Vegvisir	12
95	Razzgriz	12
95	ZoomieZoomie	12
100	m_be9	11
100	Ecplosive	11
100	fred870d	11
100	iSammael	11
100	tsitrawhy	11
100	ZeroKraken	11
106	Werbe	10
107	xxPipperDipperxx	9
107	prizm_	9
107	LexMakesHistory	9
110	Kakolbus	8
110	thewindmillman	8
110	Segotep999	8
110	Soplight	8
114	emrekn	7
114	noam464	7
114	k1ngGilgamesh	7
114	Mattesco	7
114	sxc_	7
114	KSI	7
114	anbbang	7
121	H72l9w	6
121	MinttyFressh	6
121	Blaiku	6
124	AuroraValkyrie	5
124	Foof13	5
124	MSK__	5
124	jushykins	5
124	ROY4LE	5
124	LeGold	5
124	wezzzi	5
124	_Bguette_	5
124	Freak_Genius	5
133	Houstonion	4
133	eitanzaki	4
133	Huwulling	4
133	Euclidoris	4
133	r123moore	4
133	dartwaffle	4
133	Lord_Jord	4
133	NomadicRobin_	4
133	Deodorante	4
142	MixerDixer	3
142	Ev0luti0nz	3
142	ImpavidArcher	3
142	ZaneABrain	3
142	Awyrlas	3
142	Skylord_Luke	3
142	Voxin2K	3
142	audiocracked	3
142	Deathkob	3
142	Vorlice	3
142	Smiguli_	3
153	_Virify_	2
153	T045RTY	2
153	_Frepp_	2
153	SteveCraftBlocks	2
153	Smashic	2
153	gcaisawesome	2
153	fr_ser	2
153	Arceus1975	2
153	Bumpy419	2
153	PigDab	2
153	Wowful	2
153	Inbefour	2
153	OG_Songsee	2
153	EcksDofficial	2
167	seanitoo	1
167	KarlKaek	1
167	Octatrack	1
167	Lez_	1
167	shyshyannne	1
167	NotTrixi	1
167	hotdogdude23	1
167	Rocketlaunchers	1
167	gabriels543	1
167	xambsam	1
167	Rumpletaezer	1
167	WET_WET_WET	1
167	pappaberg	1
167	TheWildMateo	1
167	DominusBeryl	1
167	Jimi7hits	1
167	masskedman	1
167	Fuhrer_Teemo	1
167	_Karmaa	1
167	censorsheep	1
167	Frozil12	1
167	MakeHistory157	1
167	SvenskaHugo	1
167	Kowcio_	1
167	BlankityMcBlank	1
167	x86assembly	1
167	TechnoNinja64	1
167	Sral7	1
