rank	username	minecraft:used/minecraft:light_gray_banner
1	Mahoose	89
2	luseis	55
3	lcvezra	31
4	SquadMonster	26
4	AdmiralSmoke	26
6	Shogunite	24
7	Lez_	18
8	beeperbeeper5	17
9	kekhon	16
9	pappaberg	16
11	TheShyPig	13
12	m_be9	12
13	500am	11
13	Fuhrer_Teemo	11
13	Legendosh	11
16	ABUSNA1996	9
17	Mr_Byzantine	8
17	Winklepicker279	8
17	Marbz_	8
20	pintsizedrogue	7
21	_Dean_123	6
21	Smashic	6
21	HellsSponge	6
24	titanlax	5
24	EveryonesUncle	5
24	Biites	5
27	Incinere	4
27	ApophisNova	4
27	RobotMinion101	4
27	Druid95	4
27	MyNamaSheff	4
32	CoffeeNoir	3
33	ROY4LE	2
33	noam464	2
33	Mattesco	2
33	Xclax101	2
33	Kowcio_	2
38	jerrypeter472	1
38	RatatJuice	1
38	Blackberry1310	1
38	TheSecondLord	1
38	SteveCraftBlocks	1
38	LeonelSalamanca	1
38	Blu3beast	1
38	YungMaki	1
38	UCP_TheKingK	1
38	Enderxz3	1
