rank	username	minecraft:used/minecraft:netherrack
1	HellsSponge	105760
2	Zythose	103268
3	Di_infiri	69530
4	noam464	52490
5	TheShyPig	40097
6	Enderslayerxz3	38508
7	mwrty	36806
8	EcksD	33772
9	MightyWertu	31459
10	PigDab	24625
11	RadarHz	21513
12	Smoke____	21058
13	Hyp3rion_	19964
14	claivin	19378
15	eitanzaki	19321
16	thewindmillman	16934
17	Frozil12	16713
18	Legendosh	16602
19	beeperbeeper5	15888
20	Deerfoot	14896
21	YungMaki	14711
22	rarrq	14330
23	Hermanni__	12777
24	m_be9	11456
25	bigstankyy	11338
26	gcaisawesome	11156
27	_Nuf	10952
28	Fullut	10461
29	Dedalus36	10329
30	Bumpy419	10254
31	Onennon	10185
32	RebelAndroid	9603
33	Winklepicker279	9538
34	PlasticOtari	9304
35	Xalithia	9254
36	NomadicRobin_	8938
37	thescout7	8733
38	trexgb	8652
39	Arceus1975	8450
40	MilleGrug	8331
41	pintsizedrogue	8262
42	Spacewardharpy7	7926
43	Blaiku	7829
44	El_Jalapeno	7824
45	TechnoNinja64	7586
46	set67	7584
47	Natofthese	7509
48	fluddd	7153
49	Racengan	7080
50	JayToe	6772
51	MissCeleste7	6713
52	ApophisNova	6711
52	MyNamaSheff	6711
54	joethahobo	6691
55	TheSecondLord	6670
56	Blackberry1310	6394
57	Akoot_	6239
58	Werbe	5841
58	AssEatrAndLicker	5841
60	MyNameIsJobo	5794
61	Drewen24	5311
62	DarkS0L	5260
63	lizardfightclub	5224
64	Snowflowe	5217
65	T045RTY	5156
66	The_slideV3	5081
67	Groovy_MoonBird	4915
68	Groundler	4841
69	Zaridey	4834
70	kekhon	4830
71	NoChumpChange	4667
72	SkateboardR6	4629
73	CoffeeNoir	4558
74	fred870d	4480
75	XboxPanda	4465
76	Kynigito	4462
77	Strangemonkey71	4452
78	Soplight	4445
79	SingedBread	4425
80	WyngGoy	4276
81	wezzzi	4254
82	_Virify_	4229
83	M_Patata	4199
84	MasterNueve	4187
85	lordpipe	4136
86	Hisiste	4090
87	Reamdin	4056
88	Nycteus_	4043
89	Freak_Genius	4035
90	AuroraValkyrie	3997
91	Kowcio_	3856
92	EveryonesUncle	3832
93	500am	3807
94	mariominejedi	3762
95	12Magner05	3735
96	Froste131	3728
97	MattieHD	3540
98	Vizzoid	3521
99	Xclax101	3453
100	_NieToksikpl_	3386
101	GravitySaint	3315
102	livingdaydreams	3313
103	censorsheep	3300
104	TooManyDuck	3285
105	bloodbiter	3243
106	301851	3152
107	Scathra	3147
108	Eraxa	3135
109	Miko_Fullbuster	3062
110	ShedJr_	3045
111	Decaying_Lotus	3029
112	BobDeBouwer1337	2999
113	anbbang	2964
114	audiocracked	2934
115	__tomato	2881
116	stavgod	2807
117	Vorlice	2799
118	jnp_gaming	2792
119	sebastiensaborio	2783
120	Kakolbus	2764
121	Ssor69	2754
122	Spenduh	2722
123	Chromary	2594
124	Blu3beast	2570
125	Skippeh	2569
126	Dusk_95	2551
127	SSytex_X	2522
128	Franco093	2464
129	AltnumberF4	2461
130	mawileite	2459
131	Drlzyy	2455
132	Merv__	2432
133	ediballbearings	2417
134	diamondgolem35	2401
135	SuperPooch06	2389
136	picardred	2387
137	NinjaKnifeKill	2300
138	AlphaWolfPlaysMC	2293
139	TheEnderman548	2267
140	ewsophie	2249
141	SellyZ	2231
142	CruncyIsTaken	2190
143	RyuNeko932000	2145
144	PortlyPete69	2087
145	Kouridragon	2079
146	Quincannon	2072
147	Lord_Jord	2057
148	DarlaMeow	2055
149	_Karmaa	2027
150	r123moore	1994
151	cedric72	1986
152	Historical_Sand	1957
153	MinttyFressh	1953
154	nocturne78	1937
155	KnightmareD	1912
156	Bandito_Roamer	1881
157	07shiny	1864
158	ROY4LE	1823
159	JEWISHBadenBeele	1812
160	EcksDofficial	1760
161	Deathkob	1747
162	MovingFish7	1744
163	yatsuta	1725
164	tartanboy	1723
165	Myszoaz	1714
166	RoyalDorrr	1707
167	djancak	1687
168	Mahoose	1683
169	DanTheBuilderino	1674
170	Ezekson	1671
171	HolyVenom	1664
172	Kubelz	1661
173	Cocoamallows	1644
174	Leyna3	1624
175	KG1999	1591
176	DemTechAlpha	1584
177	Soul_Atreus	1561
178	SlayerCrypto	1555
179	MAns_44	1540
180	2blox	1519
181	sxc_	1505
182	brofrickcheaters	1499
183	tobinwilliams	1494
184	Awyrlas	1483
185	burbankbuilder28	1463
186	WET_WET_WET	1457
187	MustaLoordi	1444
188	H72l9w	1439
189	diggydog67	1433
190	loveseeker	1430
191	PhantomsGhost_	1425
192	MyNameIsDakar	1421
193	Kubeusz2010	1407
194	CliffEmAll	1406
195	Rumpletaezer	1402
196	JESS_THE_RERE	1388
197	ooga47	1349
198	Ardennes	1347
199	chipklip	1333
200	ratglock	1283
201	YungWali	1278
202	Zoeyfortnite	1277
203	oxfordschool	1275
204	CalebDHawk	1261
205	Jackattack53	1252
206	Batman922	1237
206	egglapras	1237
208	jcool7	1227
209	Cowison	1222
210	CharlieButt	1194
211	IdeallyGrey	1188
212	SammiWolfGirl	1186
213	adiccting01	1183
214	TheDankPlatypus	1166
215	MangoTheFish	1161
216	vandmanden	1158
217	Njensen7	1154
218	BlancoFlaco	1145
219	Razzgriz	1124
220	OfficerAnvil	1116
221	FirsTimeGamingTV	1114
222	stellarjay	1109
223	SamZombie	1105
224	Kyrum2169	1102
225	ssleepless	1069
226	Inchef	1068
227	Zippyzam	1063
228	Billious	1046
229	yulgur1	1039
230	mimbo1211	1029
231	paranoid_plant	1012
232	RodSerlingCringe	1010
233	Dogcorn69420	1005
234	awesomeoneme	1004
235	zmpeg	986
236	DAD_1996	974
237	FishyBoy3811	962
238	_Boipl_	961
239	Stynxy	958
240	KartivGal	957
241	Typadopoulos	952
242	smogfrog	949
243	striker90333	946
244	Kamflame10	933
245	SwooshBoi	921
246	fanofbands101	911
247	error10101	908
248	Luigipunch989	888
249	UrbanPlanner1978	887
250	_Bguette_	880
251	monky_irl	853
252	OG_Songsee	843
253	Sral7	839
254	Nicky19	838
255	Maenara	836
256	AJplaysMC_	828
257	Truckoss	823
257	ayamefag	823
259	6king6colt6	821
260	Inbefour	815
261	Barlycorn	808
262	eiC_	806
262	Kateesaur	806
264	SaltineDream	802
264	jacxhadow	802
266	Sky_light_KING	800
267	AnnieBathory	792
268	Donutt	785
269	BlueZabu	780
270	Flores991	777
271	bitsplease	775
272	geekbird	772
273	himak1	761
274	Nicserso	756
275	Comma__	754
276	Powowowow	751
277	Yatitay	747
278	obzii	746
279	__TheNorseMan__	737
280	Fizznut909	728
281	SaucyDark	716
282	GlitchyPlate810	715
283	youhjjhhhjj	691
284	_Dean_123	684
285	NotMeowMix	683
286	abramgray	677
287	Covalents	675
288	benediktine1	662
289	Simon_Lowell	659
290	fallingemma	641
291	gabriels543	639
292	Enigma0251	637
293	gustarbite	633
293	Aezekial	633
295	Gab4101	622
296	lcvezra	620
297	The_Fulgurator	606
298	voiding_	603
299	DeGodz4life	594
300	whoaluv	592
