rank	username	minecraft:used/minecraft:green_banner
1	joethahobo	200
2	Lez_	181
3	beeperbeeper5	161
4	k_ce	133
5	luseis	107
6	Buuck_	47
7	SteveCraftBlocks	38
8	craaaash	34
9	_Dean_123	30
9	Skylord_Luke	30
11	Mahoose	29
12	pintsizedrogue	27
12	TheShyPig	27
14	Huwulling	25
14	Kakolbus	25
16	ABUSNA1996	24
17	StarCookiees_	23
18	cuddlyMonster	21
19	Historical_Sand	18
20	Mattesco	16
20	LuvLuvLove	16
22	lorywithay	15
22	ShedJr_	15
24	Merv__	14
25	Xclax101	12
25	Kowcio_	12
25	TheKingK_	12
28	skroobiez	11
28	Werbe	11
28	SvenskaHugo	11
31	Snowflowe	10
32	Mr_Byzantine	9
32	TheSecondLord	9
32	pixelviolin	9
35	toj__	8
35	AlexxO_o	8
35	lordpipe	8
35	robonya_	8
35	CalebDHawk	8
35	Yamdalorian	8
41	Smashic	7
42	corpsecity	6
42	Nateman1000	6
42	Legendosh	6
42	Jimb0nat0r	6
46	SammiWolfGirl	5
46	jnp_gaming	5
48	ECstardust	4
48	Blackberry1310	4
48	SnowyAvi	4
48	Fullut	4
48	seramalen	4
48	HellsSponge	4
54	RatatJuice	3
54	tlal002	3
54	Studio4x32	3
54	EveryonesUncle	3
54	_Karmaa	3
54	BinChickenBrine	3
54	Blaiku	3
54	wwwwinnebagoooo	3
54	Spacewardharpy7	3
54	Pumpkin_P_Patch	3
54	ConnorDanky_	3
65	77Holly7	2
65	IWorkAtIkea	2
65	noam464	2
65	bl1ss0	2
65	hanaryheatwave	2
65	Kondzik2008	2
65	NotHimMC	2
65	ScootOfBoot	2
65	goldyx	2
65	Thunder_bird4337	2
65	Soplight	2
76	Groovy_MoonBird	1
76	Niklas20114552	1
76	q_wq	1
76	Frozil20	1
76	hm947	1
76	LagVibes	1
76	Alteriity	1
76	Swexti	1
76	Crowman1	1
76	m_be9	1
76	APickledGoat	1
76	MattieHD	1
76	rebichuu	1
76	LeauVox4921	1
76	r123moore	1
76	KingEgg1	1
76	legal_tax_evader	1
76	Chromary	1
76	Krowuss	1
76	oscminus	1
76	Zeezap	1
76	Akoot_	1
76	Lord_Jord	1
76	Manaateee	1
76	FILIP1e	1
76	StinkyDiplomat	1
76	MAns_44	1
76	Druid95	1
76	FiguraDei	1
76	Segotep999	1
76	EeveeUwUz	1
76	TechnoNinja64	1
