rank	username	minecraft:used/minecraft:lapis_ore
1	joethahobo	2017
2	lordpipe	1202
3	Hyp3rion_	1138
4	Spacewardharpy7	921
5	thewindmillman	916
6	gcaisawesome	724
7	PhantomsGhost_	624
8	Skippeh	560
9	Snowflowe	556
10	Blaiku	519
11	EveryonesUncle	466
12	TheShyPig	425
13	NameGenerat0r	381
14	YungMaki	376
15	Kakolbus	362
16	beeperbeeper5	335
17	Ezekson	322
18	Miko_Fullbuster	315
19	Enderslayerxz3	314
20	Steven1282598	305
21	EMC_	287
22	12Magner05	262
23	ApophisNova	261
23	MyNamaSheff	261
25	xDzarkious	253
26	PlasticOtari	248
27	Freak_Genius	230
28	diamondgolem35	225
29	Werbe	206
30	set67	200
31	pintsizedrogue	192
32	TheThomas69	182
33	TheSecondLord	176
34	livingdaydreams	165
35	ClemenPine	158
36	Steelynan	156
37	SpaceGrenadier	138
38	Arceus1975	128
39	Mahoose	126
40	MyNameIsJobo	119
41	oxfordschool	116
42	kekhon	115
42	Soap_Bender	115
44	MangoTheFish	114
44	HolyVenom	114
44	Eczbek	114
47	EfficientC52	112
48	RebelAndroid	106
49	SeverianTheLame	105
50	FirsTimeGamingTV	103
51	Vetral1	99
52	Mewar	98
52	claivin	98
52	jcool7	98
55	Winklepicker279	96
55	Segotep999	96
57	Merv__	93
58	KnightmareD	91
59	Smoke____	88
60	Maenara	83
61	Deathkob	81
61	Lutres_Torane	81
63	TheSeismicDuck	78
64	NoChumpChange	76
65	Scathra	75
65	M_Patata	75
67	MasterNueve	73
68	rarrq	72
69	ItsJunoIGuess	71
70	Drlzyy	70
70	Hisiste	70
72	Corbsman	69
73	BodaciousCake	68
74	Marbz_	66
75	Smiguli_	62
75	WyngGoy	62
77	Jiminie	61
78	ProfessorBee	60
78	Akoot_	60
80	audiocracked	59
81	NomadicRobin_	57
82	noam464	56
83	Fullut	55
83	TheOuterCore	55
85	fred870d	54
85	Fuhrer_Teemo	54
87	TechnoNinja64	53
88	ROY4LE	52
88	MakeHistory157	52
90	Afinnity	51
90	Groundler	51
92	anbbang	50
93	Historical_Sand	48
93	LeauVox4921	48
93	Soplight	48
96	Blackberry1310	47
96	KartivGal	47
98	T045RTY	46
99	mwrty	43
100	ediballbearings	42
101	Blu3beast	41
101	radioactv_jelly	41
103	Iagoku	40
103	Nyxiom_	40
103	jnp_gaming	40
106	BlancoFlaco	39
106	Megarboh	39
106	fkGrim	39
109	HellsSponge	37
110	SaucyDark	36
110	hcb238	36
112	teslawolf38	35
113	beeleg	34
114	Yatitay	33
114	Kegradigm	33
114	Hpdinosaur	33
117	MrExplorer	31
117	Inbefour	31
117	_czarny	31
117	Dogcorn69420	31
121	andy_rex	30
121	OverallConcept	30
123	jushykins	29
123	Cyntrical	29
123	Kubeusz2010	29
126	ProbablyNick	28
126	KG1999	28
126	PlzNoBM	28
129	Menthas	27
129	nataliecool	27
129	gaziter10	27
129	Hoid_the_Roamer	27
129	Cocoamallows	27
134	Healthing	26
134	ssleepless	26
134	IWorkAtIkea	26
134	Kouridragon	26
134	pixelviolin	26
139	Cowison	25
139	ShedJr_	25
139	XboxPanda	25
139	pappaberg	25
139	JayToe	25
139	diggydog67	25
145	Shiirazuku	24
145	Omar_Alone	24
147	Smashic	23
147	SellyZ	23
147	lizardfightclub	23
147	drumine	23
147	07shiny	23
152	Lukeee33	22
152	Zedducius	22
152	shyshyannne	22
152	Rocco_Lane	22
152	OG_Songsee	22
152	Jij0	22
158	Jovaphobic	21
158	hm947	21
158	Ssor69	21
158	Hermanni__	21
162	JohnnyFyes	20
162	eviltunix	20
162	TheTrueClipse	20
162	SlinkyPinky	20
166	r123moore	19
166	RefluxRatio	19
166	XeroByMyth	19
166	masskedman	19
166	Eraxa	19
171	TooManyDuck	18
171	eiC_	18
171	SammiWolfGirl	18
171	little_dUki	18
171	Zoeyfortnite	18
176	peachfuzz1267	17
176	selectrix	17
176	NotMeowMix	17
176	FishisTTV	17
180	YungJakobo	16
180	AngalexikCZ	16
180	DTwenty	16
180	Frozil12	16
180	Barlycorn	16
180	Chaotic1s	16
186	abramgray	15
186	LexMakesHistory	15
188	MOSS000	14
188	NieToksikpl	14
188	Kamflame10	14
188	Hanselhoof	14
188	Hiryu27	14
193	Dedalus36	13
193	Flores991	13
193	Ryker	13
193	MrKrabOnCoke	13
193	zorin123	13
193	corvidpartyfor6	13
193	lOlmantschi	13
193	LilLizardWizard	13
193	Karbl	13
193	_Yonk_	13
193	erkada	13
193	vandmanden	13
205	Noah_Bez	12
205	Kynigito	12
205	fw3xywashere	12
205	DarlaMeow	12
205	Shogunite	12
205	MilleGrug	12
205	WYFYoyo	12
205	JohnPrice	12
213	eitanzaki	11
213	awesomeoneme	11
213	Inchef	11
213	DaviusMaximoose	11
213	Lord_Jord	11
218	Cryptacity	10
218	jacxhadow	10
218	boog4loo	10
218	Jimi7hits	10
218	Leyna3	10
218	MovingFish7	10
218	Kyrum2169	10
218	Sheldor097	10
218	00000000-0000-0000-0009-01f898304150	10
227	Bandito_Roamer	9
227	kaziroki	9
227	emrekn	9
227	Jackattack53	9
227	BronkerBrum	9
227	Powowowow	9
233	gilesmcriles	8
233	Comma__	8
233	Rebytre	8
233	Drewen24	8
233	501g	8
238	Mr_Byzantine	7
238	6king6colt6	7
238	egglapras	7
238	groofles	7
238	SUN_DREAM	7
238	KingMatthew506	7
238	Rainaldus	7
238	FelixPSY375	7
246	SaltineDream	6
246	YinToYin	6
246	SDMNAEK	6
246	MattieHD	6
246	leaf26	6
246	dartwaffle	6
246	sammidk	6
246	Xclax101	6
246	IdeallyGrey	6
246	Kowcio_	6
246	BlankityMcBlank	6
246	brofrickcheaters	6
246	Fizznut909	6
246	_3Stump_	6
260	soundad	5
260	titanlax	5
260	NotTrixi	5
260	Covalents	5
260	Roosje69	5
260	YungWali	5
260	Racengan	5
260	Airem_Core	5
260	Kferno	5
260	EcksD	5
260	2blox	5
271	ImpavidArcher	4
271	Euclidoris	4
271	Timfinity4	4
271	PegLegPete93	4
271	Di_infiri	4
271	SokaOtaku	4
271	ogoa	4
271	Katthaj	4
271	Quincannon	4
271	MightyWertu	4
271	BumbleBeever	4
271	SingedBread	4
271	33sudo	4
271	obzii	4
285	MSK__	3
285	Vizzoid	3
285	Malorn_Aetherius	3
285	G1ldor	3
285	slkiey	3
285	Rumpletaezer	3
285	MaGro2010	3
285	Kim_Jong_eel	3
285	XxCookiequeenxX	3
285	Quaintster	3
285	ItsJWolff	3
285	Dusk_95	3
285	AltnumberF4	3
285	Lowjinx	3
285	kinas45y5	3
300	_Virify_	2
