rank	username	minecraft:used/minecraft:furnace
1	noam464	3559
2	Di_infiri	2045
3	lordpipe	1837
4	MOSS000	1405
5	HellsSponge	1180
6	eitanzaki	816
7	TheShyPig	741
8	fffMike	561
9	Snowflowe	521
10	Smoke____	513
11	NameGenerat0r	494
12	obzii	452
13	PlasticOtari	427
14	Spacewardharpy7	419
15	Werbe	412
16	rarrq	397
17	pintsizedrogue	355
18	mwrty	326
19	thewindmillman	304
19	Legendosh	304
21	Vorlice	299
22	Blaiku	297
23	Jovaphobic	287
24	Fullut	269
25	m_be9	263
26	PigDab	262
27	_Karmaa	248
28	Hyp3rion_	245
29	Frozil20	225
30	Kakolbus	224
31	Enderxz3	214
32	ImpavidArcher	209
33	mihimihimihi	208
34	sp00ky_ghost977	204
35	kekhon	197
36	Bumpy419	190
37	Deathkob	186
38	MyNameIsJobo	184
39	Akoot_	180
39	xolstoi	180
41	Lord_Jord	179
42	Hiryu27	177
43	thescout7	172
44	Blackberry1310	168
45	WyngGoy	166
46	Blu3beast	164
47	jnp_gaming	163
48	EveryonesUncle	162
49	YungMaki	161
50	SaintJosie	159
51	Sral7	158
52	Mahoose	155
52	Eraxa	155
54	Merv__	154
55	ProfessorBee	152
56	Ezekson	150
57	Mr_Byzantine	147
58	TheDankPlatypus	142
59	KarlKaek	140
60	eviltunix	137
60	gcaisawesome	137
60	EcksD	137
63	Jackattack53	134
64	joethahobo	129
64	12Magner05	129
66	CHUUUBZZ_99	126
67	Iamthejo	124
68	Steelynan	123
69	Lez_	122
69	Inchef	122
69	Skippeh	122
72	NatalieTW	120
73	El_Jalapeno	119
74	500am	118
75	cedric72	117
76	FreakGenius	116
77	RealGroot	115
77	lcvezra	115
77	MilleGrug	115
80	Kowcio_	111
81	Jonafrog99	110
81	yatsuta	110
83	Historical_Sand	109
83	Rumpletaezer	109
85	beeperbeeper5	108
85	FreddyFart	108
87	ApophisNova	107
87	MyNamaSheff	107
89	TheSecondLord	106
90	Kferno	104
91	TheBiggestFeller	103
92	gabriels543	100
93	MattieHD	98
93	Winklepicker279	98
95	claivin	97
95	MightyWertu	97
95	SSytex_X	97
98	EMC_	96
98	Wooptey	96
98	NinjaKnifeKill	96
101	BobDeBouwer1337	93
101	Yirtle	93
103	teslawolf38	92
103	Majonezzon	92
105	XboxPanda	89
105	wezzzi	89
105	luseis	89
105	TechnoNinja64	89
109	MustaLoordi	88
109	non089	88
111	Zythose	86
111	PortlyPete69	86
113	Fuhrer_Teemo	85
114	ROY4LE	84
114	censorsheep	84
116	Shin69	83
117	yulgur1	82
118	set67	81
119	Comma__	80
119	__tomato	80
121	IamCL4SSY	79
121	GoofySilly	79
121	Soplight	79
121	vandmanden	79
125	PhantomsGhost_	78
125	John6970	78
125	Optiprimus	78
128	RebelAndroid	77
129	Kubelz	76
129	layabout100	76
131	radioactv_jelly	75
131	Nicserso	75
133	CadenSteele	74
133	Syropatathe	74
133	MakeHistory157	74
136	T045RTY	73
136	301851	73
136	Malorn_Aetherius	73
136	Rebytre	73
136	Soap_Bender	73
136	Quincannon	73
142	6king6colt6	72
142	Stiar	72
142	Shogunite	72
142	Hisiste	72
146	EngagedGrub41	71
147	SaucyDark	70
147	RatatJuice	70
149	Arteriana	69
149	QuiCreans	69
151	King_Pancake1	68
151	Warlord324	68
153	Awyrlas	67
153	Inbefour	67
153	Xclax101	67
156	Ze1ig	66
156	GravitySaint	66
156	tsitrawhy	66
159	The_slideV3	65
159	Nycteus_	65
159	Wolverine4302	65
159	h2p_emrld	65
163	_Dean_123	64
163	SingedBread	64
165	chimpmunker	63
165	Onennon	63
165	Dreamdbr14	63
165	Zoeyfortnite	63
169	Jackster03	62
169	Arceus1975	62
169	bitsplease	62
172	Incinere	61
172	Gryglu583	61
172	DemTechAlpha	61
172	Deerfoot	61
176	ShedJr_	60
176	Eraza	60
176	Zaridey	60
176	Smussa	60
176	fkGrim	60
181	Hermanni__	59
182	djancak	58
183	Vizzoid	57
183	SellyZ	57
183	Barlycorn	57
183	SvenskaHugo	57
187	Swexti	56
187	drunkeeez	56
187	Tyrannosplart	56
187	SkateboardR6	56
187	_TCARREIRA_	56
192	SmashingPump	55
192	TooManyDuck	55
192	Euclidoris	55
192	groofles	55
192	MAns_44	55
192	gusstationwerker	55
198	Esme_1	54
198	dopplexd	54
198	titanlax	54
198	jacxhadow	54
198	XxCookiequeenxX	54
203	Cryptacity	53
203	andy_rex	53
203	GoofyBread	53
203	07shiny	53
207	Bandito_Roamer	52
208	picardred	51
208	himak1	51
208	Moofyman	51
208	Groundler	51
208	LordSpeed37	51
208	mobunni	51
208	MirielThePastor	51
215	Covalents	50
215	LexMakesHistory	50
215	BumbleBeever	50
215	SUN_DREAM	50
215	Sheldor097	50
215	Quotary	50
221	soundad	49
221	diamondgolem35	49
221	DC_XII	49
