rank	username	minecraft:used/minecraft:grass_block
1	Skylord_Luke	76951
2	Mattesco	62594
3	beeperbeeper5	61071
4	Kakolbus	56343
5	MoistMicrowave	50388
6	EveryonesUncle	48250
7	Manaateee	40796
8	Di_infiri	38783
9	noam464	38608
10	joethahobo	37447
11	Sral7	36185
12	FreakGenius	31048
13	Steelynan	30604
14	PlasticOtari	30067
15	oscminus	30063
16	HellsSponge	29183
17	EMC_	28858
18	AdmiralSmoke	27381
19	Kowcio_	25672
20	jnp_gaming	22807
21	Enderxz3	22395
22	j5ylim	21944
23	Mahoose	21739
24	YungMaki	21329
25	Jackattack53	21219
26	Merv__	20202
27	ApophisNova	18839
28	k_ce	18779
29	MyNamaSheff	18575
30	PigDab	18418
31	Werbe	17738
32	Ezekson	16724
33	Shogunite	16714
34	pintsizedrogue	15577
35	luseis	15558
36	El_Jalapeno	15281
37	wwwwinnebagoooo	15242
38	rarrq	15121
39	TheSecondLord	14006
40	Spenduh	13218
41	Blaiku	13107
42	burbankbuilder28	12690
43	TheShyPig	12510
44	Cowison	11725
45	Historical_Sand	11678
46	Hyp3rion_	11611
47	Buuck_	11244
48	Lutres_	10535
49	Blackberry1310	10172
50	PazinGaming	9931
51	xolstoi	9779
52	Huwulling	9750
53	Jimb0nat0r	9730
54	Frozil20	9029
55	UCP_TheKingK	9028
56	MightyWertu	8996
57	LeauVox4921	8577
58	Nicserso	8555
59	Mr_Byzantine	8436
60	eitanzaki	8380
61	gcaisawesome	8113
62	fffMike	7996
63	Eraxa	7877
64	Spacewardharpy7	7859
65	picardred	7800
66	_Dean_123	7159
67	lordpipe	7045
68	Onennon	6979
69	AuroraValkyrie	6843
70	m_be9	6547
71	TechnoNinja64	6499
72	ShedJr_	6443
73	SpacesickPrism	6424
74	diggydog67	6094
75	corvidpartyfor6	6052
76	Inchef	6049
77	ProfessorBee	5930
78	Winklepicker279	5902
79	Segotep999	5869
80	Elastiq	5811
81	RebelAndroid	5715
82	Incinere	5708
83	Arceus1975	5673
84	titanlax	5643
85	Rebytre	5624
86	EcksD	5486
87	Soplight	5253
88	MattieHD	5175
89	12Magner05	4992
90	500am	4948
91	iSammael	4921
92	Smashic	4847
93	Bumpy419	4786
94	Blu3beast	4747
95	diamondgolem35	4736
96	Apollo_993	4734
97	SyntheticSurgeon	4680
98	_Karmaa	4542
99	NoChumpChange	4449
100	Alteriity	4306
101	ImpavidArcher	4275
102	SaphLaseer	4092
103	MyNameIsJobo	3921
104	NomadicRobin_	3761
105	thewindmillman	3650
106	Ssor69	3495
107	ECstardust	3459
108	ExtraDumb	3367
109	hanaryheatwave	3353
110	Snowflowe	3233
111	OverallConcept	3140
112	fluddd	3117
113	Secret_Canary	3054
114	Swexti	3043
115	Cortexia	2940
116	emrekn	2931
117	chimpmunker	2892
118	NameGenerat0r	2792
119	StinkyDiplomat	2694
120	r123moore	2681
121	non089	2663
122	bigstankyy	2658
123	Dreamdbr14	2649
124	kekhon	2633
125	weabis	2570
126	Luigipunch989	2559
127	Rumpletaezer	2539
128	Biites	2531
129	ConnorDanky_	2530
130	NieToksikpl	2525
131	RobotMinion101	2508
132	Lez_	2502
132	Deathkob	2502
134	stavgod	2466
135	IamCL4SSY	2460
136	lillips	2401
137	FishyBoy3811	2340
138	XxCookiequeenxX	2305
139	groofles	2284
140	jcool7	2283
141	Euclidoris	2183
142	Lord_Jord	2155
143	tsitrawhy	2140
144	Winston_Ingram	2127
145	set67	2094
146	Wowful	1995
147	Tyrannosplart	1965
148	Fuad_R	1960
149	Touched_Bread	1942
150	prizm_	1894
151	Druid95	1870
152	UncreativeArtist	1866
153	pixelviolin	1796
154	Sleek_Storm_721	1737
155	HesDemonPants	1724
156	Inbefour	1723
157	xxPipperDipperxx	1688
158	T045RTY	1681
159	Crowman1	1680
160	catandmoose	1563
160	Eczbek	1563
162	FishisTTV	1559
163	2blox_	1555
164	Groundler	1525
165	IdeallyGrey	1483
166	tuckerdoodle	1448
167	6king6colt6	1420
168	GooseWithin	1403
168	The_slideV3	1403
170	Sqwishy	1373
171	__tomato	1368
172	excelsionprime	1343
173	Marbz_	1307
174	CLG_Kata	1256
175	XboxPanda	1248
176	fw3xy74	1232
177	cog	1222
178	xzvu	1206
179	Mr_Sun15	1181
180	DAD_1996	1165
