rank	username	minecraft:used/minecraft:red_dye
1	Mattesco	26
2	pintsizedrogue	22
3	Jackattack53	17
3	Hyp3rion_	17
5	sp00ky_ghost977	13
6	Kowcio_	11
7	Steve897	10
8	Skylord_Luke	9
9	TheSecondLord	8
9	12Magner05	8
11	Merv__	6
11	KartivGal	6
11	Jimb0nat0r	6
14	Snowflowe	5
14	Luminad3	5
14	weabis	5
17	thewindmillman	4
17	LeonelSalamanca	4
19	ECstardust	3
19	SteveCraftBlocks	3
19	p4lp	3
19	SingedBread	3
23	k_ce	2
23	chipklip	2
23	q_wq	2
23	Crowman1	2
23	500am	2
23	Kakolbus	2
23	TheWildMateo	2
23	bearlystraight	2
23	pixelviolin	2
23	fffMike	2
23	Legendosh	2
34	Yatitay	1
34	Creativebuilder2	1
34	Huwulling	1
34	Da_Boss_Rani	1
34	rarrq	1
34	Awyrlas	1
34	2Stout	1
34	xxPipperDipperxx	1
34	shadowthemonkey	1
34	SuperPooch06	1
34	Rocco_Lane	1
34	Mr_Sun15	1
34	Zielo2017PL	1
34	KeruNatsema	1
34	parodypatient	1
34	Lord_Jord	1
34	Joestra	1
34	Segotep999	1
34	2blox_	1
34	PlasticOtari	1
