rank	username	minecraft:used/minecraft:dried_kelp
1	Groovy_MoonBird	887
2	Enderxz3	435
3	gren_ben	385
4	KingMatthew506	290
5	Warlord324	280
6	xzvu	251
7	Dreamdbr14	213
8	MonitorLizards	206
9	MattieHD	194
10	sandmire	192
11	DemTechAlpha	191
12	robotemo	185
13	DarlaMeow	177
14	mountaingirl311	175
15	Ze_BaronKrigler	168
16	xPixelRainx	152
17	non089	146
18	FirsTimeGamingTV	143
19	PortlyPete69	129
20	Moetis	128
21	calamariclam_I	124
22	Zoeyfortnite	123
23	Iagoku	122
24	Jimi7hits	117
25	SuperPooch06	110
26	Blackberry1310	105
26	skrongus	105
28	spencersolberg	104
29	Luigipunch989	97
30	valiSW	89
31	TakeThis2UrGrave	84
31	impossibleteapot	84
31	SSytex_X	84
34	h2p_emrld	82
35	Ezekson	73
36	F_Uhre	72
37	CoryJJ	69
38	Frozil20	67
38	Forcolp	67
40	ehunt54	65
40	Jackattack53	65
42	legal_tax_evader	64
42	HyperCave	64
44	garrykasparow	63
45	Nicky_H225	61
45	Skyle169	61
47	Leithz6	60
48	JitteryJared2	57
49	Hamsanders	55
50	AlphaWolfPlaysMC	50
51	jnp_gaming	48
52	excelsionprime	46
53	Corbsman	44
53	fluddd	44
55	ConnorDanky_	42
55	Nicserso	42
57	Ryan_GEMS	41
57	SomeWanderer	41
57	Di_infiri	41
60	Alfman007	40
61	H72l9w	38
62	Xclax101	36
63	heckface	35
63	YungMaki	35
65	himak1	33
65	spideywalt	33
67	AdmiralSmoke	32
68	Euclidoris	31
68	xxPipperDipperxx	31
70	noam464	30
70	Kferno	30
72	QueenShuvi	29
73	Ghemmah	28
74	Captain_Hardtak	27
75	Quaintster	26
75	Skippeh	26
77	FelixPSY375	25
78	StanceTB	24
78	Rayleen	24
78	Blu3beast	24
81	pintsizedrogue	23
81	Swalt	23
81	NASGaming	23
81	Silvo614	23
81	War_Time_Leader	23
86	ooga47	22
86	reaperface123	22
88	Zenlou	21
88	Fuhrer_Teemo	21
90	Juh1s	19
91	eclipseboi	18
91	bean__salad	18
93	Mowelan	17
93	MoistMicrowave	17
93	parapluu	17
93	MustaLoordi	17
93	BumbleBeever	17
98	ellygaytor	16
98	Bobby808	16
98	Marrue	16
101	Jackster03	15
101	rarrq	15
101	Notta	15
101	TheSecondLord	15
101	Covalents	15
101	Snowflowe	15
107	ColeSnyder	14
107	Karbl	14
107	Optiprimus	14
107	BlankityMcBlank	14
107	jcool7	14
112	Jovaphobic	13
112	2Stout	13
114	livingdaydreams	12
114	seramalen	12
116	livzzzy	11
116	thescout7	11
118	2xil2	10
118	ImpavidArcher	10
118	Tiberonus	10
118	Fullut	10
118	RocketRidge	10
118	markaus77	10
124	openatheclose	9
124	KomputerDude	9
124	boysnort	9
124	Cambo5000	9
124	Paintz	9
124	Kijiki	9
124	Western_1	9
131	Mitchasnipe	8
131	rats_life	8
131	SirUnderpants	8
131	Mahoose	8
131	TheSansMan	8
131	Matek_	8
131	NameGenerat0r	8
131	419mmurphy	8
131	07shiny	8
131	Njensen7	8
131	Steelynan	8
131	Rahikeru	8
143	moertymoertan	7
143	Arceus1975	7
143	Zythose	7
143	RobotMinion101	7
143	EveryonesUncle	7
143	censorsheep	7
143	PabloGonza02	7
150	Houstonion	6
150	BodaciousCake	6
150	Betaz	6
150	SvenskaSara	6
150	FungalCat	6
150	Ideltic	6
150	E775	6
150	FreakGenius	6
150	krutas2000	6
159	eitanzaki	5
159	ROY4LE	5
159	SkyHighSkier	5
159	Tyrannosplart	5
159	MineMaster0012	5
159	RadarHz	5
165	seanitoo	4
165	Mr_Byzantine	4
165	ShedJr_	4
165	ThePastelBagel	4
165	TheDankPlatypus	4
165	JETrotter	4
165	The_Cruncy	4
165	_Hayt	4
165	Meatlaugh	4
165	splatterhawk	4
165	Soplight	4
165	AstroLightz_	4
165	UrbanPlanningEx	4
178	xyct	3
178	youhjjhhhjj	3
178	Batman922	3
178	BlueZabu	3
178	SlayerCrypto	3
178	thewindmillman	3
178	_bruhhhhh	3
178	thgrocks	3
178	ComplexSquirrel	3
178	Druid95	3
178	monolu	3
178	EngagedGrub41	3
190	Jalvajar	2
190	ECstardust	2
190	RoseLilyTV	2
190	cyuar	2
190	beeperbeeper5	2
190	DSYisDizzy	2
190	IamCL4SSY	2
190	Manaateee	2
190	HellsSponge	2
190	sq0id	2
190	CurvedCubes	2
190	lcvezra	2
190	Hermanni__	2
203	k_ce	1
203	Jorrdi	1
203	Napoleonpancake	1
203	_darky1_	1
203	Hpdinosaur	1
203	Alteriity	1
203	Lez_	1
203	Myszoaz	1
203	jessewegottacook	1
203	InfernalMound	1
203	mwrty	1
203	Krome48	1
203	shadowthemonkey	1
203	Charmyboi	1
203	oscminus	1
203	DadWorksForSega	1
203	TheShyPig	1
203	lillips	1
203	claivin	1
203	El_Jalapeno	1
203	Spacewardharpy7	1
203	LordSpeed37	1
203	Eraxa	1
203	Ma_name_alex	1
203	pixelviolin	1
203	Kowcio_	1
203	CLUBN2	1
203	__tomato	1
203	MADDMASTA	1
203	Professor_x8	1
203	alderban107	1
203	little_dUki	1
203	Legendosh	1
203	Powowowow	1
203	Jimb0nat0r	1
