rank	username	minecraft:used/minecraft:bookshelf
1	TechnoNinja64	7775
2	Hyp3rion_	6887
3	HellsSponge	5294
4	joethahobo	4812
5	500am	4527
6	noam464	3466
7	beeperbeeper5	3017
8	Historical_Sand	2969
9	YungMaki	2144
10	Shogunite	1947
11	gcaisawesome	1881
12	EveryonesUncle	1846
13	Mahoose	1747
14	Ezekson	1656
15	Legendosh	1617
16	Lord_Jord	1519
17	SvenskaHugo	1255
18	Steelynan	1044
19	Xclax101	1027
20	Merv__	1004
21	Hermanni__	959
22	kekhon	949
23	PigDab	931
24	Smoke____	915
25	Di_infiri	856
26	oxfordschool	815
27	TheShyPig	806
28	Inchef	775
29	TheSecondLord	748
30	thescout7	646
31	chipklip	642
32	Marbz_	636
33	pintsizedrogue	550
34	SteveCraftBlocks	547
35	El_Jalapeno	542
36	ImpavidArcher	510
37	eitanzaki	458
38	Comma__	433
39	xxPipperDipperxx	395
40	Arceus1975	390
41	Blaiku	328
42	Rumpletaezer	326
43	AlexStrange	299
44	MattieHD	273
45	12Magner05	271
46	Racengan	267
47	Ryker	254
48	Soplight	252
49	m_be9	239
50	MightyWertu	238
51	Onennon	235
52	Kakolbus	232
52	fffMike	232
54	mwrty	226
55	Freak_Genius	223
56	Snowflowe	218
57	Werbe	217
58	ROY4LE	209
59	sp00ky_ghost977	201
60	SaucyDark	200
60	mariominejedi	200
62	EfficientC52	198
62	lcvezra	198
64	Drlzyy	197
65	KarlKaek	194
66	Fullut	192
66	Karetoko	192
68	Akoot_	187
69	_Karmaa	183
70	Spacewardharpy7	181
71	Dedalus36	179
71	burbankbuilder28	179
73	titanlax	177
74	MinttyFressh	171
75	Skylord_Luke	169
76	JayToe	163
77	EcksDofficial	160
78	Inbefour	148
79	NotMeanttoChange	147
80	Blackberry1310	136
81	RodSerlingCringe	134
82	fkGrim	133
82	SkateboardR6	133
84	CharlieButt	131
85	pixelviolin	130
86	DAD_1996	124
86	Frozil12	124
86	VentiHilton	124
89	ShedJr_	123
90	Frxnkz	121
91	Cocoamallows	120
92	Malorn_Aetherius	116
93	The_slideV3	115
93	NameGenerat0r	115
93	DanTheBuilderino	115
96	ApophisNova	114
96	MyNamaSheff	114
98	PlzNoBM	112
99	Bumpy419	110
99	WYFYoyo	110
101	claivin	109
102	intropass	104
103	XxCookiequeenxX	102
104	RebelAndroid	100
104	jacxhadow	100
104	Winklepicker279	100
104	Jiminie	100
108	6king6colt6	98
109	soundad	97
109	Zoeyfortnite	97
111	XboxPanda	95
111	Sral7	95
113	ZeroKraken	93
114	diamondgolem35	91
114	Spenduh	91
116	TheDankPlatypus	88
117	wobn	85
118	SlayerCrypto	84
118	Wolverine4302	84
120	Kkanot	82
120	Kubeusz2010	82
122	dudcreeper	80
122	rarrq	80
122	Chromary	80
122	stellarjay	80
122	Enderslayerxz3	80
127	thewindmillman	76
127	CSG_Haru	76
129	T045RTY	75
130	Jovaphobic	73
130	Euclidoris	73
130	AlphaWolfPlaysMC	73
133	Jackattack53	72
133	Skippeh	72
135	AuroraSkies	70
136	Dusk_95	69
137	bloodbiter	68
138	SSytex_X	67
139	wezzzi	65
140	lotarp	64
140	Tombo2004	64
140	Lutres_Torane	64
143	fluddd	63
144	RedcatVII	62
145	vandmanden	61
146	Cowison	60
146	KingFaenor	60
146	fr0stss	60
149	zorin123	58
149	33sudo	58
151	Hpdinosaur	57
151	DarkDescent2392	57
151	PegLegPete93	57
151	Sheldor097	57
151	UrbanPlanner1978	57
156	Zythose	56
156	Rasmanden	56
156	Maenara	56
156	OfficerAnvil	56
160	fw3xywashere	55
160	Fuhrer_Teemo	55
160	NotMeowMix	55
163	Kubelz	54
163	Eraxa	54
165	EMC_	53
165	censorsheep	53
167	kinas45y5	52
168	__tomato	50
168	2blox	50
170	Natty	49
170	Windo_licker	49
170	Meatlaugh	49
173	Ardennes	48
173	Kamflame10	48
173	selectrix	48
173	Nicserso	48
177	himak1	47
177	Stiar	47
177	wwwwinnebagoooo	47
180	2Stout	46
181	Hisiste	45
181	TheEnderman548	45
181	DennyKai	45
184	BRRRN179	44
184	SUN_DREAM	44
186	gabriels543	43
186	whoaluv	43
186	Blu3beast	43
189	stahouo	42
190	RatatJuice	41
190	H72l9w	41
192	Myszoaz	40
192	Vizzoid	40
192	BronkerBrum	40
192	xo_Marren_xo	40
192	masskedman	40
192	Factoroni	40
192	Miko_Fullbuster	40
199	jimintyy	39
199	awesomeoneme	39
199	Megarboh	39
199	Diavri	39
199	Zaridey	39
199	rotten_mango	39
199	KlausVonStiglitz	39
199	IvarEXE	39
199	djancak	39
199	FishisTTV	39
209	mobunni	38
209	Quotary	38
211	q_wq	37
211	set67	37
211	UncreativeArtist	37
211	SpicyMeatballs	37
211	laron58	37
216	Bandito_Roamer	36
216	gaziter10	36
216	Sky_light_KING	36
216	FelixPSY375	36
216	remmisrat	36
221	TooManyDuck	35
221	_Dean_123	35
221	r123moore	35
221	LilLizardWizard	35
225	Groovy_MoonBird	34
225	Ozixar	34
225	Smashic	34
225	yaboo88	34
225	JESS_THE_RERE	34
230	RoskobiOne	33
230	hm947	33
230	livingdaydreams	33
230	MyNameIsJobo	33
230	SokaOtaku	33
230	The_Fulgurator	33
230	Corbsman	33
230	DarkS0L	33
230	ProfessorDiaper	33
230	starbits140	33
230	Njensen7	33
241	IWorkAtIkea	32
241	Mewar	32
241	Xalithia	32
241	Razzgriz	32
245	Matemaks2137	31
245	Stynxy	31
245	ThePoliteG	31
245	MangoTheFish	31
245	Decaying_Lotus	31
245	underscore_2	31
245	coobert42	31
245	diggydog67	31
253	Fildyr	30
253	bloomkieren	30
253	MissCeleste7	30
256	Ssor69	29
256	GravitySaint	29
256	little_dUki	29
259	Jackywho	28
259	I_Am_Mushkin	28
259	_Cloverbelle_	28
259	NoChumpChange	28
259	tartanboy	28
264	Harotio	27
264	teslawolf38	27
264	buss081	27
264	Swexti	27
264	slkiey	27
264	KGTV	27
264	misomon	27
264	CalebDHawk	27
272	Tolhart	26
272	CoffeeNoir	26
272	SteveWithClout	26
272	LotusProject	26
272	fallingemma	26
272	ToastedGamingYT	26
278	Tommhh	25
278	TheMilkerOfCats	25
278	featherflyy	25
278	Awyrlas	25
278	kars0n	25
278	HolyVenom	25
278	ItsDeltaMC	25
285	Froste131	24
285	crying_wolf_13	24
285	ItsAki_	24
285	Kouridragon	24
285	DASH_X7	24
285	BumbleBeever	24
285	Matorz	24
285	SammiWolfGirl	24
285	_3Stump_	24
294	egglapras	23
294	__Fanda__	23
294	sufjanlover	23
294	Deathkob	23
294	Groundler	23
294	Typadopoulos	23
294	UCP_TheKingK	23
