rank	username	minecraft:used/minecraft:stripped_spruce_wood
1	beeperbeeper5	2517
2	xxPipperDipperxx	449
3	kekhon	434
4	noam464	192
5	M_Patata	137
6	Shogunite	120
7	YungMaki	106
8	Mahoose	92
9	Groundler	86
10	EcksD	77
11	rarrq	62
12	JingleLizi	46
13	MasterNueve	43
14	Smoke____	37
15	Inchef	30
16	valkam13	27
17	Soplight	26
18	Eraxa	23
19	Leyna3	20
20	sebastiensaborio	19
20	Legendosh	19
22	PlasticOtari	18
23	Deathkob	15
23	Spacewardharpy7	15
25	MyNameIsJobo	13
26	Fullut	12
27	EcksDofficial	10
28	BlancoFlaco	8
28	ABUSNA1996	8
28	Ezekson	8
31	Harotio	7
31	joethahobo	7
31	Blackberry1310	7
31	NameGenerat0r	7
35	SvenskaHugo	6
36	pintsizedrogue	5
36	diamondgolem35	5
36	MineMaster0012	5
39	Kkanot	4
40	500am	3
40	Kakolbus	3
40	TheShyPig	3
43	Vetral1	2
43	Akoot_	2
43	Hisiste	2
43	WYFYoyo	2
47	Drlzyy	1
47	rachcl	1
47	Di_infiri	1
47	Zythose	1
47	DAD_1996	1
47	zielkairos	1
47	PigDab	1
47	KeruNatsema	1
47	claivin	1
47	lordpipe	1
47	SammiWolfGirl	1
47	BreadBacon	1
