rank	username	minecraft:used/minecraft:hopper_minecart
1	Di_infiri	712
2	noam464	621
3	eitanzaki	482
4	mihimihimihi	338
5	HellsSponge	329
6	thewindmillman	288
7	fffMike	262
8	Jackattack53	225
9	beeperbeeper5	202
10	thescout7	176
11	Hyp3rion_	151
11	Spacewardharpy7	151
13	MyNameIsJobo	147
14	PigDab	146
15	Jimb0nat0r	137
16	_Mythic____	131
17	AdmiralSmoke	124
18	FreakGenius	119
19	EngagedGrub41	116
20	Mahoose	111
21	joethahobo	101
22	Ryan_GEMS	95
23	Snowflowe	89
24	MightyWertu	82
24	YungMaki	82
26	Lord_Jord	81
27	Historical_Sand	79
28	EMC_	76
29	Inbefour	74
30	non089	73
31	CattSoup	72
32	PortlyPete69	70
33	Rebytre	68
34	TechnoNinja64	67
35	DanTheBuilderino	65
36	jnp_gaming	64
37	Steelynan	63
38	Hiryu27	62
39	Alteriity	58
39	ConnorDanky_	58
41	Skylord_Luke	54
42	sp00ky_ghost977	53
43	eviltunix	51
44	pintsizedrogue	50
44	Hermanni__	50
46	Crowman1	48
46	UrbanPlanningEx	48
48	Warlord324	46
48	PlasticOtari	46
50	emrekn	43
50	vandmanden	43
52	yheece	42
53	El_Jalapeno	41
54	Manaateee	37
54	EcksD	37
56	_Virify_	36
56	Bumpy419	36
56	Soplight	36
59	Prismyst	35
59	Rasmanden	35
59	__tomato	35
59	SpacesickPrism	35
63	soundad	34
64	MattieHD	32
65	Frozil20	31
65	StinkyDiplomat	31
67	gcaisawesome	30
67	Werbe	30
67	Ezekson	30
70	Kakolbus	28
70	Rumpletaezer	28
70	tsitrawhy	28
73	Racengan	26
74	q_wq	25
74	NieToksikpl	25
74	Groundler	25
74	Quotary	25
78	The_slideV3	24
78	MilleGrug	24
80	TheShyPig	23
81	M_Patata	22
81	MasterNueve	22
83	Lez_	21
83	Awyrlas	21
83	Solar_Power	21
86	Ryker	20
86	slkiey	20
86	Marbz_	20
86	Akoot_	20
90	xxPipperDipperxx	19
90	prizm_	19
90	Arceus1975	19
90	Blaiku	19
94	ImpavidArcher	18
94	MinttyFressh	18
94	CaptainAvenger7	18
