rank	username	minecraft:used/minecraft:andesite_stairs
1	TheShyPig	1181
2	xolstoi	1045
3	Huwulling	953
4	PazinGaming	916
5	Legendosh	838
6	Mahoose	764
7	Lord_Jord	691
8	ApophisNova	655
8	MyNamaSheff	655
10	Enderxz3	605
11	luseis	412
12	ImpavidArcher	392
13	500am	338
14	EMC_	330
15	CattSoup	326
16	Meatlaugh	312
17	PlasticOtari	307
18	Malorn_Aetherius	278
19	Manaateee	209
20	TheSecondLord	202
21	Ezekson	181
22	pintsizedrogue	167
23	Lukeee33	163
24	Cryptacity	156
25	Kowcio_	148
26	Historical_Sand	137
27	joethahobo	133
28	soundad	132
29	eitanzaki	127
30	pixelviolin	120
31	YungMaki	113
32	DemTechAlpha	111
33	diamondgolem35	101
34	weabis	92
35	Zythose	85
36	Shogunite	82
36	ElectricDragon81	82
38	Crowman1	79
39	rarrq	77
40	AdmiralSmoke	67
41	Chaotic1s	65
42	Steelynan	63
43	himak1	62
44	_Meow_Mix	57
45	Kakolbus	56
46	Jackattack53	52
47	valkam13	50
48	mihimihimihi	48
49	CharlieButt	47
49	Onennon	47
51	Sleek_Storm_721	44
52	gcaisawesome	41
53	kekhon	40
53	Fullut	40
55	ECstardust	37
55	Blackberry1310	37
55	EveryonesUncle	37
55	ZoomieZoomie	37
59	Dakar_	35
60	Di_infiri	34
60	Snowflowe	34
60	SpacesickPrism	34
63	imcombxt	31
63	Maenara	31
63	The_slideV3	31
66	oreee	30
67	ExtraDumb	28
67	Nicserso	28
69	shadowthemonkey	25
69	Shiirazu	25
69	CalebDHawk	25
72	PegLegPete93	24
72	FishyBoy3811	24
72	Deerfoot	24
72	07shiny	24
76	Mattesco	23
76	Jamstroxian	23
78	Spacewardharpy7	22
79	Eraxa	21
80	IWorkAtIkea	20
80	GLLogan2	20
80	Boogaloo242	20
80	SamZombie	20
80	Fuad_R	20
85	m_be9	19
85	spellmre	19
85	IamCL4SSY	19
85	Skippeh	19
89	Quotary	18
89	The_SlideV5	18
91	ryan521	17
91	bearlystraight	17
93	Tiberonus	16
93	xxPipperDipperxx	16
93	Nycteus_	16
96	MattieHD	15
96	ogoa	15
96	ReyTheLegend	15
99	SvenskaHugo	14
99	annoyingenderman	14
101	andy_rex	13
101	oscminus	13
101	Akoot_	13
101	claivin	13
101	WYFYoyo	13
106	ooga47	12
106	djancak	12
106	Sheldor097	12
106	Biites	12
110	Merv__	11
110	Smashic	11
110	NomadicRobin_	11
110	anbbang	11
110	jnp_gaming	11
115	T045RTY	10
115	Alphanzt99	10
115	TinMaster	10
115	NotMeanttoChange	10
115	LibertyMutual	10
115	avalan64	10
115	tartanboy	10
122	Mr_Byzantine	9
123	jessewegottacook	8
123	SteveCraftBlocks	8
123	leaf26	8
123	MyNameIsJobo	8
123	Arceus1975	8
123	KeruNatsema	8
123	kirametal	8
123	__tomato	8
131	SaltineDream	7
131	hanaryheatwave	7
131	MakeHistory157	7
134	iTurbo	6
134	_Bguette_	6
134	smogfrog	6
137	SmashingPump	5
137	Natty	5
137	heckface	5
137	4774	5
137	FreakGenius	5
142	k_ce	4
142	Ailmast	4
142	maliraspberry	4
142	Inchef	4
142	ElderRifken	4
142	Blaiku	4
142	lcvezra	4
149	Apollo_993	3
149	Mariopreeet	3
149	_Boipl_	3
149	TheTrueClipse	3
149	Deathkob	3
149	MineMaster0012	3
155	shineh10	2
155	ImNotYuqii	2
155	La_Conne	2
155	Kkanot	2
155	Felenov	2
155	DarlaMeow	2
155	BumbleBeever	2
155	iSammael	2
155	Soplight	2
155	Jimb0nat0r	2
165	_Huge_Male_	1
165	Raltemoxitonica	1
165	lotarp	1
165	Jackster03	1
165	tramizu	1
165	TowenPL	1
165	_Dean_123	1
165	r123moore	1
165	Yuvl	1
165	whoaluv	1
165	SourPapaSmurf	1
165	Rebytre	1
165	LexMakesHistory	1
165	Karbl	1
165	shrimp_flips	1
165	MightyWertu	1
165	Racengan	1
165	EtherealEspresso	1
165	Kiki_Majiki	1
165	JayToe	1
