rank	username	minecraft:used/minecraft:quartz_pillar
1	beeperbeeper5	6785
2	lordpipe	6173
3	joethahobo	3329
4	Rumpletaezer	2965
5	EveryonesUncle	2924
6	Spacewardharpy7	2850
7	Frozil20	2417
8	EMC_	2255
9	xolstoi	2227
10	Fuad_R	2002
11	YungMaki	1916
12	Merv__	1841
13	Lord_Jord	1591
14	wwwwinnebagoooo	1587
15	Di_infiri	1501
16	Rocco_Lane	1470
17	Groundler	1419
18	Mewar	1368
19	shineh10	1183
20	FreakGenius	1115
21	EngagedGrub41	1069
22	kekhon	1053
23	ImpavidArcher	1010
24	Cowison	994
25	_Karmaa	951
26	Skylord_Luke	913
27	himak1	875
28	AltnumberF4	748
29	Incinere	742
30	The_slideV3	736
31	Akoot_	719
32	m_be9	714
33	Huwulling	691
34	HellsSponge	679
35	lillips	656
36	Tyrannosplart	584
37	Xclax101	537
38	Deerfoot	490
39	Ezekson	450
40	paranoid_plant	445
41	SSytex_X	438
42	Lez_	426
43	Optiprimus	411
44	ABUSNA1996	408
45	Comma__	407
46	NomadicRobin_	359
47	Werbe	351
47	Soplight	351
49	KarlKaek	345
50	Marbz_	333
51	Lutres_Torane	327
52	Nycteus_	323
53	Jackattack53	319
54	xzvu	316
55	MakeHistory157	313
56	EcksD	305
57	Snowflowe	296
58	rarrq	284
59	Barlycorn	281
60	F_Uhre	244
61	Hyp3rion_	236
62	The_SlideV5	229
63	Maenara	225
64	MirielThePastor	221
65	NameGenerat0r	212
66	TheShyPig	211
67	FishyBoy3811	199
68	Jackster03	196
69	KliBeast21	194
70	500am	181
71	Mahoose	178
72	Skippeh	165
73	Myszoaz	164
74	noam464	162
75	SammiWolfGirl	146
76	sp00ky_ghost977	143
77	Smoke____	142
78	Elastiq	130
79	cedric72	128
80	Fullut	122
81	Inbefour	120
82	Groovy_MoonBird	117
83	jnp_gaming	110
84	pintsizedrogue	105
84	xxPipperDipperxx	105
86	MovingFish7	99
87	eitanzaki	93
88	bloomkieren	91
89	Shogunite	88
90	Mr_Byzantine	87
91	Mookle96	80
92	Deathkob	79
93	CoffeeNoir	78
93	MyNameIsJobo	78
95	SexcMf	77
96	SaucyDark	74
97	soundad	73
98	PlasticOtari	71
99	r123moore	70
99	El_Jalapeno	70
101	Eraxa	68
102	Blackberry1310	66
103	Steelynan	61
104	ConnorDanky_	60
105	SaintJosie	59
106	jimintyy	58
107	Nicserso	57
107	Wolverine4302	57
109	DAD_1996	53
110	Swexti	49
110	pappaberg	49
112	fluddd	46
113	Sral7	44
114	ProfessorBee	42
114	MousePlays	42
114	Blaiku	42
117	FelixPSY375	39
118	Billious	38
119	Donutt	35
120	Zaridey	33
120	_Bguette_	33
122	luseis	32
123	pr33tu	29
123	PegLegPete93	29
123	tobinwilliams	29
123	RobotMinion101	29
123	Eczbek	29
128	KeruNatsema	28
129	Bumpy419	26
130	12Magner05	24
130	NotMeanttoChange	24
130	epiksk8erduck	24
130	Blu3beast	24
134	_Huge_Male_	23
135	MattieHD	22
135	alderban107	22
137	ITDV	21
138	gabriels543	20
139	thewindmillman	19
140	titanlax	17
140	emrekn	17
142	TechnoNinja64	16
143	thescout7	15
143	Avrelion	15
145	dendydoom	14
146	ColeSnyder	13
146	shdesolt	13
146	claivin	13
146	StinkyDiplomat	13
150	trexgb	12
151	TheSecondLord	10
151	Ardennes	10
151	CharlieButt	10
151	AJplaysMC_	10
155	SyntheticSurgeon	9
155	The11thDoctor	9
155	Moofyman	9
155	yulgur1	9
155	SlinkyPinky	9
160	ShedJr_	8
160	NotTrixi	8
160	theonlymagikarp	8
160	CattSoup	8
164	Jovaphobic	7
164	lorpus	7
164	LexMakesHistory	7
164	Mythic1130	7
168	Sabby65	6
168	mwrty	6
168	Doom_melon	6
168	__tomato	6
172	_Virify_	5
172	Auseawesome	5
172	MightyWertu	5
172	jcool7	5
172	Enderxz3	5
172	Legendosh	5
178	Whiterooster001	4
178	_Boipl_	4
178	ApophisNova	4
178	ooga47	4
178	ZeroKraken	4
178	88Hazza88	4
178	MyNamaSheff	4
185	Historical_Sand	3
185	_Dean_123	3
185	burbankbuilder28	3
185	Zetsey	3
185	Kowcio_	3
190	Bandito_Roamer	2
190	NatalieTW	2
190	Healthing	2
190	bigstankyy	2
190	Hpdinosaur	2
190	MrKrabOnCoke	2
190	Chickenchaser2	2
190	SteveCraftBlocks	2
190	Kouridragon	2
190	PigDab	2
190	Ender_Souls	2
190	parodypatient	2
190	fw3xywashere	2
190	binman420	2
190	TheEnderMan548	2
190	gusstationwerker	2
190	Hermanni__	2
190	bladeefan2009	2
190	00000000-0000-0000-0009-01ff0c3e5e4f	2
209	JohnnyFyes	1
209	PhantomsGhost_	1
209	Wwamess	1
209	ssleepless	1
209	Tolhart	1
209	T045RTY	1
209	Natty	1
209	Paranoidlemon	1
209	Zedducius	1
209	fade_emerge78823	1
209	Septemb3r	1
209	fr_ser	1
209	Chromary	1
209	Smussa	1
209	Onennon	1
209	ougstur	1
209	fkGrim	1
209	CuzIm2Kev	1
209	RoofTyler	1
209	MS_Pryxx	1
209	Kura2218	1
209	Dreamdbr14	1
209	FishisTTV	1
