rank	username	minecraft:used/minecraft:oxidized_cut_copper
1	Mattesco	3471
2	pintsizedrogue	582
3	luseis	446
4	SpacesickPrism	412
5	Marbz_	409
6	Mr_Byzantine	144
7	Spaghettatron	76
8	Apollo_993	73
9	Kowcio_	65
10	Juansinmiedo18	39
11	PlasticOtari	19
12	EMC_	16
12	milltesco	16
14	MattieHD	13
15	skroobiez	9
15	Manaateee	9
15	pixelviolin	9
18	Niklas20114552	4
19	TheSecondLord	2
19	ZoomieZoomie	2
19	EcksD	2
19	Enderxz3	2
19	Jimb0nat0r	2
24	CLG_Kata	1
24	_Huge_Male_	1
24	Lez_	1
24	bl1ss0	1
24	hanaryheatwave	1
24	thewindmillman	1
24	Jekyll	1
24	TheWickedBird	1
