rank	username	minecraft:used/minecraft:diorite_wall
1	Mahoose	1227
2	Legendosh	1023
3	Xalithia	945
4	Lord_Jord	812
5	Froste131	748
6	joethahobo	733
7	Marbz_	663
8	himak1	499
9	Freak_Genius	481
10	HellsSponge	379
11	Ezekson	333
12	Meatlaugh	304
13	ImpavidArcher	280
14	Frozil12	248
15	Stiar	193
16	MrExplorer	177
17	Mr_Byzantine	171
18	Groundler	116
19	djancak	100
19	Winston_Ingram	100
21	EMC_	98
22	RedcatVII	90
23	Doom_melon	84
24	Di_infiri	70
25	TheShyPig	64
26	Darkgon	61
27	Studyhallsaver	55
28	ATrojansLegend	54
29	DkansK	49
30	Inbefour	46
31	Hyp3rion_	45
32	benediktine1	43
33	ShedJr_	37
34	rarrq	32
35	Soplight	31
36	titanlax	30
37	GLLogan2	29
38	KarlKaek	28
38	Comma__	28
38	bloodbiter	28
41	noam464	27
42	AuroraValkyrie	26
43	Lukeee33	25
44	orxngejuice	23
45	jnp_gaming	20
46	Fuhrer_Teemo	18
47	MyNameIsDakar	17
47	Optiprimus	17
47	CalebDHawk	17
50	NotMeanttoChange	16
50	ApophisNova	16
50	MyNamaSheff	16
50	Lowjinx	16
54	Onennon	15
54	lordpipe	15
56	Cryptacity	12
56	Hisiste	12
58	SaucyDark	10
58	DemTechAlpha	10
60	Groovy_MoonBird	9
61	eitanzaki	8
61	Deerfoot	8
61	EcksDofficial	8
64	Inchef	7
65	Snowflowe	6
65	Werbe	6
65	Barlycorn	6
68	The_slideV3	5
69	Spacewardharpy7	4
69	KG1999	4
69	mobunni	4
72	MattieHD	3
73	Cowison	2
73	Merv__	2
73	SquadMonster	2
73	shyshyannne	2
73	500am	2
73	Maenara	2
79	Fullut	1
79	Zythose	1
79	07shiny	1
79	Eczbek	1
