rank	username	minecraft:used/minecraft:diorite_wall
1	Mahoose	1227
2	Xalithia	945
3	Legendosh	923
4	Lord_Jord	812
5	PlasticOtari	769
6	Froste131	748
7	joethahobo	727
8	himak1	499
9	Marbz_	489
10	Freak_Genius	481
11	HellsSponge	379
12	Meatlaugh	304
13	ImpavidArcher	280
14	Frozil12	248
15	Stiar	193
16	MrExplorer	177
17	Mr_Byzantine	171
18	Groundler	116
19	djancak	100
19	Winston_Ingram	100
21	EMC_	98
22	RedcatVII	90
23	Doom_melon	84
24	Di_infiri	70
25	TheShyPig	64
26	Darkgon	61
27	Studyhallsaver	55
28	ATrojansLegend	54
29	DkansK	49
30	Inbefour	46
31	Hyp3rion_	45
32	benediktine1	43
33	ShedJr_	37
34	rarrq	32
35	Soplight	31
36	titanlax	30
37	GLLogan2	29
38	KarlKaek	28
38	Comma__	28
38	bloodbiter	28
41	noam464	27
42	AuroraValkyrie	26
43	Lukeee33	25
44	orxngejuice	23
45	jnp_gaming	20
46	Fuhrer_Teemo	18
47	MyNameIsDakar	17
47	Optiprimus	17
47	CalebDHawk	17
50	NotMeanttoChange	16
50	ApophisNova	16
50	MyNamaSheff	16
50	Lowjinx	16
54	Onennon	15
54	lordpipe	15
56	Ezekson	13
57	Cryptacity	12
57	Hisiste	12
59	SaucyDark	10
59	DemTechAlpha	10
61	Groovy_MoonBird	9
62	eitanzaki	8
62	Deerfoot	8
62	EcksDofficial	8
65	Inchef	7
66	Snowflowe	6
66	Werbe	6
66	Barlycorn	6
69	The_slideV3	5
70	Spacewardharpy7	4
70	KG1999	4
70	mobunni	4
73	MattieHD	3
74	Cowison	2
74	Merv__	2
74	SquadMonster	2
74	shyshyannne	2
74	500am	2
74	Maenara	2
80	Fullut	1
80	Zythose	1
80	07shiny	1
80	Eczbek	1
