rank	username	minecraft:used/minecraft:bubble_coral_block
1	crashomon	645
2	Hyp3rion_	388
3	_Dean_123	255
4	YungMaki	249
5	12Magner05	148
6	pintsizedrogue	119
7	Merv__	91
7	HellsSponge	91
9	Xalithia	84
10	ImpavidArcher	76
10	Di_infiri	76
12	500am	68
13	lordpipe	64
14	Fullut	53
15	Archsam	47
16	r123moore	42
17	Xclax101	40
18	AuroraValkyrie	39
19	thewindmillman	36
20	TheShyPig	32
20	diggydog67	32
22	PortlyPete69	31
23	emrekn	30
24	excelsionprime	25
24	SpacesickPrism	25
26	Lez_	23
27	Ssor69	21
28	Skylord_Luke	20
29	Marbz_	19
29	RebytreGT	19
29	TheWickedBird	19
32	Bandito_Roamer	17
32	Onennon	17
34	Rumpletaezer	16
35	Enderxz3	15
36	CoffeeNoir	14
36	Maenara	14
38	Groovy_MoonBird	13
38	KeruNatsema	13
40	kekhon	12
40	aec9	12
40	Powowowow	12
43	F_Uhre	11
43	Kowcio_	11
45	Krowuss	10
46	ApophisNova	9
46	MyNamaSheff	9
48	eitanzaki	8
48	BodaciousCake	8
48	MattieHD	8
48	Voxin2K	8
48	The_slideV3	8
48	Typadopoulos	8
48	__tomato	8
55	XxCookiequeenxX	7
55	KingMatthew506	7
57	titanlax	6
57	noam464	6
57	El_Jalapeno	6
57	Fizznut909	6
57	erkada	6
62	KarlKaek	5
62	RobotMinion101	5
62	GooseWithin	5
62	weabis	5
62	PlasticOtari	5
67	Inchef	4
67	IamCL4SSY	4
67	StinkyDiplomat	4
67	Blaiku	4
71	SaucyDark	3
71	Hiryu27	3
71	Kouridragon	3
71	Eerini	3
71	pixelviolin	3
71	_i_ERROR_i_	3
71	jnp_gaming	3
71	Jimb0nat0r	3
79	PhantomsGhost_	2
79	djancak	2
79	RoboTramp7865	2
79	TechnoNinja64	2
83	H0UNDFRMH3LL	1
83	Jovaphobic	1
83	Niklas20114552	1
83	Mahoose	1
83	Historical_Sand	1
83	Cryptacity	1
83	Hydro___________	1
83	Nicky19	1
83	luseis	1
83	ItsDeltaMC	1
83	Legendosh	1
