rank	username	minecraft:used/minecraft:blue_wool
1	YungMaki	61295
2	Mattesco	49145
3	HellsSponge	14691
4	xolstoi	6641
5	ROY4LE	6274
6	lordpipe	5873
7	EcksD	5845
8	Xclax101	3320
9	Merv__	3289
10	PlasticOtari	3019
11	thewindmillman	2764
12	xxPipperDipperxx	2090
13	joethahobo	1971
14	beeperbeeper5	1873
15	Werbe	1569
16	MattieHD	1486
17	Ezekson	1113
18	Hermanni__	1101
19	Hyp3rion_	988
20	SuperPooch06	783
21	NameGenerat0r	559
22	eitanzaki	454
23	TheShyPig	450
24	Wooptey	389
25	ShedJr_	324
26	Fuhrer_Teemo	301
27	weabis	300
28	Nostrom	265
29	rarrq	240
30	Sral7	234
31	CattSoup	205
32	RebelAndroid	190
33	Jackattack53	180
34	FreakGenius	169
35	gabriels543	166
36	Blackberry1310	165
37	mwrty	157
38	NomadicRobin_	140
39	Motsaro	138
40	DarlaMeow	124
40	Smoke____	124
42	ConnorDanky_	123
43	heckface	122
44	Shogunite	105
45	IWorkAtIkea	104
45	TheWildMateo	104
47	PlzNoBM	103
48	Lez_	101
49	EveryonesUncle	94
50	Deerfoot	91
51	olliebollie48	84
52	Jimb0nat0r	82
53	ImpavidArcher	79
54	PeteO1995	77
55	Lord_Jord	76
56	Soplight	72
57	theonlymagikarp	71
57	Fuad_R	71
57	MakeHistory157	71
60	Barlycorn	70
61	Legendosh	69
62	Spacewardharpy7	68
63	Blaiku	63
64	Nycteus_	61
65	Smashic	60
66	noam464	59
67	TheSecondLord	58
68	Bumpy419	56
69	handsome_strong	50
70	Snowflowe	49
70	fw3xywashere	49
72	kekhon	43
73	The_slideV3	42
74	Alteriity	40
75	AlexxO_o	36
75	El_Jalapeno	36
77	SSytex_X	34
78	yaboo88	33
79	Crowman1	31
79	fkGrim	31
81	Rumpletaezer	30
82	TechnoNinja64	29
83	CadenSteele	28
83	CoffeeNoir	28
85	Arceus1975	27
86	WyngGoy	26
87	Megarboh	24
88	Quotary	23
89	Fullut	21
89	RoboTramp7865	21
91	Mahoose	20
92	MrQuanQuan	19
92	Dooinfe	19
92	VentiHilton	19
95	LilLizardWizard	18
96	Smussa	17
97	FazeObama69	16
97	EMC_	16
99	RohnJosin	15
100	Russiancat1	13
101	Kijiki	11
101	lcvezra	11
103	SmashingPump	10
104	Iamthejo	9
104	Zoeyfortnite	9
106	TheMaster972	8
106	StinkyDiplomat	8
106	Steelynan	8
106	Enderxz3	8
110	teslawolf38	7
111	TheEnderMan548	6
112	fluddd	5
112	Kyrum2169	5
114	dabloons	4
114	6king6colt6	4
114	THEKINGLyric10	4
114	xzvu	4
114	jcool7	4
114	ZoomieZoomie	4
120	Mr_Byzantine	3
120	DAD_1996	3
120	Meatlaugh	3
120	gusstationwerker	3
124	pintsizedrogue	2
124	seanitoo	2
124	T045RTY	2
124	Huwulling	2
124	nocturne78	2
124	Winklepicker279	2
124	Skomo	2
124	thgrocks	2
124	claivin	2
124	Groundler	2
124	Eraxa	2
124	pablopickle	2
124	guccipucci_	2
137	BigMaoguai	1
137	SaucyDark	1
137	_AceOfSpace_	1
137	Prismyst	1
137	Rich_Kat	1
137	Scathra	1
137	Karetoko	1
137	Eman__1	1
137	fr_ser	1
137	FishyBoy3811	1
137	RoofTyler	1
137	Kowcio_	1
137	SammiWolfGirl	1
137	bladeefan2009	1
137	00000000-0000-0000-0009-01f073f37a91	1
