rank	username	minecraft:used/minecraft:blue_wool
1	YungMaki	61295
2	Mattesco	49145
3	HellsSponge	14691
4	xolstoi	6641
5	ROY4LE	6274
6	lordpipe	5873
7	EcksD	5845
8	Xclax101	3320
9	Merv__	3289
10	PlasticOtari	3019
11	thewindmillman	2764
12	xxPipperDipperxx	2090
13	beeperbeeper5	1873
14	joethahobo	1685
15	Werbe	1569
16	MattieHD	1486
17	Ezekson	1113
18	Hermanni__	1101
19	Hyp3rion_	988
20	SuperPooch06	783
21	NameGenerat0r	559
22	eitanzaki	454
23	TheShyPig	450
24	Wooptey	389
25	Fuhrer_Teemo	301
26	weabis	300
27	Nostrom	265
28	ShedJr_	253
29	rarrq	240
30	Sral7	234
31	CattSoup	205
32	RebelAndroid	190
33	Jackattack53	180
34	FreakGenius	169
35	gabriels543	166
36	Blackberry1310	165
37	mwrty	157
38	NomadicRobin_	140
39	Motsaro	138
40	DarlaMeow	124
40	Smoke____	124
42	ConnorDanky_	123
43	heckface	122
44	Shogunite	105
45	IWorkAtIkea	104
45	TheWildMateo	104
47	PlzNoBM	103
48	Lez_	101
49	EveryonesUncle	94
50	Deerfoot	91
51	olliebollie48	84
52	Jimb0nat0r	82
53	ImpavidArcher	79
54	PeteO1995	77
55	Lord_Jord	76
56	Soplight	72
57	theonlymagikarp	71
57	Fuad_R	71
57	MakeHistory157	71
60	Barlycorn	70
61	Legendosh	69
62	Spacewardharpy7	68
63	Blaiku	63
64	Nycteus_	61
65	Smashic	60
66	noam464	59
67	TheSecondLord	58
68	Bumpy419	56
69	handsome_strong	50
70	Snowflowe	49
70	fw3xywashere	49
72	kekhon	43
73	The_slideV3	42
74	Alteriity	40
75	El_Jalapeno	36
76	SSytex_X	34
77	yaboo88	33
78	Crowman1	31
78	fkGrim	31
80	Rumpletaezer	30
81	TechnoNinja64	29
82	CadenSteele	28
82	CoffeeNoir	28
84	Arceus1975	27
85	WyngGoy	26
86	Megarboh	24
87	Quotary	23
88	Fullut	21
88	RoboTramp7865	21
90	Mahoose	20
91	MrQuanQuan	19
91	Dooinfe	19
91	VentiHilton	19
94	LilLizardWizard	18
95	Smussa	17
96	EMC_	16
97	RohnJosin	15
98	Russiancat1	13
99	Kijiki	11
99	lcvezra	11
101	Iamthejo	9
101	Zoeyfortnite	9
103	TheMaster972	8
103	StinkyDiplomat	8
103	Steelynan	8
103	Enderxz3	8
107	teslawolf38	7
108	AlexxO_o	6
108	TheEnderMan548	6
110	fluddd	5
110	Kyrum2169	5
112	dabloons	4
112	6king6colt6	4
112	THEKINGLyric10	4
112	xzvu	4
112	jcool7	4
112	ZoomieZoomie	4
118	Mr_Byzantine	3
118	DAD_1996	3
118	Meatlaugh	3
118	gusstationwerker	3
122	pintsizedrogue	2
122	seanitoo	2
122	T045RTY	2
122	Huwulling	2
122	nocturne78	2
122	Winklepicker279	2
122	Skomo	2
122	thgrocks	2
122	claivin	2
122	Groundler	2
122	Eraxa	2
122	pablopickle	2
122	guccipucci_	2
135	BigMaoguai	1
135	SaucyDark	1
135	_AceOfSpace_	1
135	Prismyst	1
135	Rich_Kat	1
135	Scathra	1
135	Karetoko	1
135	Eman__1	1
135	fr_ser	1
135	FishyBoy3811	1
135	RoofTyler	1
135	Kowcio_	1
135	SammiWolfGirl	1
135	bladeefan2009	1
135	00000000-0000-0000-0009-01f073f37a91	1
