rank	username	minecraft:used/minecraft:warped_hyphae
1	YungMaki	4723
2	Huwulling	1850
3	Manaateee	1468
4	AdmiralSmoke	1114
5	Xalithia	940
6	joethahobo	929
7	12Magner05	864
8	SpacesickPrism	553
9	Kowcio_	186
10	Blaiku	174
11	Frozil20	168
11	EveryonesUncle	168
13	TheSecondLord	148
14	SuperPooch06	142
14	Spacewardharpy7	142
16	rarrq	133
17	Crowman1	126
18	CattSoup	116
19	PlasticOtari	107
20	mwrty	92
21	pintsizedrogue	83
22	Hermanni__	80
23	Alteriity	65
24	Apollo_993	53
25	Fuad_R	51
26	djancak	50
27	ZoomieZoomie	24
28	PigDab	19
29	kekhon	17
29	thewindmillman	17
31	TheALV	13
31	ZeroKraken	13
33	Moofyman	11
34	Mahoose	8
35	xxPipperDipperxx	6
35	SammiWolfGirl	6
37	BobDeBouwer1337	5
37	Jimb0nat0r	5
39	soundad	4
39	Luigipunch989	4
41	noam464	3
42	Mattesco	2
42	bearlystraight	2
42	iSammael	2
42	ConnorDanky_	2
46	eitanzaki	1
46	CliffEmAll	1
