rank	username	minecraft:used/minecraft:chipped_anvil
1	noam464	157
2	kekhon	82
3	Chromary	76
4	Hyp3rion_	72
5	FreakGenius	64
6	pintsizedrogue	62
7	lordpipe	33
7	YungMaki	33
9	Blackberry1310	31
10	CLG_Kata	23
11	Eczbek	20
12	Groundler	18
12	pixelviolin	18
12	jnp_gaming	18
15	vandmanden	17
16	set67	16
17	xzvu	15
17	xolstoi	15
19	Kowcio_	14
19	PlasticOtari	14
21	surfinggiraffejp	13
21	RobotMinion101	13
21	brofrickcheaters	13
24	Akoot_	12
24	_Mythic____	12
26	Mahoose	11
26	joethahobo	11
26	Fullut	11
26	Di_infiri	11
26	HellsSponge	11
26	PortlyPete69	11
32	Merv__	10
32	eitanzaki	10
32	Awyrlas	10
32	Racengan	10
32	Quotary	10
32	skrongus	10
38	SmashingPump	9
38	ECstardust	9
38	12Magner05	9
38	mwrty	9
38	thescout7	9
38	ApophisNova	9
38	luseis	9
38	Lutres_	9
38	mihimihimihi	9
38	fffMike	9
38	MyNamaSheff	9
38	Enderxz3	9
38	TechnoNinja64	9
51	Frozil20	8
51	Eraxa	8
51	AdmiralSmoke	8
54	Historical_Sand	7
54	beeperbeeper5	7
54	Inchef	7
54	ROY4LE	7
54	Onennon	7
54	LeonelSalamanca	7
54	Dakar_	7
54	NameGenerat0r	7
54	MineMaster0012	7
54	obzii	7
64	elicobnoah	6
64	Healthing	6
64	EMC_	6
64	Lez_	6
64	rarrq	6
64	Euclidoris	6
64	lunathelemon	6
64	TheSecondLord	6
64	Snowflowe	6
64	Krowuss	6
64	Werbe	6
64	AuroraSkies	6
64	Nycteus_	6
64	Blaiku	6
64	Spacewardharpy7	6
64	Cocoamallows	6
64	layabout100	6
64	Soplight	6
64	SpacesickPrism	6
64	jcool7	6
64	Skippeh	6
64	MirielThePastor	6
86	diamondgolem35	5
86	ZaneABrain	5
86	ShedJr_	5
86	Saucepeh	5
86	ThePoliteG	5
86	Kubelz	5
86	Kakolbus	5
86	legal_tax_evader	5
86	Arceus1975	5
86	Eczbox	5
86	pappaberg	5
86	sammidk	5
86	AlphaWolfPlaysMC	5
86	SkateboardR6	5
86	_i_ERROR_i_	5
101	_Virify_	4
101	Yatitay	4
101	gren_ben	4
101	SaucyDark	4
101	Hpdinosaur	4
101	Ryker	4
101	bloodbiter	4
101	thewindmillman	4
101	selectrix	4
101	TheShyPig	4
101	Maenara	4
101	NomadicRobin_	4
101	lillips	4
101	Manaateee	4
101	El_Jalapeno	4
101	WyngGoy	4
101	Segotep999	4
101	Spenduh	4
101	lcvezra	4
101	Hermanni__	4
101	Kubeusz2010	4
122	Jovaphobic	3
122	Alteriity	3
122	MattieHD	3
122	Secret_Canary	3
122	emrekn	3
122	Septemb3r	3
122	Stiar	3
122	M_Patata	3
122	yheece	3
122	Jackattack53	3
122	SuperPooch06	3
122	Rumpletaezer	3
122	xDraggin	3
122	Lord_Zacler	3
122	fkGrim	3
122	Deathkob	3
122	rotten_mango	3
122	GoofyBread	3
122	Fuad_R	3
122	Ritter__	3
122	Steve897	3
