rank	username	minecraft:used/minecraft:dark_oak_wood
1	Euclidoris	7819
2	EveryonesUncle	5234
3	M_Patata	2809
4	MasterNueve	2454
5	RoofTyler	1123
6	500am	1026
7	TheSecondLord	983
8	Frozil20	878
9	Kowcio_	637
10	Enderxz3	609
11	Shogunite	347
12	Blackberry1310	341
13	Werbe	332
14	SuperPooch06	297
15	Historical_Sand	292
16	noam464	291
17	The_slideV3	282
17	CalebDHawk	282
19	_Cloverbelle_	239
20	m_be9	238
21	Sheldor097	230
22	PlasticOtari	228
23	Rebytre	223
24	beeperbeeper5	196
25	Touched_Bread	159
26	ExtraDumb	143
27	BlancoFlaco	115
28	Di_infiri	110
29	GlitchyPlate810	109
30	eitanzaki	105
31	rarrq	97
32	PigDab	90
33	Merv__	87
34	ImpavidArcher	85
35	ConnorDanky_	78
36	Smoke____	77
37	joethahobo	76
37	Leyna3	76
39	Sleek_Storm_721	71
40	pixelviolin	67
41	pintsizedrogue	65
42	IamCL4SSY	61
43	Legendosh	55
44	SyK7	51
44	ShedJr_	51
46	groofles	50
47	Fullut	40
48	Bandito_Roamer	39
49	gcaisawesome	38
50	luseis	37
51	ProfessorBee	36
52	AlexxO_o	35
53	Mahoose	32
54	Inchef	31
54	TheShyPig	31
56	Elastiq	28
56	LazySupport00	28
58	jnp_gaming	27
59	NameGenerat0r	24
59	BlankityMcBlank	24
61	thewindmillman	23
62	paranoid_plant	22
63	CollinMH06	16
63	Nycteus_	16
65	kekhon	14
65	h2p_emrld	14
67	Ezekson	13
68	avalan64	11
69	xxPipperDipperxx	10
69	Maenara	10
69	Russiancat1	10
69	Spacewardharpy7	10
73	SingedBread	7
74	rachcl	6
74	Lez_	6
74	Vetral1	6
74	FishyBoy3811	6
74	fffMike	6
74	CattSoup	6
80	Steelynan	5
80	2bolx_	5
82	lolofied	4
82	teslawolf38	4
82	Saltymart	4
82	AnnieBathory	4
82	claivin	4
82	CornOnTheCobalt	4
88	Esme_1	3
88	dartwaffle	3
88	ReflexCode	3
88	Groundler	3
88	SvenskaHugo	3
93	Natty	2
93	Jakobo1337	2
93	Smashic	2
93	Eraza	2
93	The11thDoctor	2
93	lordpipe	2
93	LordSpeed37	2
93	Soplight	2
101	dudcreeper	1
101	301851	1
101	cheerytomato	1
101	GoofyBread	1
101	Blu3beast	1
101	Blaiku	1
101	Hisiste	1
101	iSammael	1
101	gusstationwerker	1
101	LeEricc	1
101	MilleGrug	1
