rank	username	minecraft:used/minecraft:iron_trapdoor
1	Mahoose	9182
2	m_be9	7311
3	thewindmillman	4880
4	YungMaki	4729
5	noam464	4144
6	joethahobo	3410
7	PigDab	2111
8	eitanzaki	2101
9	Di_infiri	1957
10	beeperbeeper5	1832
11	Ezekson	1762
12	Hyp3rion_	1517
13	StinkyDiplomat	1413
14	Spacewardharpy7	1141
15	jnp_gaming	1072
16	Blaiku	1048
17	Jackattack53	1010
18	mwrty	854
19	PlasticOtari	830
20	kekhon	484
21	TheShyPig	462
22	Frozil12	402
23	HellsSponge	355
24	MinttyFressh	284
25	Snowflowe	265
26	ImpavidArcher	257
27	Soplight	229
28	r123moore	195
29	geekbird	177
30	KG1999	167
31	Smoke____	165
32	500am	151
32	Marbz_	151
34	MightyWertu	147
35	12Magner05	139
36	Merv__	133
37	NotMeanttoChange	127
38	thescout7	102
38	MilleGrug	102
40	Sral7	88
41	The_slideV3	76
42	titanlax	64
43	Lord_Jord	63
44	Sky_light_KING	62
45	_Virify_	61
45	audiocracked	61
45	Freak_Genius	61
48	Swexti	57
49	Skippeh	54
50	bloodbiter	52
51	Groundler	51
52	ratglock	50
52	ayamefag	50
54	KarlKaek	49
54	Doom_melon	49
56	Jiminie	46
57	jushykins	45
58	Factoroni	43
59	Inchef	42
60	Shogunite	39
61	theonlymagikarp	38
62	WyngGoy	37
63	Nicky_H225	36
63	lordpipe	36
63	Eraxa	36
66	SquadMonster	35
66	Werbe	35
66	Xclax101	35
69	T045RTY	33
69	AltnumberF4	33
69	Legendosh	33
72	soundad	30
72	MyNameIsDakar	30
74	rarrq	29
75	PegLegPete93	27
76	ShedJr_	26
76	Smashic	26
76	Winklepicker279	26
79	2c19c699-1659-42a9-8736-134c5a6d6d2a	24
80	gabriels543	23
81	burbankbuilder28	22
82	oreee	21
82	Bumpy419	21
82	SkateboardR6	21
85	RebelAndroid	20
85	gcaisawesome	20
85	Steelynan	20
88	Blu3beast	19
88	Barlycorn	19
90	PortlyPete69	18
90	Enderslayerxz3	18
92	MattieHD	17
92	Fildyr	17
94	pintsizedrogue	16
94	jacxhadow	16
96	Flores991	14
96	lillips	14
96	tsitrawhy	14
96	KingMatthew506	14
100	DepressedCubic	13
100	MyNameIsJobo	13
100	Onennon	13
100	Maenara	13
104	Vorlice	12
104	__tomato	12
106	CharlieButt	11
106	loveseeker	11
106	fw3xywashere	11
106	censorsheep	11
106	Winston_Ingram	11
111	Bandito_Roamer	10
111	Arceus1975	10
111	RobotMinion101	10
111	Darkgon	10
111	jcool7	10
111	oxfordschool	10
117	Fullut	9
117	Zythose	9
117	EveryonesUncle	9
120	youhjjhhhjj	8
120	Ssor69	8
120	Ozixar	8
120	InfernalMound	8
120	Kyrum2169	8
120	PlzNoBM	8
120	Zoeyfortnite	8
127	teslawolf38	7
127	jimintyy	7
127	Comma__	7
127	SuperPooch06	7
127	MangoTheFish	7
127	lizardfightclub	7
127	Fuad_R	7
127	GravitySaint	7
127	Racengan	7
127	Eczbek	7
127	cichy096	7
138	AuroraValkyrie	6
138	Historical_Sand	6
138	Frxnkz	6
138	Mewar	6
138	ADEXTV	6
138	valkam13	6
138	fkGrim	6
138	LexMakesHistory	6
138	Hisiste	6
138	07shiny	6
138	CACTUSLAD	6
138	561cool	6
150	abramgray	5
150	Tommhh	5
150	ssleepless	5
150	Cryptacity	5
150	TheSecondLord	5
150	Megarboh	5
150	xxPipperDipperxx	5
150	hcb238	5
150	CaptainSteve345	5
150	Rumpletaezer	5
150	domagawha	5
150	Muffindrake	5
150	AlphaWolfPlaysMC	5
150	Powowowow	5
150	TechnoNinja64	5
165	I_Am_Mushkin	4
165	Dedalus36	4
165	Rox_The_Box	4
165	H72l9w	4
165	Mimiir345	4
165	NoxxxxiS	4
165	Covalents	4
165	Paintz	4
165	AJplaysMC_	4
165	selectrix	4
165	YahooScreen9000	4
165	MustaLoordi	4
165	SvenskaHugo	4
165	ediballbearings	4
165	Spenduh	4
165	_TCARREIRA_	4
165	Sheldor097	4
165	Quotary	4
165	FelixPSY375	4
165	adiccting01	4
185	dabloons	3
185	KingFaenor	3
185	dongli	3
185	cowgirlkasia	3
185	boog4loo	3
185	Irko	3
185	LitoDelvito	3
185	Zaridey	3
185	Bazongoman	3
185	Nyxiom_	3
185	_Boipl_	3
185	ApophisNova	3
185	cedric72	3
185	Leyna3	3
185	Inbefour	3
185	Nycteus_	3
185	fluddd	3
185	Toriankel	3
185	Warlord324	3
185	MakeHistory157	3
185	Nagasaki_Riku	3
185	stahouo	3
185	Nargotah	3
185	mawileite	3
185	Njensen7	3
185	Hermanni__	3
185	Kubeusz2010	3
185	tartanboy	3
185	MyNamaSheff	3
185	Yahrto	3
185	JayToe	3
216	_stets	2
216	EMC_	2
216	error10101	2
216	Hpdinosaur	2
216	tuckerdoodle	2
216	Incinere	2
216	NanoShot	2
216	Whiterooster001	2
216	Vizzoid	2
216	featherflyy	2
216	aikabot	2
216	Lumien_	2
216	SteveCraftBlocks	2
216	_Dean_123	2
216	Z3braYTIL	2
216	Kamflame10	2
216	egglapras	2
216	Awyrlas	2
216	emrekn	2
216	eviltunix	2
216	moist_jellyfish	2
216	ImDisconnected_	2
216	Sqwishy	2
216	epiksk8erduck	2
216	aec9	2
216	TheSeismicDuck	2
216	Syropatathe	2
216	NYJ	2
216	sufjanlover	2
216	Deathkob	2
216	YungWali	2
216	DarlaMeow	2
216	Quincannon	2
216	NameGenerat0r	2
216	DASH_X7	2
216	claivin	2
216	FlashMigma	2
216	SwooshBoi	2
216	BumbleBeever	2
216	Matorz	2
216	Lord_Doob	2
216	SexcMf	2
216	stavgod	2
216	pixelviolin	2
216	BlankityMcBlank	2
216	obzii	2
216	_3Stump_	2
216	Nicserso	2
216	diggydog67	2
265	Jovaphobic	1
265	Mr_Byzantine	1
265	Froste131	1
265	TildaAndrea	1
265	SlowMoNinja1994	1
265	Iagoku	1
265	Hyugo	1
265	ExtraDumb	1
265	hm947	1
265	BodaciousCake	1
265	Huwulling	1
265	awesomeoneme	1
265	ivorico	1
265	Prismyst	1
265	301851	1
265	Da_Boss_Rani	1
265	Sleepy_Time_	1
265	FirsTimeGamingTV	1
265	urbeans	1
265	Blackberry1310	1
265	rpmm	1
265	noodlepack	1
265	TheDiamondCG	1
265	slkiey	1
265	AngalexikCZ	1
265	Nach0Bear	1
265	himak1	1
265	SellyZ	1
265	Dyosy	1
265	ayqq	1
265	Noah_Bez	1
265	eiC_	1
265	TheDankPlatypus	1
265	LAVA129	1
265	GoigeFZ	1
265	Parcc	1
