rank	username	minecraft:used/minecraft:lava_bucket
1	joethahobo	5352
2	AdmiralSmoke	5342
3	MoistMicrowave	3398
4	Mewar	3348
5	SvenskaHugo	3310
6	noam464	2965
7	El_Jalapeno	2485
8	HellsSponge	2074
9	eitanzaki	1923
10	Ezekson	1647
11	Arceus1975	1568
12	Skippeh	1383
13	EcksD	1276
14	Nicky19	1241
15	dartwaffle	1228
16	Creativebuilder2	1211
17	beeperbeeper5	1175
18	KeruNatsema	999
19	BobDeBouwer1337	978
20	ProbsNotNova	938
21	Smashic	899
22	aldplaysmc	893
23	301851	811
24	Valoth	805
25	thewindmillman	804
26	Jackattack53	640
27	Rebytre	632
28	_Virify_	594
28	Hyp3rion_	594
30	Cowison	557
31	gcaisawesome	534
32	YungMaki	513
33	PigDab	498
34	Iamthejo	479
35	FreakGenius	441
36	QuiCreans	422
37	lotarp	420
38	pintsizedrogue	391
38	Werbe	391
40	Soplight	385
41	Merv__	374
42	Fullut	361
43	IvarEXE	360
44	TheSecondLord	356
44	himak1	356
46	luseis	354
47	Spacewardharpy7	351
48	vandmanden	344
49	_3Stump_	343
50	Alteriity	327
51	PlasticOtari	323
52	Maenara	322
53	thescout7	308
54	Segotep999	306
55	sp00ky_ghost977	287
56	Groundler	270
57	Kakolbus	268
58	Groovy_MoonBird	254
58	ApophisNova	254
58	MyNamaSheff	254
61	12Magner05	245
62	Blu3beast	238
63	Inchef	236
63	hanaryheatwave	236
65	Bumpy419	234
66	ssleepless	222
67	Kamflame10	216
67	oscminus	216
67	claivin	216
70	Manaateee	212
71	MineMaster0012	204
72	500am	202
73	Di_infiri	193
74	Steelynan	188
75	eviltunix	186
76	Blackberry1310	184
77	Awyrlas	183
78	AlexxO_o	182
79	NomadicRobin_	180
79	Hermanni__	180
81	stavgod	179
82	non089	177
82	PortlyPete69	177
84	Akoot_	176
85	TheShyPig	168
86	SuperPooch06	165
87	xyct	164
88	jnp_gaming	162
89	Snowflowe	159
89	__tomato	159
91	excelsionprime	158
92	ougstur	156
93	QueenShuvi	151
94	mariominejedi	150
94	DAD_1996	150
96	MyNameIsJobo	149
96	NameGenerat0r	149
98	07shiny	148
99	The_slideV3	145
100	Tyrannosplart	144
101	Mahoose	143
102	diamondgolem35	142
103	T045RTY	140
104	EMC_	138
105	m_be9	137
105	mihimihimihi	137
105	pixelviolin	137
108	calamariclam_I	131
109	Wowful	130
110	Kijiki	127
111	Blaiku	122
112	Vorlice	121
113	ZeroAbyssTTV	120
114	F_Uhre	115
115	h2p_emrld	111
116	_Nuf	110
117	6king6colt6	109
117	starbits140	109
119	fw3xy74	108
120	UltraZombie	104
121	Fuad_R	102
121	Powowowow	102
123	TechnoNinja64	101
124	bigstankyy	98
125	SkateboardR6	96
126	Marbz_	94
127	SingedBread	93
128	Enderxz3	92
129	r123moore	91
130	MightyWertu	90
131	SpacesickPrism	88
132	zToasty69z	87
133	xxPipperDipperxx	86
134	Frozil20	83
135	SmashingPump	81
136	lordpipe	80
137	Steve897	79
138	Secret_Canary	78
138	Giannism	78
138	masskedman	78
141	AltnumberF4	76
142	__Auspicious	73
142	IAmTheWalrus910	73
142	00000000-0000-0000-0009-01ff0c3e5e4f	73
145	xolstoi	72
146	LeGold	70
146	Nargotah	70
146	EngagedGrub41	70
149	Natty	69
149	Lord_Jord	69
151	ImpavidArcher	68
152	Hoshi	66
153	Arteriana	65
153	rarrq	65
155	CarsonDoesMine	64
