rank	username	minecraft:used/minecraft:warped_fungus
1	thewindmillman	43920
2	joethahobo	36515
3	noam464	34159
4	Hyp3rion_	31050
5	Jackattack53	26877
6	Blaiku	12158
7	eitanzaki	3560
8	HolyVenom	1429
9	12Magner05	1107
10	Jimb0nat0r	920
11	Snowflowe	405
12	Blackberry1310	320
13	PigDab	218
14	FishisTTV	217
15	Akoot_	177
16	Mr_Byzantine	148
17	pintsizedrogue	143
18	beeperbeeper5	129
19	Historical_Sand	120
20	Di_infiri	101
21	_Mythic____	99
22	Alteriity	87
23	Ezekson	79
24	Xalithia	68
24	Optiprimus	68
26	rarrq	50
27	Fullut	41
27	Lutres_	41
29	PlasticOtari	38
30	TheDankPlatypus	31
31	luseis	29
32	Ryker	28
33	Kubelz	27
34	TheSecondLord	26
35	TheShyPig	23
35	ConnorDanky_	23
37	Arceus1975	22
38	HellsSponge	21
39	diamondgolem35	20
40	pumpfonzo	17
40	Kferno	17
42	Skylord_Luke	16
42	Lord_Jord	16
42	lordpipe	16
42	AdmiralSmoke	16
46	teslawolf38	15
46	r123moore	15
48	diggydog67	14
48	00000000-0000-0000-0009-01ff0c3e5e4f	14
50	jacxhadow	13
50	BobDeBouwer1337	13
50	catandmoose	13
50	CarltheCuck	13
54	Merv__	12
54	Manaateee	12
54	Kowcio_	12
54	Soplight	12
54	Hermanni__	12
59	pixelviolin	11
60	PazinGaming	10
60	Hpdinosaur	10
60	hanaryheatwave	10
60	SvenskaHugo	10
64	Hoid_the_Roamer	9
64	TheEnderMan548	9
66	Mahoose	8
66	excelsionprime	8
66	mihimihimihi	8
66	Luigipunch989	8
66	Kubeusz2010	8
71	Cowison	7
71	RatatJuice	7
71	T045RTY	7
71	FreakGenius	7
71	Decaying_Lotus	7
76	gcaisawesome	6
77	DinoDoctor_	5
77	tuckerdoodle	5
77	ROY4LE	5
77	trixterrx	5
77	NomadicRobin_	5
77	CalebDHawk	5
83	CoffeeNoir	4
83	ShedJr_	4
83	M_Patata	4
83	Werbe	4
83	lizardfightclub	4
83	MasterNueve	4
83	anbbang	4
83	Enderxz3	4
91	Swexti	3
91	Chromary	3
91	ooga47	3
91	djancak	3
95	titanlax	2
95	Enigma0251	2
95	Master_Kol	2
95	501g	2
95	SammiWolfGirl	2
95	PortlyPete69	2
95	EcksD	2
102	AuroraValkyrie	1
102	Wooptey	1
102	kekhon	1
102	PegLegPete93	1
102	theonlymagikarp	1
102	SuperPooch06	1
102	corpsecity	1
102	masskedman	1
102	EveryonesUncle	1
102	MightyWertu	1
102	Spacewardharpy7	1
102	Eraxa	1
102	brofrickcheaters	1
102	cichy096	1
102	jnp_gaming	1
