rank	username	minecraft:used/minecraft:amethyst_block
1	MilleGrug	8157
2	RebelAndroid	1764
3	pintsizedrogue	983
4	Smoke____	619
5	GlitchyPlate810	434
6	Enderslayerxz3	390
7	beeperbeeper5	333
8	MinttyFressh	278
9	TheDankPlatypus	224
10	lordpipe	219
11	cwartzo	200
12	Spacewardharpy7	194
13	xxPipperDipperxx	173
14	mobunni	155
15	12Magner05	146
16	TheSecondLord	132
17	Ryker	103
18	YungMaki	100
19	SammiWolfGirl	86
20	Kubelz	83
21	ImpavidArcher	77
21	Steelynan	77
23	ItsDeltaMC	68
24	breadbowlgamer	64
24	2blox	64
26	MyNameIsDakar	63
27	starbits140	62
28	00000000-0000-0000-0009-01f898304150	55
29	_stets	54
30	Jiminie	45
31	_NieToksikpl_	44
32	Mahoose	40
32	pixelviolin	40
34	egglapras	37
35	SuperPooch06	36
35	KeruNatsema	36
37	Hermanni__	34
38	PigDab	31
38	Frozil12	31
40	AltnumberF4	30
41	thewindmillman	28
41	Hyp3rion_	28
43	susbakaimpostor	27
44	secondstepsis	25
44	wwwwinnebagoooo	25
46	CoffeeNoir	15
46	Winklepicker279	15
48	diamondgolem35	12
49	Flores991	10
49	Myszoaz	10
49	TheOuterCore	10
52	Nesquiczek	9
52	500am	9
52	Rebytre	9
52	Lutres_Torane	9
52	Nycteus_	9
57	Vegvisir	8
57	Hylo482y	8
57	EcksD	8
60	Rexorout	7
61	Shiirazuku	6
61	RadarHz	6
61	Weepingbiel	6
64	noam464	5
64	lizardfightclub	5
64	IdeallyGrey	5
67	Khelvoryk	4
67	ApophisNova	4
67	MyNamaSheff	4
70	EMC_	3
70	KarlKaek	3
70	Deathkob	3
70	Human_Resource	3
70	SingedBread	3
70	djancak	3
70	Ezekson	3
77	strongman951753	2
77	Drlzyy	2
77	eitanzaki	2
77	MSK__	2
77	joethahobo	2
77	rarrq	2
77	Jackattack53	2
77	NomadicRobin_	2
77	WYFYoyo	2
86	TAKrules	1
86	ShedJr_	1
86	xPixelRainx	1
86	Kkanot	1
86	Kakolbus	1
86	_Boipl_	1
86	fluddd	1
86	Eczbek	1
86	smogfrog	1
