rank	username	minecraft:used/minecraft:warped_fence_gate
1	thewindmillman	6263
2	joethahobo	3350
3	EcksD	3139
4	Snowflowe	1245
5	Di_infiri	950
6	12Magner05	879
7	noam464	528
8	Lutres_	458
9	Arceus1975	399
10	Apollo_993	132
11	mihimihimihi	49
12	rarrq	42
13	Alteriity	36
14	PigDab	28
15	Rebytre	22
16	Kowcio_	20
16	EngagedGrub41	20
18	TheSecondLord	18
18	Hyp3rion_	18
18	Hermanni__	18
21	beeperbeeper5	16
22	Jackattack53	15
23	pintsizedrogue	14
23	diamondgolem35	14
25	teslawolf38	13
25	FreakGenius	13
25	PlasticOtari	13
28	PegLegPete93	8
29	AdmiralSmoke	7
30	Manaateee	6
31	Eraxa	5
32	Mr_Byzantine	4
33	ShedJr_	3
33	FishyBoy3811	3
33	YungMaki	3
36	ITDV	2
36	IgnoredBee	2
36	Mattesco	2
36	Spacewardharpy7	2
36	Enderxz3	2
36	00000000-0000-0000-0009-01ff0c3e5e4f	2
42	Huwulling	1
42	Fullut	1
42	PortlyPete69	1
