rank	username	minecraft:used/minecraft:golden_apple
1	eitanzaki	320
2	Frozil12	236
3	beeperbeeper5	205
4	KG1999	172
5	GlitchyPlate810	134
6	Di_infiri	127
7	chipklip	121
8	rarrq	117
9	AltnumberF4	111
10	egglapras	106
11	fred870d	90
12	PigDab	89
13	TheSecondLord	88
14	YungMaki	77
14	stahouo	77
16	EcksD	75
17	Racengan	74
18	Smoke____	64
19	MilleGrug	56
20	ImpavidArcher	53
21	Inchef	51
22	Dusk_95	45
23	xxPipperDipperxx	42
24	hm947	35
25	Blackberry1310	33
26	UncreativeArtist	31
27	Spacewardharpy7	30
27	Enderslayerxz3	30
29	joethahobo	29
30	RodSerlingCringe	28
31	MovingFish7	27
32	EveryonesUncle	26
32	lillips	26
32	Blaiku	26
32	Cocoamallows	26
32	Skippeh	26
32	PlasticOtari	26
38	MyNameIsDakar	25
39	Mahoose	24
40	jnp_gaming	23
41	__tomato	21
42	claivin	20
43	CollinMH06	19
43	NomadicRobin_	19
45	Mr_Byzantine	18
45	Auseawesome	18
45	kekhon	18
45	mwrty	18
49	Drlzyy	17
49	thewindmillman	17
49	Rebytre	17
49	fluddd	17
53	Groovy_MoonBird	16
53	noam464	16
55	Bumpy419	15
56	T045RTY	14
56	Sheldor097	14
58	theonlymagikarp	13
58	gcaisawesome	13
58	Freak_Genius	13
61	_NieToksikpl_	12
61	Historical_Sand	12
61	_Dean_123	12
61	DAD_1996	12
61	Akoot_	12
61	kinas45y5	12
61	WYFYoyo	12
68	Sleek_Storm_721	11
68	Euclidoris	11
68	MinttyFressh	11
68	HellsSponge	11
68	fffMike	11
73	ROY4LE	10
73	Kowcio_	10
73	Kyrum2169	10
76	6king6colt6	9
76	Nesquiczek	9
76	awesomeoneme	9
76	Xalithia	9
76	Rumpletaezer	9
76	wezzzi	9
76	sebastiensaborio	9
76	jcool7	9
76	alderban107	9
76	Kubeusz2010	9
76	Sral7	9
87	ImDisconnected_	8
87	mariominejedi	8
87	DarlaMeow	8
87	ItzWqlfy	8
87	Eraxa	8
87	HesDemonPants	8
93	Nach0Bear	7
93	ApophisNova	7
93	Xclax101	7
93	WyngGoy	7
93	BlankityMcBlank	7
93	MyNamaSheff	7
99	pintsizedrogue	6
99	Flores991	6
99	The11thDoctor	6
99	Quaintster	6
99	lcvezra	6
99	SammiWolfGirl	6
99	Ezekson	6
106	Bandito_Roamer	5
106	RebelAndroid	5
106	NinjaKnifeKill	5
106	Vizzoid	5
106	ProfessorBee	5
106	Fullut	5
106	thescout7	5
106	Winklepicker279	5
106	Snowflowe	5
106	Hiryu27	5
106	Skylord_Luke	5
106	cedric72	5
106	Blu3beast	5
106	Hisiste	5
106	vandmanden	5
106	TechnoNinja64	5
122	CoffeeNoir	4
122	MSK__	4
122	bloodbiter	4
122	Kkanot	4
122	jewbacaman	4
122	ogoa	4
122	NameGenerat0r	4
122	Groundler	4
122	SkateboardR6	4
122	Nagasaki_Riku	4
122	Spenduh	4
122	RadarHz	4
122	smogfrog	4
135	bigstankyy	3
135	ivorico	3
135	R0cketmanstan	3
135	4383	3
135	MattieHD	3
135	emrekn	3
135	Zaridey	3
135	PeteO1995	3
135	Hyp3rion_	3
135	Zythose	3
135	The_Fulgurator	3
135	Corbsman	3
135	Joestra	3
135	GoofyBread	3
135	Airem_Core	3
135	Soplight	3
135	CalebDHawk	3
135	Legendosh	3
135	h2p_emrld	3
135	00000000-0000-0000-0009-01f16526f034	3
155	nataliecool	2
155	PhantomsGhost_	2
155	Jalvajar	2
155	fanofbands101	2
155	teslawolf38	2
155	Begformurrcy	2
155	BlancoFlaco	2
155	_Razar	2
155	lotarp	2
155	MOSS000	2
155	FirsTimeGamingTV	2
155	chlorinex	2
155	12Magner05	2
155	Kamflame10	2
155	Commander_Ange	2
155	Paintz	2
155	Giannism	2
155	gabriels543	2
155	SuperPooch06	2
155	Chromary	2
155	Nope______	2
155	RefluxRatio	2
155	Shiirazuku	2
155	Leonidas2k17	2
155	El_Jalapeno	2
155	censorsheep	2
155	SingedBread	2
155	lordpipe	2
155	ItsDeltaMC	2
155	33sudo	2
155	stellarjay	2
155	SmiteBear	2
155	TheOuterCore	2
155	MeetTheWollo	2
155	UrbanPlanner1978	2
155	2blox	2
155	EcksDofficial	2
192	ShowRegent	1
192	Jovaphobic	1
192	YinToYin	1
192	HBA00_	1
192	seanitoo	1
192	_Virify_	1
192	SyK7	1
192	strongman951753	1
192	soundad	1
192	hollowww	1
192	Merv__	1
192	lewieinnit	1
192	EMC_	1
192	KarlKaek	1
192	rachcl	1
192	ExtraDumb	1
192	LoganDSA	1
192	Bad_At_Names_Guy	1
192	TooManyDuck	1
192	Incinere	1
192	livingdaydreams	1
