rank	username	minecraft:used/minecraft:bubble_coral_fan
1	Hyp3rion_	240
2	_Dean_123	80
3	12Magner05	76
4	lordpipe	59
5	Di_infiri	57
6	pintsizedrogue	54
7	noam464	50
8	Mahoose	46
9	500am	36
10	ImpavidArcher	35
11	Xalithia	33
12	SammiWolfGirl	31
13	_Bguette_	30
14	HellsSponge	26
15	Jackattack53	25
16	Merv__	24
16	TheShyPig	24
16	Spacewardharpy7	24
19	ApophisNova	22
19	FreddyFart	22
19	MyNamaSheff	22
19	Powowowow	22
23	Xclax101	21
24	mihimihimihi	20
25	Ssor69	19
25	Onennon	19
27	Blackberry1310	17
27	ConnorDanky_	17
29	Bandito_Roamer	15
29	Marbz_	15
31	Rumpletaezer	12
31	Inbefour	12
31	Steelynan	12
34	AuroraValkyrie	11
34	Fullut	11
34	Smoke____	11
37	Frozil20	10
38	Soplight	9
38	SpacesickPrism	9
38	KingMatthew506	9
41	r123moore	8
41	TheDankPlatypus	8
41	Rebytre	8
41	KeruNatsema	8
41	The_slideV3	8
46	Kakolbus	7
46	aec9	7
46	Maenara	7
49	Lez_	6
49	victorLIE	6
51	T045RTY	5
51	Prismyst	5
51	Bumpy419	5
51	Hiryu27	5
51	Typadopoulos	5
51	lcvezra	5
51	GlitchyPlate810	5
51	Legendosh	5
51	PlasticOtari	5
51	diggydog67	5
61	BodaciousCake	4
61	titanlax	4
61	kekhon	4
61	thewindmillman	4
61	RobotMinion101	4
61	SkateboardR6	4
61	iSammael	4
61	stellarjay	4
61	erkada	4
61	HesDemonPants	4
61	Sral7	4
72	TheSecondLord	3
72	emrekn	3
72	burbankbuilder28	3
72	Voxin2K	3
72	PigDab	3
72	Jiminbub	3
72	NameGenerat0r	3
72	FreakGenius	3
72	MightyWertu	3
72	Factoroni	3
72	YungMaki	3
72	EcksD	3
84	eitanzaki	2
84	beeperbeeper5	2
84	Covalents	2
84	_Cloverbelle_	2
84	Akoot_	2
84	XxCookiequeenxX	2
84	_Karmaa	2
84	Blaiku	2
84	Dusk_95	2
84	IAmTheWalrus910	2
84	Fizznut909	2
84	Skippeh	2
84	Biites	2
97	dimondking777	1
97	SaucyDark	1
97	livingdaydreams	1
97	jimintyy	1
97	Alteriity	1
97	CoffeeNoir	1
97	joethahobo	1
97	MinttyFressh	1
97	MattieHD	1
97	UncreativeArtist	1
97	Inchef	1
97	xxPipperDipperxx	1
97	benediktine1	1
97	Donutt	1
97	Smussa	1
97	groofles	1
97	binman420	1
97	luseis	1
97	El_Jalapeno	1
97	WyngGoy	1
97	Eraxa	1
