rank	username	minecraft:used/minecraft:bubble_coral_fan
1	Hyp3rion_	240
2	_Dean_123	80
3	pintsizedrogue	79
4	12Magner05	76
5	lordpipe	59
6	Di_infiri	57
7	noam464	50
8	Mahoose	46
9	500am	36
10	ImpavidArcher	35
11	Xalithia	33
12	SammiWolfGirl	31
13	_Bguette_	30
14	HellsSponge	26
15	Jackattack53	25
16	Merv__	24
16	TheShyPig	24
16	Spacewardharpy7	24
19	ApophisNova	22
19	FreddyFart	22
19	MyNamaSheff	22
19	Powowowow	22
23	Xclax101	21
24	mihimihimihi	20
25	Ssor69	19
25	Onennon	19
27	Blackberry1310	17
27	ConnorDanky_	17
29	Bandito_Roamer	15
29	Marbz_	15
31	Rumpletaezer	12
31	Inbefour	12
31	Steelynan	12
34	AuroraValkyrie	11
34	Fullut	11
34	Smoke____	11
37	Frozil20	10
38	Soplight	9
38	SpacesickPrism	9
38	KingMatthew506	9
41	Lez_	8
41	r123moore	8
41	TheDankPlatypus	8
41	Rebytre	8
41	KeruNatsema	8
41	The_slideV3	8
47	Kakolbus	7
47	aec9	7
47	Maenara	7
50	victorLIE	6
51	T045RTY	5
51	Prismyst	5
51	Bumpy419	5
51	Hiryu27	5
51	Typadopoulos	5
51	lcvezra	5
51	GlitchyPlate810	5
51	Legendosh	5
51	PlasticOtari	5
51	diggydog67	5
61	BodaciousCake	4
61	titanlax	4
61	kekhon	4
61	thewindmillman	4
61	RobotMinion101	4
61	SkateboardR6	4
61	iSammael	4
61	stellarjay	4
61	erkada	4
61	HesDemonPants	4
61	Sral7	4
72	jessewegottacook	3
72	TheSecondLord	3
72	emrekn	3
72	burbankbuilder28	3
72	Voxin2K	3
72	PigDab	3
72	Jiminbub	3
72	NameGenerat0r	3
72	FreakGenius	3
72	MightyWertu	3
72	Factoroni	3
72	YungMaki	3
72	EcksD	3
85	eitanzaki	2
85	beeperbeeper5	2
85	Covalents	2
85	_Cloverbelle_	2
85	Akoot_	2
85	XxCookiequeenxX	2
85	_Karmaa	2
85	Blaiku	2
85	Dusk_95	2
85	IAmTheWalrus910	2
85	Fizznut909	2
85	non089	2
85	Skippeh	2
85	Biites	2
99	dimondking777	1
99	SaucyDark	1
99	livingdaydreams	1
99	jimintyy	1
99	Alteriity	1
99	CoffeeNoir	1
99	joethahobo	1
99	MinttyFressh	1
99	MattieHD	1
99	UncreativeArtist	1
99	Inchef	1
99	xxPipperDipperxx	1
99	benediktine1	1
99	Donutt	1
99	Smussa	1
99	groofles	1
99	binman420	1
99	luseis	1
99	El_Jalapeno	1
99	WyngGoy	1
99	Eraxa	1
99	FishisTTV	1
