rank	username	minecraft:used/minecraft:white_banner
1	Werbe	1498
2	beeperbeeper5	621
3	Mahoose	564
4	Legendosh	490
5	Lez_	442
6	kekhon	403
7	500am	296
8	12Magner05	281
9	Smoke____	274
10	PlasticOtari	253
11	FreakGenius	223
12	xolstoi	215
13	pintsizedrogue	211
14	luseis	207
15	ROY4LE	192
16	Sral7	165
17	TheShyPig	160
18	eitanzaki	157
19	Enderxz3	151
20	YungMaki	145
21	jacxhadow	144
22	ImpavidArcher	136
23	FelixPSY375	128
24	Merv__	121
25	Onennon	120
26	MattieHD	101
26	GlitchyPlate810	101
28	Blackberry1310	99
29	xxPipperDipperxx	98
30	KarlKaek	93
30	Kowcio_	93
32	Smashic	92
33	jnp_gaming	90
34	burbankbuilder28	89
35	Soplight	87
36	ApophisNova	78
36	MyNamaSheff	78
38	rarrq	75
39	lordpipe	70
39	Cpietr0	70
41	Huwulling	69
42	claivin	66
43	ConnorDanky_	65
44	ShedJr_	64
44	Blu3beast	64
46	EveryonesUncle	55
47	WyngGoy	53
48	Akoot_	52
48	Hermanni__	52
50	fluddd	51
51	titanlax	50
52	joethahobo	49
52	OffWithTheirHead	49
54	NameGenerat0r	48
55	diamondgolem35	47
55	HellsSponge	47
57	Historical_Sand	45
58	teslawolf38	42
58	Winklepicker279	42
58	MovingFish7	42
61	Creativebuilder2	41
62	_Dean_123	40
62	Lord_Jord	40
64	Steelynan	39
65	ImNotYuqii	38
66	Kakolbus	37
66	bladeefan2009	37
68	Jimb0nat0r	36
68	00000000-0000-0000-0009-01ff0c3e5e4f	36
70	Eraxa	35
71	Fullut	34
71	noam464	34
73	iSammael	33
74	jessewegottacook	32
75	Kubeusz2010	31
76	Ssor69	30
76	LeauVox4921	30
76	Mattesco	30
76	420BreadLizard	30
80	FirsTimeGamingTV	29
81	Hyp3rion_	28
81	ougstur	28
81	pixelviolin	28
84	fr0stss	27
84	dopplexd	27
84	TheSecondLord	27
87	AuroraSkies	26
87	StinkyDiplomat	26
87	UCP_TheKingK	26
90	Arceus1975	25
90	Skylord_Luke	25
90	fkGrim	25
90	_Karmaa	25
90	Dusk_95	25
90	xzvu	25
96	The11thDoctor	24
96	Smussa	24
96	F_Uhre	24
99	MAns_44	23
100	6king6colt6	22
100	MrExplorer	22
100	lorpus	22
100	binman420	22
100	Sheldor097	22
105	SuperPooch06	21
105	SammiWolfGirl	21
105	UltraZombie	21
105	Powowowow	21
109	thewindmillman	20
109	RoofTyler	20
