rank	username	minecraft:used/minecraft:granite_slab
1	HellsSponge	15900
2	Steelynan	6129
3	Merv__	1568
4	Mahoose	801
5	Smoke____	556
6	TheShyPig	537
7	Enderxz3	476
8	SingedBread	391
9	EMC_	385
10	Stiar	343
11	Snowflowe	322
12	Frozil20	301
13	luseis	277
14	Hpdinosaur	212
15	bruh072	205
16	_Bguette_	188
17	YungMaki	160
18	PortlyPete69	152
19	PlasticOtari	143
20	NameGenerat0r	137
21	radioactv_jelly	129
22	titanlax	127
23	ImpavidArcher	117
24	SexcMf	116
25	500am	110
26	kekhon	97
27	Felenov	88
28	Soplight	71
29	Vizzoid	66
29	DanTheBuilderino	66
29	Eraxa	66
32	eitanzaki	53
33	PazinGaming	47
34	GLLogan2	42
35	jewbacaman	40
36	bigstankyy	39
37	KarlKaek	38
38	Inchef	37
39	NomadicRobin_	32
40	UCP_TheKingK	28
41	Spacewardharpy7	25
42	joethahobo	24
42	Fullut	24
44	valkam13	22
45	q_wq	21
46	Ajax6	20
47	Legendosh	19
48	groofles	16
48	Racengan	16
50	TerraVl	12
50	PegLegPete93	12
52	FGamerJ	10
53	Nicserso	9
54	Groovy_MoonBird	7
55	Malorn_Aetherius	6
55	SUSUGAM	6
55	ROY4LE	6
55	91stCataclysm	6
55	Bumpy419	6
55	tartanboy	6
55	vandmanden	6
62	Meatlaugh	5
63	Blu3beast	4
63	fluddd	4
65	MineMaster0012	3
66	SteveCraftBlocks	2
66	r123moore	2
66	noam464	2
66	Antek_Kicek	2
66	Di_infiri	2
66	Maenara	2
66	Blaiku	2
66	xzvu	2
74	TheSecondLord	1
74	Smashic	1
74	gcaisawesome	1
74	TiborSterle	1
