rank	username	minecraft:used/minecraft:iron_pickaxe
1	Zythose	107962
2	Iamthejo	52630
3	Malorn_Aetherius	50308
4	DanTheBuilderino	40033
5	Wolverine4302	37573
6	RatatJuice	36411
7	Njensen7	36387
8	m_be9	35983
9	El_Jalapeno	33882
10	Kubeusz2010	29225
11	bloodbiter	28924
12	cedric72	28385
13	Di_infiri	27845
14	Kubelz	26686
15	lotarp	22015
16	Lord_Jord	21777
17	ZeroAbyssTTV	20820
18	_Dean_123	19814
19	pintsizedrogue	19633
20	djancak	19366
21	Drewen24	19272
22	Froste131	18983
23	Razzgriz	17885
24	2Stout	16958
25	Fildyr	16911
26	RyuNeko932000	16771
27	BlankityMcBlank	16085
28	livingdaydreams	15880
29	CoffeeNoir	15240
30	intropass	14497
31	platinumzero	14143
32	Kamflame10	13836
33	SaucyDark	13633
34	Vetral1	13299
35	07shiny	12842
36	Kim_Jong_eel	12526
37	Kakolbus	12382
38	Xclax101	12223
39	mobunni	12181
40	ooga47	11732
41	Toriankel	11610
42	Soffbord	11566
43	lizardfightclub	11498
44	zmpeg	11269
45	monky_irl	11261
46	SPUDonSTEROIDS	11071
47	Zaridey	11000
48	00000000-0000-0000-0009-01ff0c3e5e4f	10919
49	soundad	10870
50	Kowcio_	10865
51	ROY4LE	10764
52	Scathra	10602
53	Fuhrer_Teemo	10581
54	ciemacigans	10343
55	jacxhadow	10335
56	_Karmaa	10258
57	Decaying_Lotus	10160
58	purpolepickle	10038
59	MyNameIsJobo	9992
60	ConnorDanky_	9931
61	RadarHz	9873
62	TheShyPig	9824
63	gcaisawesome	9653
64	theonlymagikarp	9581
65	Astronicky	9532
66	Kouridragon	9513
67	Akoot_	9435
68	jnp_gaming	9300
69	Rumpletaezer	9160
70	Nach0Bear	9125
71	MoistMicrowave	9108
72	Orcus113	9042
73	Lord_Zacler	9019
74	Ajax6	8792
75	MelodyGaysharks	8764
76	Wooptey	8718
77	ReflexCode	8627
78	Studyhallsaver	8594
79	Matorz	8502
80	Avocadogerms	8490
81	UncleDanDan	8406
82	FreakGenius	8298
83	RustyKedel	8243
84	picardred	8021
85	redikul	8014
