rank	username	minecraft:used/minecraft:stripped_oak_log
1	Shogunite	2395
2	Mahoose	1001
3	m_be9	657
4	sebastiensaborio	482
5	Smoke____	455
6	TheShyPig	380
7	MattieHD	323
8	Di_infiri	307
9	EveryonesUncle	274
10	EMC_	262
11	Quotary	247
12	burbankbuilder28	243
13	theonlymagikarp	215
14	eiC_	211
15	titanlax	188
15	kekhon	188
17	rarrq	179
18	fkGrim	170
19	MightyWertu	163
20	thescout7	153
21	Blackberry1310	148
22	M_Patata	137
23	Kowcio_	130
24	PlasticOtari	117
25	AltnumberF4	109
26	Cryptacity	97
27	CoffeeNoir	94
27	Fullut	94
29	fffMike	92
30	wobn	88
31	DarkS0L	87
32	Merv__	84
32	Onennon	84
34	TheSecondLord	82
35	cowgirlkasia	80
36	Sleek_Storm_721	72
37	_Dean_123	71
37	MovingFish7	71
39	Slapface522	67
40	Pickel_Lord	63
41	Ozixar	62
42	CarltheCuck	59
42	Werbe	59
42	Freak_Genius	59
45	ShedJr_	54
45	Skylord_Luke	54
47	Sky_light_KING	52
48	r123moore	48
49	G1ldor	43
50	joethahobo	42
50	blimpeey	42
52	OfficerAnvil	41
53	Jiminie	40
54	TheMaster972	38
54	bloodbiter	38
54	Meatlaugh	38
57	Racengan	37
58	MyNameIsDakar	36
59	set67	35
60	Truckoss	34
61	Malorn_Aetherius	32
61	PigDab	32
63	pintsizedrogue	31
64	eitanzaki	30
64	AvaRosey	30
66	PegLegPete93	29
66	Leyna3	29
68	SokaOtaku	27
69	Travasaur	23
69	MyNameIsJobo	23
69	HAIRYCLOUD626	23
69	Enderslayerxz3	23
73	500am	22
73	emrekn	22
73	oxfordschool	22
76	Legendosh	21
77	Icyyyyy	20
77	Akoot_	20
77	ogoa	20
77	CalebDHawk	20
81	ApophisNova	18
81	xo_Marren_xo	18
81	MyNamaSheff	18
84	_Bguette_	17
85	whoaluv	16
85	Gryglu583	16
85	KingMatthew506	16
88	T045RTY	15
88	Ravenbie	15
88	TheThomas69	15
88	himak1	15
92	BlancoFlaco	14
92	Felenov	14
92	NameGenerat0r	14
95	beeperbeeper5	13
95	gcaisawesome	13
97	EfficientC52	12
97	SvenskaHugo	12
97	Soplight	12
100	doopiyo	11
100	Winston_Ingram	11
100	smogfrog	11
100	EcksDofficial	11
104	chipklip	10
104	Nycteus_	10
104	07shiny	10
104	jaimshae	10
108	YungJakobo	9
108	_naturell	9
108	anbbang	9
111	fanofbands101	8
111	6king6colt6	8
111	DAD_1996	8
111	Lord_Zacler	8
111	Deathkob	8
111	bluefragmentt	8
111	Eraxa	8
118	Lutres_Torane	7
118	SSytex_X	7
120	Megarboh	6
120	SteveCraftBlocks	6
120	Xclax101	6
120	Spacewardharpy7	6
120	LetsDoItLive	6
120	Luigipunch989	6
126	stellarjay	5
126	diggydog67	5
128	ImpavidArcher	4
128	Ssor69	4
128	ROY4LE	4
128	Kakolbus	4
128	Jackattack53	4
128	cog	4
128	lordpipe	4
135	Louiis123	3
135	teslawolf38	3
135	Stynxy	3
135	jacxhadow	3
135	xxPipperDipperxx	3
135	hcb238	3
135	Stiar	3
135	toj__	3
135	Rebytre	3
135	Hiryu27	3
135	TJawesome09	3
135	ProfessorDiaper	3
135	Warlord324	3
135	Spenduh	3
135	Oxygen16	3
135	Freedrik	3
151	SyK7	2
151	nataliecool	2
151	Drlzyy	2
151	KarlKaek	2
151	H72l9w	2
151	301851	2
151	IWorkAtIkea	2
151	Digcove	2
151	ratglock	2
151	slkiey	2
151	Awyrlas	2
151	SLASHZEERA	2
151	2Stout	2
151	ehunt54	2
151	Norrhede	2
151	Arceus1975	2
151	thewindmillman	2
151	andy_rex	2
151	_Boipl_	2
151	JESS_THE_RERE	2
151	ozekigod	2
151	SingedBread	2
151	MasterNueve	2
151	MakeHistory157	2
151	Nagasaki_Riku	2
151	yatsuta	2
151	YungMaki	2
151	Kyrum2169	2
151	SammiWolfGirl	2
151	_3Stump_	2
151	momis24	2
182	Bandito_Roamer	1
182	SKYPEX_	1
182	_NieToksikpl_	1
182	Healthing	1
182	Houstonion	1
182	bigstankyy	1
182	RebelAndroid	1
182	Natofthese	1
182	livingdaydreams	1
182	Myszoaz	1
182	FS0L0	1
182	SquadMonster	1
182	shyshyannne	1
182	BilboBaggins23	1
182	LitoDelvito	1
182	Noah_Bez	1
182	noam464	1
182	CaptainBadKid	1
182	CharlieButt	1
182	MitexFTW	1
182	Karetoko	1
182	Winklepicker279	1
182	Chromary	1
182	Hyp3rion_	1
182	fred870d	1
182	epiksk8erduck	1
182	avalan64	1
182	madderfall	1
182	HellsSponge	1
182	Frozil12	1
182	Blaiku	1
182	_k2x	1
182	Yahir091	1
182	Mistruth	1
182	AlexBurnsRed	1
182	ayamefag	1
182	Professor_x8	1
182	GlitchyPlate810	1
182	obzii	1
182	xof_on_microwave	1
182	y0shik	1
182	Hermanni__	1
182	Vellu21	1
182	erkada	1
182	HuangMeiHua	1
182	MythicalyMew	1
182	EcksD	1
182	Nicserso	1
182	imaginek1d	1
182	jnp_gaming	1
182	trexgb	1
182	h2p_emrld	1
