rank	username	minecraft:used/minecraft:sugar_cane
1	Di_infiri	6113
2	EcksD	4582
3	mwrty	2451
4	xxPipperDipperxx	1986
5	PeteO1995	1839
6	Smoke____	1763
7	_Dean_123	1723
8	fffMike	1551
9	Sral7	1384
10	joethahobo	1336
11	Hyp3rion_	1307
11	Hisiste	1307
13	diggydog67	1299
14	NoChumpChange	1120
15	WET_WET_WET	1093
16	KGTV	1055
16	HellsSponge	1055
18	TheDankPlatypus	1042
19	El_Jalapeno	951
20	eitanzaki	943
21	Ezekson	936
22	TheShyPig	927
23	masskedman	915
24	Zoeyfortnite	855
25	Frxnkz	780
26	Njensen7	759
27	KingFaenor	757
28	Freak_Genius	756
29	vandmanden	755
30	soundad	753
31	JEWISHBadenBeele	751
32	Bumpy419	743
33	wobn	712
34	sufjanlover	709
35	Wooptey	682
36	EveryonesUncle	664
37	PigDab	659
38	_Boipl_	655
39	Spenduh	629
40	kekhon	570
41	NieToksikpl	568
42	Kim_Jong_eel	564
43	DanTheBuilderino	560
43	Enderslayerxz3	560
45	Vizzoid	548
46	aldplaysmc	526
47	RebelAndroid	524
48	Touched_Bread	522
49	ToastedGamingYT	518
50	Sky_light_KING	484
51	Blaiku	463
52	LeauVox4921	444
53	Kakolbus	442
54	lordpipe	437
55	Voxin2K	436
56	Darkgon	428
57	marumochis	427
58	titanlax	426
59	Rumpletaezer	422
59	thewindmillman	422
61	The_slideV3	416
62	Prodiginus	414
63	The11thDoctor	410
64	Skylord_Luke	399
65	RobotMinion101	386
66	Lord_Jord	385
66	PlzNoBM	385
68	Spacewardharpy7	371
69	Dogcorn69420	368
70	Rebytre	367
71	500am	362
72	RoskobiOne	356
72	Kubelz	356
74	Fullut	352
75	Arceus1975	351
76	noam464	350
77	tsitrawhy	344
78	EMC_	341
79	Jackattack53	339
80	KliBeast21	338
81	MustaLoordi	335
82	YungMaki	332
83	Inbefour	331
84	beeperbeeper5	326
85	_Virify_	323
86	Hyugo	318
86	_Karmaa	318
88	Snowflowe	307
88	ADEXTV	307
90	Kateesaur	305
91	Blackberry1310	304
92	SlayerCrypto	303
93	CoffeeNoir	301
94	Groovy_MoonBird	299
95	JayToe	293
96	tuckerdoodle	292
97	UrbanPlanner1978	291
98	MissCeleste7	287
99	Katsuragi0243218	285
100	fanofbands101	284
101	Steelynan	283
102	CliffEmAll	282
103	ApophisNova	278
103	MyNamaSheff	278
105	Segotep999	271
106	emrekn	270
107	ThePoliteG	267
108	ProfessorBee	265
109	Onennon	259
110	pintsizedrogue	256
110	SUN_DREAM	256
112	picardred	250
113	TheSecondLord	249
114	ExtraDumb	247
115	FlashMigma	246
116	teslawolf38	244
116	MAns_44	244
118	SaucyDark	242
118	loveseeker	242
120	TechnoNinja64	238
121	PlasticOtari	237
122	Werbe	236
123	CharlieButt	231
124	Barlycorn	230
125	Akoot_	228
126	OG_Songsee	225
127	claivin	222
128	Vorlice	221
129	Nicserso	219
