rank	username	minecraft:used/minecraft:quartz_block
1	joethahobo	48126
2	Di_infiri	16853
3	beeperbeeper5	7305
3	Strangemonkey71	7305
5	MilleGrug	7054
6	Lord_Jord	4238
7	himak1	3972
8	PlasticOtari	3685
9	Lez_	3437
10	shineh10	3105
11	500am	3057
12	Shogunite	2912
13	Winklepicker279	2911
14	ImpavidArcher	2908
15	FreakGenius	2782
16	Manaateee	2637
17	Xclax101	2510
18	Truckoss	2435
19	Groundler	2283
20	xxPipperDipperxx	2149
21	Skylord_Luke	2122
22	AdmiralSmoke	1953
23	Kouridragon	1918
24	_Karmaa	1725
25	m_be9	1708
26	Reamdin	1677
27	Whiterooster001	1651
28	Rumpletaezer	1624
29	Optiprimus	1560
30	HellsSponge	1554
31	Tyrannosplart	1527
32	Mahoose	1498
33	teslawolf38	1469
34	mwrty	1369
35	AJplaysMC_	1365
36	Huwulling	1349
37	NinjaKnifeKill	1346
38	lordpipe	1279
39	rarrq	1209
40	CoffeeNoir	1131
41	Frozil20	1088
42	xzvu	1042
43	SaucyDark	1017
44	Smashic	996
44	Sral7	996
46	MineMaster0012	961
47	nocturne78	960
48	Froste131	950
49	ConnorDanky_	947
50	Comma__	898
51	Snowflowe	889
52	Hermanni__	882
53	EngagedGrub41	874
54	Marbz_	869
54	Fuad_R	869
56	RebelAndroid	853
57	ABUSNA1996	836
58	Badenbeele	800
59	Merv__	780
60	xolstoi	779
61	TheWildMateo	776
62	cedric72	743
63	SammiWolfGirl	731
64	Barlycorn	675
65	DarlaMeow	670
66	eitanzaki	643
67	thewindmillman	629
68	DebbieBrunswick	623
69	pintsizedrogue	610
70	Wooptey	606
71	Skippeh	595
72	AlexxO_o	588
73	KarlKaek	579
74	Cortexia	562
75	noam464	558
76	YungMaki	545
77	trexgb	539
78	SSytex_X	531
79	The_slideV3	530
80	StinkyDiplomat	515
81	kekhon	498
82	ReSynced	493
83	Blackberry1310	482
84	thescout7	479
85	Ezekson	469
86	Inbefour	456
87	Enderxz3	447
88	Razzgriz	416
89	Nicserso	408
