rank	username	minecraft:dropped/minecraft:sculk_shrieker
1	thewindmillman	217
2	k_ce	45
3	Archsam	32
4	Sorry_Arey	28
5	pintsizedrogue	21
6	hanaryheatwave	15
7	DinoDoctor_	12
8	EdGalbraith	10
8	Kowcio_	10
10	Apollo_993	9
11	Segotep999	6
12	YungMaki	4
13	RebytreGT	3
13	Wowful	3
13	pretty_pink_reno	3
16	ECstardust	2
16	Mahoose	2
16	Lez_	2
16	MrKrabOnCoke	2
16	TheSecondLord	2
16	Jackattack53	2
16	Hyp3rion_	2
16	ScootOfBoot	2
16	luseis	2
16	Manaateee	2
16	TheBananaKat	2
16	Nicserso	2
16	Yamdalorian	2
29	Mr_Byzantine	1
29	shineh10	1
29	myaccountwasgone	1
29	beeperbeeper5	1
29	Kakolbus	1
29	AlexxO_o	1
29	Jimb0nat0r	1
