rank	username	minecraft:dropped/minecraft:sculk_shrieker
1	thewindmillman	217
2	k_ce	45
3	Archsam	32
4	Sorry_Arey07	28
5	Kowcio_	23
6	pintsizedrogue	21
7	hanaryheatwave	15
8	DinoDoctor_	12
9	EdGalbraith	10
10	Apollo_993	9
11	Segotep999	6
12	doublemaki	4
13	Rebytre	3
13	Wowful	3
13	cutelilreno	3
16	ECstardust	2
16	Mahoose	2
16	Lez_	2
16	MrKrabOnCoke	2
16	TheSecondLord	2
16	Jackattack53	2
16	Hyp3rion_	2
16	ScootOfBoot	2
16	luseis	2
16	Manaateee	2
16	Soplight	2
16	TheBananaKat	2
16	Nicserso	2
16	Yamdalorian	2
30	Mr_Byzantine	1
30	shineh10	1
30	MyMawgDonaldsGon	1
30	beeperbeeper5	1
30	rarrq	1
30	Kakolbus	1
30	AlexxO_o	1
30	CacheOut	1
30	Jimb0nat0r	1
