rank	username	minecraft:dropped/minecraft:wither_skeleton_skull
1	Frozil20	13929
2	EcksD	10521
3	Spacewardharpy7	7084
4	thewindmillman	3157
5	noam464	1884
6	eitanzaki	854
7	Blaiku	741
8	NomadicRobin_	257
9	Di_infiri	152
10	PigDab	54
11	ATLDON	47
12	TheSecondLord	41
13	Inbefour	34
14	Kowcio_	16
15	Corbsman	15
15	Werbe	15
15	sadvavilloso	15
15	_i_ERROR_i_	15
19	beeperbeeper5	13
19	F_Uhre	13
21	Lez_	12
21	Tyrannosplart	12
21	MilleGrug	12
24	LeonelSalamanca	11
25	Hyp3rion_	10
25	YungMaki	10
27	Mobstr	8
28	joethahobo	6
28	thescout7	6
28	AdmiralSmoke	6
31	vandmanden	5
32	Alteriity	4
32	ImDisconnected_	4
32	Chromary	4
32	YungWali	4
32	HellsSponge	4
37	Badenbeele	3
37	Mahoose	3
37	fr0stss	3
37	_Nuf	3
37	KGTV	3
37	yheece	3
37	stavgod	3
37	SammiWolfGirl	3
37	Njensen7	3
37	Nicserso	3
47	Groovy_MoonBird	2
47	Huwulling	2
47	ProfessorBee	2
47	Guillemet	2
47	Rasmanden	2
47	Leyna3	2
47	Fuad_R	2
47	Racengan	2
47	lordpipe	2
47	_Mythic____	2
47	SWSN	2
47	Ezekson	2
47	TechnoNinja64	2
60	Bandito_Roamer	1
60	Ninzyyy	1
60	dudcreeper	1
60	SmashingPump	1
60	Merv__	1
60	ECstardust	1
60	diamondgolem35	1
60	Creativebuilder2	1
60	Killercatty78	1
60	youhjjhhhjj	1
60	SyntheticSurgeon	1
60	gaziter10	1
60	rarrq	1
60	Blackberry1310	1
60	kekhon	1
60	Inchef	1
60	2Stout	1
60	shadowthemonkey	1
60	legal_tax_evader	1
60	Jackattack53	1
60	hanaryheatwave	1
60	Krowuss	1
60	Onennon	1
60	AlexxO_o	1
60	Syropatathe	1
60	EfficientC52	1
60	Vindogster	1
60	Groundler	1
60	Burge_r	1
60	AssFullaCum	1
60	Kyrum2169	1
60	Segotep999	1
60	xzvu	1
60	Vellu21	1
60	VentiHilton	1
60	Jimb0nat0r	1
60	PlasticOtari	1
