rank	username	minecraft:dropped/minecraft:tropical_fish
1	thewindmillman	30111
2	noam464	6535
3	Hyp3rion_	1340
4	Racengan	438
5	pintsizedrogue	304
6	Lez_	275
7	WyngGoy	255
8	beeperbeeper5	160
9	Kyrum2169	144
10	ConnorDanky_	142
11	rarrq	137
12	lorpus	128
13	eitanzaki	95
14	Spacewardharpy7	92
15	joethahobo	91
16	luseis	84
17	Blackberry1310	82
18	skroobiez	80
19	Zythose	75
20	LordSpeed37	74
21	Shortest_	68
22	Marbz_	66
23	Ezekson	59
24	Manaateee	57
25	Bumpy419	50
26	Fuad_R	49
27	12Magner05	48
28	EMC_	45
29	AlexxO_o	43
29	ayamefag	43
31	Jackattack53	40
32	kekhon	39
32	Kowcio_	39
34	Krowuss	37
35	PazinGaming	36
35	Alteriity	36
37	ImpavidArcher	35
37	StinkyDiplomat	35
39	DirtyBoar	32
40	Mahoose	30
40	__tomato	30
42	Spaghettatron	28
43	cutelilreno	27
44	Groovy_MoonBird	26
44	Megarboh	26
44	LeEricc	26
44	calamariclam_I	26
48	craaaash	24
49	ECstardust	22
49	Yamdalorian	22
51	Enderxz3	20
52	_witch_craft_	19
53	Human_Resource	18
54	k_ce	17
54	Ryker	17
54	ApophisNova	17
54	MyNamaSheff	17
58	Mr_Byzantine	16
58	Frozil20	16
58	b2c3393a-1b78-4a33-9677-c6cb41f2c6ee	16
58	MovingFish7	16
62	diamondgolem35	15
63	lordpipe	14
63	Skippeh	14
65	hm947	13
65	RebelAndroid	13
65	T045RTY	13
65	Xalithia	13
65	emreknugrlu	13
70	knarian	12
70	Mewar	12
72	lcn	11
72	Di_infiri	11
72	NomadicRobin_	11
72	DarlaMeow	11
72	Jimb0nat0r	11
77	MyMawgDonaldsGon	10
77	SteveCraftBlocks	10
77	Snowflowe	10
77	Soplight	10
81	QuiCreans	9
81	SammiWolfGirl	9
81	MilleGrug	9
84	Myszoaz	8
84	TheSecondLord	8
84	gcaisawesome	8
84	Rebytre	8
84	masskedman	8
84	EveryonesUncle	8
84	IlkeCookes_	8
84	SvenskaHugo	8
84	NATE_the_HALO	8
84	Steelynan	8
94	AuroraValkyrie	7
94	77Holly7	7
94	titanlax	7
94	500am	7
94	Fullut	7
94	thebaddruid	7
94	IdeallyGrey	7
94	Segotep999	7
94	EngagedGrub41	7
94	EcksD	7
104	H0UNDFRMH3LL	6
104	PhantomsGhost_	6
104	TrNrGhost	6
104	Huwulling	6
104	MoonixMonody	6
104	lpinfinity	6
104	Cellcorgi649	6
104	shadowthemonkey	6
104	CollinMH06	6
104	Rasmanden	6
104	Dakar_	6
104	TheEnderMan548	6
104	Nicserso	6
104	PlasticOtari	6
118	Deu_Stew	5
118	_Nuf	5
118	Gzrdy	5
118	ItsAki_	5
118	The11thDoctor	5
118	AuroraSkies	5
118	Hahaa_0	5
118	Pumpkin_P_Patch	5
118	_i_ERROR_i_	5
118	robonya_	5
128	MamaMarinara	4
128	q_wq	4
128	Miroryk	4
128	bloodbiter	4
128	Studio4x32	4
128	4774	4
128	Covalents	4
128	burbankbuilder28	4
128	Silvo614	4
128	fxiryglitch	4
128	1442	4
128	DanTheBuilderino	4
128	Blu3beast	4
128	doublemaki	4
128	PlzNoBM	4
128	Eczbek	4
128	TechnoNinja64	4
128	TheWickedBird	4
146	Jovaphobic	3
146	Elprone266	3
146	Jalvajar	3
146	RoskobiOne	3
146	DinoDoctor_	3
146	MSK__	3
146	MrKrabOnCoke	3
146	e_hernandez57	3
146	Rani_R	3
146	m_be9	3
146	Nicky_H225	3
146	oscminus	3
146	F_Uhre	3
146	Mattesco	3
146	HyperCave	3
146	KeruNatsema	3
146	Wowful	3
146	the_russell1611	3
146	NameGenerat0r	3
146	Travka100	3
146	_flud	3
146	Blaiku	3
146	Zetsey	3
146	ediballbearings	3
146	_TCARREIRA_	3
146	PortlyPete69	3
172	BadenOnGod	2
172	Creativebuilder2	2
172	ebidy	2
172	Hyugo	2
172	Archsam	2
172	Gregward_Smith	2
172	SquadMonster	2
172	Sleepy_Time_	2
172	CaracolCxnt	2
172	CliffEmAll	2
172	Sleepy_Evelyn	2
172	MattieHD	2
172	excelsionprime	2
172	thescout7	2
172	Inchef	2
172	Patwannabegamer	2
172	Roenfire	2
172	2Stout	2
172	xxPipperDipperxx	2
172	TheDankPlatypus	2
172	DisgruntledKoala	2
172	AJplaysMC_	2
172	Chromary	2
172	hanaryheatwave	2
172	WET_WET_WET	2
172	SvenskaSara	2
172	Onennon	2
172	jewbacaman	2
172	TheShyPig	2
172	groofles	2
172	Akoot_	2
172	ChampBoii	2
172	Sorry_Arey07	2
172	HELLO_I_AM_BEAR	2
172	0xharshv	2
172	Groundler	2
172	3_Solar_3	2
172	Toriankel	2
172	Warlord324	2
172	Yahir091	2
172	CacheOut	2
172	Kura2218	2
172	bobbydoodledot	2
172	Eraxa	2
172	Khoaducquan1234	2
172	Kekoo	2
172	SpacesickPrism	2
172	KeterComet	2
172	jcool7	2
172	ChazzaHodge13	2
172	hermmm_	2
172	Quotary	2
172	DairyNickel756	2
172	AltnumberF4	2
172	Powowowow	2
172	Paguz01	2
172	Biites	2
172	Faart	2
230	ItsGrayWolf	1
230	j4ck811	1
230	Bandito_Roamer	1
230	_Huge_Male_	1
230	Apollo_993	1
230	EdaterPure	1
230	Jorrdi	1
230	Paint	1
230	MobiMachine	1
230	teslawolf38	1
230	KingFaenor	1
230	Tommhh	1
230	Caribouse	1
230	Dalcose	1
230	Gemstuff	1
230	gren_ben	1
230	SaucyDark	1
230	TooManyDuck	1
230	remgrandt	1
230	Paleshield	1
230	_Razaria	1
230	KiRemon77	1
230	Wooptey	1
230	VDVKmdr_2k04	1
230	lorywithay	1
230	ZaneABrain	1
