rank	username	minecraft:dropped/minecraft:cyan_terracotta
1	thewindmillman	93556
2	EcksD	7815
3	Jackattack53	5333
4	Hyp3rion_	3099
5	Inbefour	933
6	Blaiku	781
7	kekhon	615
8	PhantomsGhost_	512
9	_Karmaa	450
10	cog	368
11	Fullut	320
12	Akoot_	284
13	eitanzaki	219
14	noam464	213
15	Kowcio_	195
16	AuroraValkyrie	192
17	lillips	128
18	ediballbearings	92
19	epiksk8erduck	86
20	TheSecondLord	71
21	LeDuctTape	68
22	Shogunite	64
23	__tomato	57
24	Blu3beast	52
25	Blackberry1310	45
26	ZoomieZoomie	42
27	rarrq	33
28	bladeefan2009	25
29	Frozil20	23
30	Mahoose	21
31	Skylord_Luke	8
32	DarlaMeow	7
33	EveryonesUncle	6
34	joethahobo	5
34	thescout7	5
36	Hiryu27	4
37	Ssor69	3
37	silverpopcorn	3
39	Lez_	2
39	SteveCraftBlocks	2
39	Di_infiri	2
39	ooga47	2
39	Kyrum2169	2
39	Soplight	2
39	PlasticOtari	2
39	aao001	2
47	hm947	1
47	Crowman1	1
47	lorpus	1
47	SellyZ	1
47	Zythose	1
47	Rebytre	1
47	PigDab	1
47	groofles	1
47	_Bguette_	1
47	stavgod	1
47	SvenskaHugo	1
47	ConnorDanky_	1
47	Quotary	1
47	TechnoNinja64	1
47	Zoeyfortnite	1
