rank	username	minecraft:dropped/minecraft:raw_copper
1	thewindmillman	1511
2	pixelviolin	1396
3	Kowcio_	157
4	GlitchyPlate810	151
5	Enderslayerxz3	129
6	AltnumberF4	106
7	ImpavidArcher	105
8	_Razar	87
9	MyNameIsDakar	77
10	pintsizedrogue	70
11	Vegvisir	64
12	CollinMH06	56
12	Jonte0599	56
14	Yahir091	53
15	Legendosh	42
16	Jackattack53	40
17	Smoke____	36
18	gcaisawesome	33
19	SteveCraftBlocks	32
20	Hail_the_wombat	27
21	MAns_44	26
22	500am	21
23	hm947	12
23	OtariCharlie	12
25	BronkerBrum	9
26	Lord_Zacler	7
27	DolphinLaugh	6
28	neurotic_a	5
29	EveryonesUncle	4
29	Racengan	4
31	_NieToksikpl_	3
32	Mahoose	2
33	TheSecondLord	1
33	Spacewardharpy7	1
