rank	username	minecraft:dropped/minecraft:orange_terracotta
1	thewindmillman	108325
2	Freak_Genius	2808
3	claremackie	1344
4	mwrty	1009
5	Inbefour	922
6	Xalithia	837
7	noam464	779
8	oxfordschool	677
9	Hyp3rion_	672
10	TheSecondLord	579
11	Blaiku	537
12	Spacewardharpy7	533
13	YungMaki	472
14	EcksD	332
15	MilleGrug	328
16	Hermanni__	291
17	Rumpletaezer	262
18	Lord_Jord	257
19	mariominejedi	254
20	kekhon	231
21	Frozil12	212
22	KingMatthew506	205
23	Merv__	196
24	eitanzaki	173
25	MovingFish7	156
26	PhantomsGhost_	153
27	cog	146
28	pintsizedrogue	133
29	PortlyPete69	131
30	Inchef	129
31	Steelynan	121
32	ProfessorBee	107
32	MeetTheWollo	107
34	EcksDofficial	103
35	the_russell1611	96
36	EveryonesUncle	94
37	Groovy_MoonBird	82
38	Syropatathe	75
39	SvenskaHugo	72
40	Smoke____	70
41	Mahoose	66
41	Parcc	66
43	Snowflowe	65
43	NameGenerat0r	65
45	Jackattack53	64
45	thgrocks	64
45	Shogunite	64
45	Spenduh	64
49	gcaisawesome	60
50	Weepingbiel	58
51	Skylord_Luke	57
51	yulgur1	57
53	Blu3beast	53
54	SteveCraftBlocks	51
54	2Stout	51
56	EMC_	43
56	gabriels543	43
56	chipklip	43
59	Deerfoot	41
60	QueenShuvi	40
61	DarlaMeow	37
62	Swexti	34
62	Karbl	34
64	Nyxiom_	29
64	MightyWertu	29
66	Di_infiri	27
67	Kakolbus	26
68	Jovaphobic	24
69	selectrix	23
70	AltnumberF4	21
71	Enderslayerxz3	19
72	Bumpy419	17
73	bmac2718	15
74	Werbe	14
75	ApophisNova	12
75	El_Jalapeno	12
75	MyNamaSheff	12
78	beeperbeeper5	11
78	PigDab	11
80	Onennon	10
80	MyNameIsDakar	10
82	Awyrlas	9
82	_naturell	9
82	_Karmaa	9
85	Soul_Atreus	8
85	jcool7	8
85	Skippeh	8
88	T045RTY	7
88	CoffeeNoir	7
88	rarrq	7
88	SDMNAEK	7
88	Zaridey	7
88	RodSerlingCringe	7
88	djancak	7
88	Miko_Fullbuster	7
96	Wooptey	6
96	ratglock	6
96	12Magner05	6
96	fade_emerge78823	6
96	SuperPooch06	6
96	lordpipe	6
96	IdeallyGrey	6
103	joethahobo	5
103	Blackberry1310	5
103	SellyZ	5
103	TheSeismicDuck	5
103	Soplight	5
108	500am	4
108	Fullut	4
108	egglapras	4
108	Mewar	4
108	iHuBlack	4
108	ADEXTV	4
108	Akoot_	4
108	fkGrim	4
108	Darkgon	4
108	Kowcio_	4
108	_TCARREIRA_	4
108	HesDemonPants	4
120	Menthas	3
120	_Virify_	3
120	youhjjhhhjj	3
120	CollinMH06	3
120	Chromary	3
120	TheShyPig	3
120	MustaLoordi	3
120	fluddd	3
120	Segotep999	3
120	lcvezra	3
120	TheOuterCore	3
120	vandmanden	3
120	h2p_emrld	3
133	abramgray	2
133	Drlzyy	2
133	Dogbound	2
133	Chroikey	2
133	Valoth	2
133	burbankbuilder28	2
133	sxc_	2
133	Deodorante	2
133	Xclax101	2
133	Dusk_95	2
133	Winston_Ingram	2
133	JasmineGK	2
133	Sral7	2
146	Thaumatarge	1
146	ItsColin11	1
146	teslawolf38	1
146	Iagoku	1
146	ExtraDumb	1
146	Sabby65	1
146	Incinere	1
146	Natty	1
146	MSK__	1
146	nocturne78	1
146	uhm__okay	1
146	Ozixar	1
146	titanlax	1
146	jacxhadow	1
146	m_be9	1
146	MinttyFressh	1
146	_Dean_123	1
146	Smashic	1
146	Tmb1	1
146	set67	1
146	Scathra	1
146	ROY4LE	1
146	SLASHZEERA	1
146	theonlymagikarp	1
146	ayqq	1
146	benediktine1	1
146	ImDisconnected_	1
146	JitteryJared2	1
146	Rebytre	1
146	lOlmantschi	1
146	Kouridragon	1
146	seramalen	1
146	blackraith272	1
146	wfk7	1
146	epiksk8erduck	1
146	SullivanNephew	1
146	Kim_Jong_eel	1
146	wezzzi	1
146	fw3xywashere	1
146	ogoa	1
146	audiocracked	1
146	gustarbite	1
146	DTwenty	1
146	The_slideV3	1
146	mafiKiwi	1
146	Racengan	1
146	plato2066	1
146	pixelviolin	1
146	__tomato	1
146	stahouo	1
146	Quotary	1
146	SpaceTurtleOX	1
146	smogfrog	1
146	Legendosh	1
146	Calbo_	1
