rank	username	minecraft:dropped/minecraft:tnt
1	thewindmillman	214100
2	Hyp3rion_	92649
3	EcksD	87516
4	eitanzaki	3488
5	Jackattack53	3015
6	Spacewardharpy7	2655
7	zToasty69z	2485
8	lordpipe	2063
9	noam464	1929
10	Werbe	1889
11	Di_infiri	1761
12	Blaiku	1262
13	jnp_gaming	1077
14	MilleGrug	907
15	Justins_Juliet	864
16	set67	740
17	Mahoose	624
18	mwrty	612
19	jcool7	587
20	bigstankyy	576
21	YungMaki	496
22	kekhon	483
23	thescout7	476
24	joethahobo	472
25	Lez_	421
26	PigDab	408
27	lillips	393
28	_Virify_	386
29	TheSecondLord	369
30	ApophisNova	360
30	MyNamaSheff	360
32	Fullut	349
33	Enderxz3	339
34	Lord_Jord	337
35	Smashic	304
35	monky_irl	304
37	EveryonesUncle	296
38	rarrq	268
39	WET_WET_WET	262
40	Huwulling	252
41	beeperbeeper5	248
42	T045RTY	222
43	FreakGenius	206
44	SkateboardR6	196
45	Smoke____	195
46	xzvu	193
47	emrekn	183
48	_Boipl_	156
49	Akoot_	154
50	Inchef	151
51	SuperPooch06	145
52	Eraxa	142
52	bladeefan2009	142
54	TechnoNinja64	136
55	Blu3beast	135
56	HellsSponge	120
57	FreddyFart	105
57	LexMakesHistory	105
59	DarlaMeow	104
60	RealGroot	100
61	claivin	79
62	MakeHistory157	77
62	Kura2218	77
64	gusstationwerker	72
65	Alteriity	66
66	FazeObama69	64
66	Zythose	64
66	HesDemonPants	64
69	Ibrahim00	63
70	xxPipperDipperxx	61
71	BlancoFlaco	60
72	gabriels543	56
72	fffMike	56
74	SmashingPump	55
75	Sral7	52
76	audiocracked	49
76	_TCARREIRA_	49
78	ccwildfire1	48
79	Frozil20	47
80	NatalieTW	46
80	Martin_198	46
80	vandmanden	46
83	seramalen	42
83	djancak	42
85	pappaberg	41
86	Kubeusz2010	40
87	CollinMH06	37
88	Kowcio_	36
89	TheEnderMan548	35
89	Ezekson	35
91	himak1	32
91	eviltunix	32
91	gustarlep	32
91	Steelynan	32
95	Blackberry1310	31
96	12Magner05	30
97	natajimi	29
97	Nicserso	29
99	ImpavidArcher	28
99	HAIRYCLOUD626	28
101	pintsizedrogue	27
101	victorLIE	27
101	MrQuanQuan	27
104	0Vyp_	25
105	F_Uhre	22
105	PortlyPete69	22
107	KermitTheKripple	19
107	Xclax101	19
107	Racengan	19
107	obzii	19
111	gren_ben	18
111	LeEricc	18
111	GlitchyPlate810	18
111	ConnorDanky_	18
115	6king6colt6	17
115	k1ngGilgamesh	17
117	KarlKaek	16
118	ChiefThrock	15
119	Mythic1130	14
119	lcvezra	14
119	xolstoi	14
122	AncientShards	13
122	RoofTyler	13
124	jacxhadow	12
124	The_Quack_Dealer	12
124	Strangemonkey71	12
127	m_be9	11
127	mihimihimihi	11
127	SC0RCHEDD	11
130	Mr_Byzantine	10
130	XboxPanda	10
130	Shogunite	10
130	MovingFish7	10
130	Jimb0nat0r	10
135	Bandito_Roamer	9
135	TooManyDuck	9
135	uhm__okay	9
135	Ardennes	9
135	Bumpy419	9
135	MousePlays	9
135	Dogcorn69420	9
142	Groovy_MoonBird	8
142	peachfuzz1267	8
142	DennyKai	8
145	youhjjhhhjj	7
145	AlexxO_o	7
145	Rasmanden	7
145	Legendosh	7
149	Faart	6
150	SyK7	5
150	Flores991	5
150	Chromary	5
150	Meatlaugh	5
150	SammiWolfGirl	5
155	ANGIELUVSDWEAM	4
155	SteveCraftBlocks	4
155	Kazekage	4
155	xDraggin	4
155	monomara	4
155	luseis	4
155	_Karmaa	4
155	pixelviolin	4
163	funeralhome	3
163	Reamdin	3
163	500am	3
163	lorpus	3
163	adeptius	3
163	Rebytre	3
163	selectrix	3
163	TheTrueClipse	3
163	Russiancat1	3
163	Tyrannosplart	3
163	BumbleBeever	3
163	ayamefag	3
163	Catharsist	3
176	PhantomsGhost_	2
176	FirsTimeGamingTV	2
176	Secret_Canary	2
176	Xalithia	2
176	r123moore	2
176	benediktine1	2
176	type11	2
176	fr_ser	2
176	NomadicRobin_	2
176	Fuad_R	2
176	Luigipunch989	2
176	ProbsNotNova	2
188	H0UNDFRMH3LL	1
188	EMC_	1
188	I_Am_Mushkin	1
188	gaziter10	1
188	NieToksikpl	1
188	_Dean_123	1
188	orxngejuice	1
188	Covalents	1
188	HoltGrim	1
188	TableTim	1
188	SSneakyB	1
188	BlueZabu	1
188	fxiryglitch	1
188	SaintJosie	1
188	Elastiq	1
188	fw3xywashere	1
188	Wowful	1
188	MyNameIsDakar	1
188	MustaLoordi	1
188	MightyWertu	1
188	GravitySaint	1
188	malgosia14	1
188	Groundler	1
188	Warlord324	1
188	__tomato	1
188	CalebDHawk	1
188	TheOuterCore	1
188	Skippeh	1
188	Iamthejo	1
188	cichy096	1
188	AltnumberF4	1
188	MirielThePastor	1
188	_Dri_	1
188	00000000-0000-0000-0009-01faf4342590	1
