rank	username	minecraft:dropped/minecraft:rail
1	PigDab	4235
2	noam464	4023
3	EcksD	2034
4	eitanzaki	1784
5	thewindmillman	1603
6	Blaiku	844
7	EMC_	774
8	Hyp3rion_	745
9	TechnoNinja64	722
10	Di_infiri	718
11	Akoot_	657
12	kekhon	649
13	HellsSponge	547
14	censorsheep	546
15	Hisiste	442
16	Inbefour	440
17	diamondgolem35	426
18	Racengan	424
19	Skippeh	389
20	Drlzyy	354
21	pintsizedrogue	327
22	Chromary	319
23	anbbang	311
24	_Virify_	301
24	rarrq	301
26	Mahoose	299
27	Werbe	294
27	AssEatrAndLicker	294
27	laron58	294
30	Smoke____	288
31	Nycteus_	252
32	Nicserso	251
33	beeperbeeper5	243
34	NomadicRobin_	240
35	Groundler	227
36	M_Patata	220
37	6king6colt6	219
38	Quaintster	211
39	Comma__	201
40	ProbsNotNova	197
41	Frxnkz	195
42	Historical_Sand	187
42	Freak_Genius	187
42	WyngGoy	187
42	PabloGonza02	187
46	Blu3beast	183
47	SammiWolfGirl	180
48	Frozil12	179
49	YungMaki	175
50	joethahobo	170
51	Jackattack53	151
52	jcool7	138
53	thescout7	136
54	xxPipperDipperxx	134
54	lordpipe	134
56	OtariCharlie	132
57	ReyTheLegend	130
58	gcaisawesome	128
58	stavgod	128
60	FirsTimeGamingTV	126
60	Shin69	126
62	Spacewardharpy7	124
63	obzii	123
64	MakeHistory157	118
65	DemTechAlpha	108
66	pZygh0st	106
67	Xclax101	104
68	Leyna3	100
69	Merv__	99
70	KingMatthew506	92
71	soundad	90
72	lillips	87
73	NarwhalTaco	85
74	Kowcio_	83
75	PhantomsGhost_	82
75	Dedalus36	82
75	vandmanden	82
78	mwrty	80
78	IAmTheWalrus910	80
80	ShedJr_	78
81	chipklip	77
82	MilleGrug	76
83	Eraxa	75
84	fred870d	73
84	sammidk	73
86	Rasmanden	66
87	eviltunix	65
87	lizardfightclub	65
87	Shogunite	65
90	ColeSnyder	64
90	youhjjhhhjj	64
90	DirtyDalle	64
90	firesgal3116	64
90	FallenCorps	64
95	jacxhadow	63
96	Unitas_isa	56
96	FishisTTV	56
98	Lord_Jord	55
98	masskedman	55
98	Moetis	55
98	oxfordschool	55
