rank	username	minecraft:dropped/minecraft:painting
1	500am	1717
2	Werbe	472
3	NameGenerat0r	444
4	kekhon	62
5	Xclax101	28
6	_Dean_123	14
7	KarlKaek	11
8	Mahoose	10
8	Akoot_	10
8	KingMatthew506	10
11	EcksDofficial	8
12	Soap_Bender	7
12	SSytex_X	7
14	joethahobo	5
14	fr0stss	5
14	djancak	5
14	_Dri_	5
18	ROY4LE	4
18	RodSerlingCringe	4
18	DarlaMeow	4
21	Merv__	3
21	RebelAndroid	3
21	NotKaden_	3
21	EveryonesUncle	3
21	Frozil12	3
21	Blaiku	3
21	YungMaki	3
21	PlasticOtari	3
29	seanitoo	2
29	PhantomsGhost_	2
29	TildaAndrea	2
29	SaucyDark	2
29	Ishy_	2
29	Auseawesome	2
29	fullyrawfuzz	2
29	SteveCraftBlocks	2
29	0nly_sn1per	2
29	_naturell	2
29	Blu3beast	2
29	fluddd	2
29	GravitySaint	2
29	Spacewardharpy7	2
29	lordpipe	2
29	Soplight	2
29	SammiWolfGirl	2
29	Njensen7	2
47	Elprone266	1
47	JEWISHBadenBeele	1
47	I_Am_Mushkin	1
47	hm947	1
47	Sabby65	1
47	tsohomie	1
47	Swexti	1
47	beeperbeeper5	1
47	Whiterooster001	1
47	rarrq	1
47	LoboTheLobster	1
47	Upstro10	1
47	UnderKat	1
47	2Stout	1
47	Kubelz	1
47	CollinMH06	1
47	Chromary	1
47	Voxin2K	1
47	CruncyIsTaken	1
47	chipklip	1
47	MyNameIsDakar	1
47	HellsSponge	1
47	censorsheep	1
47	RedcatVII	1
47	CheifJumbo	1
47	Ze_BaronKrigler	1
47	Nagasaki_Riku	1
47	KG1999	1
47	SvenskaHugo	1
47	Kowcio_	1
47	fffMike	1
47	jcool7	1
47	oxfordschool	1
47	EcksD	1
47	Nicserso	1
47	Enderslayerxz3	1
47	TechnoNinja64	1
