rank	username	minecraft:dropped/minecraft:light_blue_dye
1	thewindmillman	598033
2	noam464	35292
3	Hyp3rion_	17857
4	DarlaMeow	639
5	TechnoNinja64	192
6	eitanzaki	168
7	diamondgolem35	128
8	set67	127
9	_Dean_123	118
9	Ezekson	118
11	lillips	112
12	ConnorDanky_	82
13	ssleepless	81
14	Blaiku	76
15	Groovy_MoonBird	75
16	Chromary	67
17	BlancoFlaco	66
18	Nicserso	64
18	00000000-0000-0000-0009-01ff0c3e5e4f	64
20	NameGenerat0r	63
21	Kokeech	43
22	Paintz	41
22	QueenShuvi	41
24	Lez_	36
24	33sudo	36
26	kekhon	34
27	dabloons	32
27	Comma__	32
29	HellsSponge	26
29	EcksD	26
31	Xclax101	25
32	beeperbeeper5	24
33	Mahoose	23
34	lordpipe	22
35	SmashingPump	21
35	KingMatthew506	21
37	Wooptey	19
37	NomadicRobin_	19
37	Eraxa	19
40	BPTY4618	18
41	pintsizedrogue	14
42	stellarjay	12
43	EMC_	11
43	FreakGenius	11
45	WET_WET_WET	9
46	_Virify_	8
46	Blu3beast	8
48	fluddd	7
48	Steelynan	7
50	Onennon	6
50	sadvavilloso	6
50	Vellu21	6
53	Incinere	5
53	Enderxz3	5
55	12Magner05	4
55	corvidpartyfor6	4
55	El_Jalapeno	4
55	Kowcio_	4
59	ImpavidArcher	3
59	SaucyDark	3
59	Leyna3	3
59	Tyrannosplart	3
59	Jimb0nat0r	3
59	skrongus	3
65	CoffeeNoir	2
65	Tiberonus	2
65	TheDiamondCG	2
65	PeteO1995	2
65	Jackattack53	2
65	Rebytre	2
65	SaintJosie	2
65	TheTrueClipse	2
65	TheSeismicDuck	2
65	StinkyDiplomat	2
65	_i_ERROR_i_	2
65	jnp_gaming	2
65	Sral7	2
78	Bandito_Roamer	1
78	Hpdinosaur	1
78	Prismyst	1
78	SquadMonster	1
78	rarrq	1
78	CliffEmAll	1
78	jushykins	1
78	Fullut	1
78	Motsaro	1
78	Xalithia	1
78	Kakolbus	1
78	Doom_melon	1
78	ApophisNova	1
78	luseis	1
78	_Karmaa	1
78	MovingFish7	1
78	stavgod	1
78	BlankityMcBlank	1
78	SSytex_X	1
78	Nekomin0	1
78	Invintic	1
78	laron58	1
78	Quotary	1
78	RadarHz	1
78	MyNamaSheff	1
