rank	username	minecraft:dropped/minecraft:oxeye_daisy
1	500am	2824
2	Hyp3rion_	1701
3	eitanzaki	1059
4	noam464	597
5	hanaryheatwave	460
6	FreakGenius	289
7	Di_infiri	193
8	ConnorDanky_	181
9	Blaiku	174
10	HellsSponge	169
11	Werbe	166
12	pintsizedrogue	124
13	Lez_	119
14	beeperbeeper5	106
15	Skylord_Luke	102
16	thescout7	86
17	lordpipe	84
18	lillips	70
19	thewindmillman	65
20	BlancoFlaco	62
20	Nicserso	62
20	vandmanden	62
23	Inbefour	59
24	Mattesco	58
25	kekhon	56
26	Kakolbus	51
27	YungMaki	47
28	joethahobo	45
29	King_Pancake1	44
30	CoffeeNoir	41
31	Lutres_	40
32	El_Jalapeno	38
32	Sral7	38
34	MousePlays	35
35	NatalieTW	34
36	ECstardust	33
37	TheSecondLord	32
37	Sorry_Arey	32
39	Racengan	31
40	Quotary	30
41	EMC_	29
42	babyjimmyneutron	28
43	SaintJosie	25
44	NomadicRobin_	24
45	emrekn	23
46	Blackberry1310	22
47	Spacewardharpy7	21
48	CalebDHawk	20
49	PeteO1995	19
49	groofles	19
51	Groovy_MoonBird	18
51	fkGrim	18
53	SyntheticSurgeon	17
53	set67	17
53	DanTheBuilderino	17
53	SSytex_X	17
57	AlexxO_o	16
57	Blu3beast	16
59	Lord_Jord	15
60	Arceus1975	14
60	Meeerkat	14
60	jnp_gaming	14
63	Frozil20	13
63	fluddd	13
65	NieToksikpl	12
65	luseis	12
67	T045RTY	11
67	Mahoose	11
67	Historical_Sand	11
67	Chromary	11
67	HolyVenom	11
67	Lord_Zacler	11
67	EveryonesUncle	11
67	Kowcio_	11
67	VentiHilton	11
67	Ezekson	11
77	TuesdayEpisode	10
77	TechnoNinja64	10
79	SugarMyNuggets	9
79	Jovaphobic	9
79	BoraMC	9
79	MoistMicrowave	9
79	Fullut	9
79	excelsionprime	9
79	Crasswolf	9
79	Onennon	9
79	__tomato	9
88	itburb	8
88	0nly_sn1per	8
88	CollinMH06	8
88	Krowuss	8
88	ApophisNova	8
88	seramalen	8
88	Shiirazu	8
88	LeonelSalamanca	8
88	_Karmaa	8
88	KingMatthew506	8
88	MyNamaSheff	8
88	2blox_	8
88	AdmiralSmoke	8
101	seanitoo	7
101	Tyrannosplart	7
101	djancak	7
101	Sheldor097	7
101	cichy096	7
106	Natty	6
106	Ssor69	6
106	12Magner05	6
106	Smashic	6
106	Tjhodskins19	6
106	Touched_Bread	6
106	olliebollie48	6
106	Jackattack53	6
106	SvenskaSara	6
106	Dakar_	6
106	Shogunite	6
106	iSammael	6
106	Cocoamallows	6
106	Eraxa	6
106	Spenduh	6
106	Winston_Ingram	6
106	mountaingirl311	6
106	MirielThePastor	6
124	RebelAndroid	5
124	SidorAlex	5
124	m_be9	5
124	ProfessorBee	5
124	Secret_Canary	5
124	Winklepicker279	5
124	Queen_Jalapeno	5
124	DaviusMaximoose	5
124	Rebytre	5
124	F_Uhre	5
124	PigDab	5
124	Project_MKBRD	5
124	widgewee	5
124	xzvu	5
124	PortlyPete69	5
124	ZeroKraken	5
124	EcksD	5
124	PlasticOtari	5
142	I_Am_Mushkin	4
142	diamondgolem35	4
142	InfernalMound	4
142	NoraTheYandere	4
142	Kondzik2008	4
142	Fast_Turtle	4
142	Cattoh	4
142	Leyna3	4
142	masskedman	4
142	Segotep999	4
142	ediballbearings	4
142	SpacesickPrism	4
142	HesDemonPants	4
155	ProbablyNick	3
155	Cowison	3
155	CloroxBleach385	3
155	q_wq	3
155	SaucyDark	3
155	rarrq	3
155	jushykins	3
155	Rich_Kat	3
155	_lildarki3	3
155	ROY4LE	3
155	hcb238	3
155	ImDisconnected_	3
155	Silvo614	3
155	Hiryu27	3
155	oscminus	3
155	The11thDoctor	3
155	Manaateee	3
155	Bismarck_KMS	3
155	Fuad_R	3
155	claivin	3
155	censorsheep	3
155	Barlycorn	3
155	SUN_DREAM	3
155	SvenskaHugo	3
155	Soplight	3
155	pk1297	3
155	_i_ERROR_i_	3
155	FishisTTV	3
183	Bandito_Roamer	2
183	_Huge_Male_	2
183	PhantomsGhost_	2
183	RoskobiOne	2
183	PazinGaming	2
183	AuroraValkyrie	2
183	TildaAndrea	2
183	Iagoku	2
183	ImpavidArcher	2
183	hm947	2
183	livingdaydreams	2
183	Huwulling	2
183	Swexti	2
183	dopplexd	2
183	Malorn_Aetherius	2
183	ATrojansLegend	2
183	Frxnkz	2
183	shdesolt	2
183	Phlp	2
183	mattybeewrapss	2
183	boog4loo	2
183	Pineapplesugr	2
183	Inchef	2
183	Mewar	2
183	Diavri	2
183	gcaisawesome	2
183	imcombxt	2
183	prizm_	2
183	Doom_melon	2
183	TahkoLive	2
183	TheWildMateo	2
183	MinerDec	2
183	Mr_Sun15	2
183	Luminad3	2
183	Maenara	2
183	GooseWithin	2
183	AuroraSkies	2
183	AlphaWolfPlaysMC	2
183	Blamphe	2
183	sufjanlover	2
183	Nycteus_	2
183	MovingFish7	2
183	NiveauSubmarine	2
183	LordSpeed37	2
183	sadvavilloso	2
183	LeEricc	2
183	stellarjay	2
183	SammiWolfGirl	2
183	how_are_you	2
183	Rainaldus	2
183	anbbang	2
183	Enderxz3	2
183	MrMeisterProper	2
183	h2p_emrld	2
237	xvphmura	1
237	SaltineDream	1
237	RosaDoesMC	1
237	Louiis123	1
237	Rx5	1
237	ofek_bahaloul	1
237	Apollo_993	1
237	soundad	1
237	ItsColin11	1
237	SaphLaseer	1
237	rachcl	1
237	ExtraDumb	1
237	CompAir	1
237	Alteriity	1
237	Simon_Lowell	1
237	YairZaki	1
237	Scags	1
237	ShedJr_	1
237	MOSS000	1
237	ITDV	1
237	301851	1
237	Sleepy_Time_	1
237	Alfred603	1
237	Whiterooster001	1
237	TheFlfthHorseman	1
237	MrMattyPatt	1
237	Upstro10	1
237	Crowman1	1
237	Raspberry_Sodas	1
237	pr33tu	1
237	SteveCraftBlocks	1
237	AngalexikCZ	1
237	4774	1
237	XboxPanda	1
237	fallingemma	1
237	Typkazprahe	1
237	BlueZabu	1
237	BigMoneyH	1
237	legal_tax_evader	1
