rank	username	minecraft:dropped/minecraft:raw_gold
1	thewindmillman	360
2	non089	214
3	GlitchyPlate810	189
4	00000000-0000-0000-0009-01f073f37a91	147
5	Killercatty78	146
6	Wowful	144
7	beeperbeeper5	143
7	Masssonnn	143
9	Frozil20	128
10	MyNameIsDakar	111
11	TheWildMateo	93
12	THEKINGLyric10	85
13	00000000-0000-0000-0009-01ff0c3e5e4f	84
14	mihimihimihi	82
15	alderban107	80
16	gusstationwerker	65
17	Jonte0599	63
18	Hail_the_wombat	62
18	Kowcio_	62
20	Njensen7	61
21	Da_Boss_Rani	60
22	SvenskaAlvar	51
23	sp00ky_ghost977	50
24	kidel03	46
25	Tiktola01	44
26	EMC_	41
27	SyntheticSurgeon	40
28	Fuad_R	39
29	RealGroot	37
30	LeGold	35
30	Spacewardharpy7	35
32	500am	34
32	Racengan	34
34	Moofyman	33
35	SteveCraftBlocks	30
35	luseis	30
37	lordpipe	29
38	Prismyst	27
38	MrKrabOnCoke	27
40	Marbz_	26
40	fffMike	26
42	Jackattack53	25
43	LeEricc	24
44	Quaintster	21
44	SvenskaHugo	21
46	00000000-0000-0000-0009-01f26ea966c4	20
47	Rocco_Lane	19
48	RoofTyler	18
49	shineh10	17
49	Saltymart	17
49	Skylord_Luke	17
49	AlexxO_o	17
53	ccwildfire1	16
53	rarrq	16
53	MirielThePastor	16
56	Winklepicker279	13
56	iElijah	13
56	fw3xywashere	13
59	2bolx_	12
60	pintsizedrogue	11
60	CyrusIsTired	11
60	EveryonesUncle	11
60	FreakGenius	11
60	ChronoSounds	11
60	Smoke____	11
66	hm947	10
66	NoHaHeHa	10
66	TJawesome09	10
69	Flores991	9
69	drunkeeez	9
69	thebaddruid	9
69	shrimp_flips	9
69	Nycteus_	9
74	MuffinManzz	8
74	diamondgolem35	8
74	DolphinLaugh	8
74	pixelviolin	8
74	Iamthejo	8
79	joethahobo	7
80	Rebytre	6
80	weabis	6
82	_Huge_Male_	5
82	Crowman1	5
82	Hyp3rion_	5
82	MAns_44	5
82	ThatMan_Dave	5
87	Gemstuff	4
87	Smashic	4
89	LeDuctTape	3
89	GOOBERGABE04	3
89	groofles	3
89	Eraxa	3
89	Ryn777	3
94	I_Moose	2
94	TheSecondLord	2
94	12Magner05	2
94	zToasty69z	2
94	Yahir091	2
99	Dumkii	1
99	MogusBussy69	1
99	C0by3llis	1
99	Myszoaz	1
99	jessewegottacook	1
99	Blackberry1310	1
99	gcaisawesome	1
99	The_Fulgurator	1
99	binman420	1
99	Vicemaniac	1
99	ItsDeltaMC	1
99	YungMaki	1
99	UCP_TheKingK	1
99	Legendosh	1
99	bladeefan2009	1
