rank	username	minecraft:dropped/minecraft:spruce_stairs
1	TheWildMateo	344
2	Blu3beast	319
3	Bumpy419	314
4	PazinGaming	307
5	Lez_	302
6	kekhon	294
7	rarrq	284
8	EveryonesUncle	276
9	noam464	251
10	weabis	202
11	EMC_	187
12	_Karmaa	183
13	ratglock	182
14	luseis	170
15	Natty	166
16	beeperbeeper5	153
17	Werbe	149
18	Uzbeki_John	137
19	SpacesickPrism	135
20	zToasty69z	130
21	SaucyDark	128
22	_Huge_Male_	127
23	Saucepeh	126
24	Spaghettatron	116
25	Ezekson	112
26	Secret_Canary	108
27	lorpus	104
28	Rebytre	99
29	Frozil20	90
30	JoCoLi	89
31	Akoot_	84
32	TheSecondLord	82
33	eitanzaki	79
34	Fuad_R	78
34	BartekB19	78
36	Blackberry1310	76
36	Kowcio_	76
38	_Cloverbelle_	73
38	Manaateee	73
40	TwinTowerV2	72
41	Swexti	68
41	Jackattack53	68
43	Jimb0nat0r	66
44	Merv__	65
45	F_Uhre	64
46	NATE_the_HALO	63
47	diamondgolem35	62
47	miramyu	62
49	KingMatthew506	60
50	set67	57
51	MattieHD	55
51	Inchef	55
53	ConnorDanky_	53
54	DizzleJay311	52
55	BlueZabu	50
56	RedcatVII	49
57	500am	48
57	El_Jalapeno	48
59	TheOuterCore	47
60	HellsSponge	46
60	Spacewardharpy7	46
62	Hyp3rion_	45
62	Eraxa	45
64	hm947	44
64	Skylord_Luke	44
64	Meatlaugh	44
67	Chromary	43
68	_Dean_123	40
69	fkGrim	38
69	ewpunk	38
71	Mahoose	36
71	Masssonnn	36
71	Mattesco	36
71	nagyvad	36
75	Matyyy15	34
76	DrowsyOracle	32
77	Blaiku	29
78	Di_infiri	28
78	Xclax101	28
78	Racengan	28
78	__tomato	28
82	DinoDoctor_	27
83	lordpipe	26
84	ECstardust	25
84	Caribouse	25
86	imcombxt	24
86	Buuck_	24
88	Huwulling	23
88	milltesco	23
88	DanTheBuilderino	23
91	ImpavidArcher	22
91	hermmm_	22
93	yaboo88	21
93	cutelilreno	21
95	Arceus1975	20
95	SvenskaHugo	20
95	Enderxz3	20
