rank	username	minecraft:dropped/minecraft:blue_orchid
1	lordpipe	1257
2	Hyp3rion_	860
3	StinkyDiplomat	353
4	Lez_	206
5	thewindmillman	192
6	Jackattack53	154
7	Mahoose	153
8	luseis	126
9	HellsSponge	76
10	seramalen	50
11	AspenLightVT	49
12	Krowuss	25
13	SammiWolfGirl	19
14	_Razaria	18
15	Akoot_	17
16	Saucepeh	16
17	beeperbeeper5	15
18	SaucyDark	14
19	pintsizedrogue	13
19	FreakGenius	13
19	Kowcio_	13
22	00000000-0000-0000-0009-01ff0c3e5e4f	12
23	Jovaphobic	11
23	Frozil20	11
23	AlexxO_o	11
23	Russiancat1	11
27	kars0n	10
28	Yamdalorian	9
29	Ryan_GEMS	8
29	hcb238	8
29	Crasswolf	8
29	MightyWertu	8
33	eitanzaki	7
33	thescout7	7
33	Blaiku	7
36	Blackberry1310	6
36	noam464	6
36	hanaryheatwave	6
36	Drewen24	6
36	JasmineGK	6
41	SharpDev	5
41	ConnorDanky_	5
43	MoonWatcher19	4
43	Huwulling	4
43	Ozixar	4
43	The11thDoctor	4
43	KliBeast21	4
43	Manaateee	4
43	miramyu	4
50	Bandito_Roamer	3
50	BlueishDEV	3
50	MoistMicrowave	3
50	joethahobo	3
50	Inchef	3
50	Di_infiri	3
50	Fast_Turtle	3
50	Hiryu27	3
50	Wowful	3
50	Spacewardharpy7	3
50	YungMaki	3
50	MilleGrug	3
62	Paint	2
62	TildaAndrea	2
62	dopplexd	2
62	TheSecondLord	2
62	Dali1465	2
62	trixterrx	2
62	WET_WET_WET	2
62	burbankbuilder28	2
62	Werbe	2
62	natajimi	2
62	Beagle_Boy	2
62	Shogunite	2
62	Toriankel	2
62	_Meow_Mix	2
62	CornOnTheCobalt	2
62	PabloGonza02	2
62	snizv1	2
62	Nargotah	2
62	CattSoup	2
62	smogfrog	2
62	Enderxz3	2
62	vandmanden	2
84	Batoser	1
84	TooPure2	1
84	fanofbands101	1
84	SoosAmongus	1
84	Argraol	1
84	Myrosia	1
84	6king6colt6	1
84	LeberkasWeckerl	1
84	ColeSnyder	1
84	Crowman1	1
84	kekhon	1
84	Mewar	1
84	intropass	1
84	ROY4LE	1
84	imcombxt	1
84	Typkazprahe	1
84	StarPlanetMoon	1
84	Arceus1975	1
84	Kondzik2008	1
84	Donutt	1
84	Mattesco	1
84	_Cloverbelle_	1
84	Samificator	1
84	groofles	1
84	Lord_Jord	1
84	AlphaWolfPlaysMC	1
84	emreknugrlu	1
84	bluefragmentt	1
84	Gus2005	1
84	Racengan	1
84	Sorenon	1
84	djancak	1
84	xzvu	1
84	Celeste_121	1
84	PortlyPete69	1
84	Winston_Ingram	1
84	Jimb0nat0r	1
84	FishisTTV	1
