rank	username	minecraft:dropped/minecraft:polished_andesite_slab
1	gusstationwerker	923
2	Mahoose	329
3	Smoke____	261
4	lordpipe	254
5	noam464	212
6	beeperbeeper5	208
7	himak1	158
7	Jackattack53	158
9	HellsSponge	156
10	NomadicRobin_	141
11	Historical_Sand	132
12	Di_infiri	120
13	500am	107
14	eitanzaki	99
15	joethahobo	95
16	CalebDHawk	73
17	LazySupport00	65
18	burbankbuilder28	56
19	Inchef	47
20	Sral7	40
21	Ssor69	37
22	SellyZ	31
22	Ezekson	31
24	12Magner05	30
25	Comma__	26
26	Spacewardharpy7	24
27	Xclax101	21
28	ConnorDanky_	20
29	RoofTyler	14
30	Tommhh	13
31	m_be9	12
32	Skylord_Luke	11
32	YungMaki	11
34	Blaiku	10
35	Quotary	9
36	TechnoNinja64	8
37	Hyp3rion_	6
37	EveryonesUncle	6
37	Groundler	6
37	Matorz	6
41	ssleepless	5
41	T045RTY	5
43	Sabby65	4
43	rarrq	4
43	kekhon	4
43	Kubelz	4
43	Racengan	4
43	carbo_bro	4
49	Onennon	3
49	Lord_Jord	3
49	calamariclam_I	3
52	Groovy_MoonBird	2
52	6king6colt6	2
52	Alteriity	2
52	Blackberry1310	2
52	TheSecondLord	2
52	groggregg42	2
52	drunkeeez	2
52	Hiryu27	2
52	Akoot_	2
52	handsome_strong	2
52	El_Jalapeno	2
52	xolstoi	2
64	FroggoTheDoggo	1
64	Incinere	1
64	jimintyy	1
64	MattieHD	1
64	Smashic	1
64	xxPipperDipperxx	1
64	gcaisawesome	1
64	DermeinUser	1
64	Zythose	1
64	impossibleteapot	1
64	Werbe	1
64	Soap_Bender	1
64	The_slideV3	1
64	_Karmaa	1
64	Yahir091	1
64	geekbird	1
64	ediballbearings	1
64	xzvu	1
64	obzii	1
64	anbbang	1
64	PlasticOtari	1
